Time_UTC,Load,BA
2055-01-01 00:00:00,3247.05,AECI
2055-01-01 01:00:00,3297.15,AECI
2055-01-01 02:00:00,3338.55,AECI
2055-01-01 03:00:00,3244.19,AECI
2055-01-01 04:00:00,3103.65,AECI
2055-01-01 05:00:00,2965.99,AECI
2055-01-01 06:00:00,2853.08,AECI
2055-01-01 07:00:00,2774.6,AECI
2055-01-01 08:00:00,2722.45,AECI
2055-01-01 09:00:00,2738.45,AECI
2055-01-01 10:00:00,2769.1,AECI
2055-01-01 11:00:00,2801.35,AECI
2055-01-01 12:00:00,2836.74,AECI
2055-01-01 13:00:00,2879.29,AECI
2055-01-01 14:00:00,2960.97,AECI
2055-01-01 15:00:00,3008.02,AECI
2055-01-01 16:00:00,3005.58,AECI
2055-01-01 17:00:00,2969.12,AECI
2055-01-01 18:00:00,2909.09,AECI
2055-01-01 19:00:00,2860.07,AECI
2055-01-01 20:00:00,2822.64,AECI
2055-01-01 21:00:00,2785.94,AECI
2055-01-01 22:00:00,2742.45,AECI
2055-01-01 23:00:00,2716.59,AECI
2055-01-02 00:00:00,2697.0,AECI
2055-01-02 01:00:00,2777.91,AECI
2055-01-02 02:00:00,2844.2,AECI
2055-01-02 03:00:00,2837.78,AECI
2055-01-02 04:00:00,2727.13,AECI
2055-01-02 05:00:00,2615.93,AECI
2055-01-02 06:00:00,2500.28,AECI
2055-01-02 07:00:00,2434.28,AECI
2055-01-02 08:00:00,2401.5,AECI
2055-01-02 09:00:00,2383.45,AECI
2055-01-02 10:00:00,2413.92,AECI
2055-01-02 11:00:00,2453.41,AECI
2055-01-02 12:00:00,2509.79,AECI
2055-01-02 13:00:00,2560.34,AECI
2055-01-02 14:00:00,2629.68,AECI
2055-01-02 15:00:00,2643.35,AECI
2055-01-02 16:00:00,2602.64,AECI
2055-01-02 17:00:00,2557.64,AECI
2055-01-02 18:00:00,2568.5,AECI
2055-01-02 19:00:00,2549.74,AECI
2055-01-02 20:00:00,2520.7,AECI
2055-01-02 21:00:00,2503.96,AECI
2055-01-02 22:00:00,2482.15,AECI
2055-01-02 23:00:00,2523.06,AECI
2055-01-03 00:00:00,2460.39,AECI
2055-01-03 01:00:00,2524.38,AECI
2055-01-03 02:00:00,2574.54,AECI
2055-01-03 03:00:00,2591.09,AECI
2055-01-03 04:00:00,2486.41,AECI
2055-01-03 05:00:00,2362.39,AECI
2055-01-03 06:00:00,2239.77,AECI
2055-01-03 07:00:00,2139.92,AECI
2055-01-03 08:00:00,2091.08,AECI
2055-01-03 09:00:00,2077.32,AECI
2055-01-03 10:00:00,2120.16,AECI
2055-01-03 11:00:00,2182.82,AECI
2055-01-03 12:00:00,2233.67,AECI
2055-01-03 13:00:00,2292.99,AECI
2055-01-03 14:00:00,2336.88,AECI
2055-01-03 15:00:00,2384.18,AECI
2055-01-03 16:00:00,2376.82,AECI
2055-01-03 17:00:00,2357.32,AECI
2055-01-03 18:00:00,2348.9,AECI
2055-01-03 19:00:00,2337.29,AECI
2055-01-03 20:00:00,2331.67,AECI
2055-01-03 21:00:00,2329.58,AECI
2055-01-03 22:00:00,2323.34,AECI
2055-01-03 23:00:00,2329.79,AECI
2055-01-04 00:00:00,2502.1,AECI
2055-01-04 01:00:00,2567.6,AECI
2055-01-04 02:00:00,2624.11,AECI
2055-01-04 03:00:00,2596.27,AECI
2055-01-04 04:00:00,2518.52,AECI
2055-01-04 05:00:00,2456.67,AECI
2055-01-04 06:00:00,2440.67,AECI
2055-01-04 07:00:00,2497.24,AECI
2055-01-04 08:00:00,2569.04,AECI
2055-01-04 09:00:00,2709.78,AECI
2055-01-04 10:00:00,2816.8,AECI
2055-01-04 11:00:00,2937.13,AECI
2055-01-04 12:00:00,3055.05,AECI
2055-01-04 13:00:00,3171.57,AECI
2055-01-04 14:00:00,3301.65,AECI
2055-01-04 15:00:00,3514.35,AECI
2055-01-04 16:00:00,3583.84,AECI
2055-01-04 17:00:00,3540.1,AECI
2055-01-04 18:00:00,3479.54,AECI
2055-01-04 19:00:00,3371.02,AECI
2055-01-04 20:00:00,3266.03,AECI
2055-01-04 21:00:00,3200.88,AECI
2055-01-04 22:00:00,3208.53,AECI
2055-01-04 23:00:00,3192.57,AECI
2055-01-05 00:00:00,3582.98,AECI
2055-01-05 01:00:00,3664.27,AECI
2055-01-05 02:00:00,3714.13,AECI
2055-01-05 03:00:00,3605.56,AECI
2055-01-05 04:00:00,3494.41,AECI
2055-01-05 05:00:00,3410.74,AECI
2055-01-05 06:00:00,3354.52,AECI
2055-01-05 07:00:00,3329.16,AECI
2055-01-05 08:00:00,3382.05,AECI
2055-01-05 09:00:00,3458.56,AECI
2055-01-05 10:00:00,3537.6,AECI
2055-01-05 11:00:00,3600.75,AECI
2055-01-05 12:00:00,3683.2,AECI
2055-01-05 13:00:00,3764.26,AECI
2055-01-05 14:00:00,3871.75,AECI
2055-01-05 15:00:00,3732.76,AECI
2055-01-05 16:00:00,3533.04,AECI
2055-01-05 17:00:00,3381.76,AECI
2055-01-05 18:00:00,3227.78,AECI
2055-01-05 19:00:00,3095.54,AECI
2055-01-05 20:00:00,2991.08,AECI
2055-01-05 21:00:00,2901.99,AECI
2055-01-05 22:00:00,2872.62,AECI
2055-01-05 23:00:00,2876.82,AECI
2055-01-06 00:00:00,3249.71,AECI
2055-01-06 01:00:00,3306.17,AECI
2055-01-06 02:00:00,3363.47,AECI
2055-01-06 03:00:00,3247.7,AECI
2055-01-06 04:00:00,3103.09,AECI
2055-01-06 05:00:00,2944.32,AECI
2055-01-06 06:00:00,2795.06,AECI
2055-01-06 07:00:00,2713.5,AECI
2055-01-06 08:00:00,2739.67,AECI
2055-01-06 09:00:00,2786.47,AECI
2055-01-06 10:00:00,2842.84,AECI
2055-01-06 11:00:00,2914.48,AECI
2055-01-06 12:00:00,2975.74,AECI
2055-01-06 13:00:00,3014.71,AECI
2055-01-06 14:00:00,3095.45,AECI
2055-01-06 15:00:00,3148.61,AECI
