Time_UTC,Load,BA
2055-01-01 00:00:00,501.56,AEC
2055-01-01 01:00:00,535.85,AEC
2055-01-01 02:00:00,550.79,AEC
2055-01-01 03:00:00,529.37,AEC
2055-01-01 04:00:00,509.03,AEC
2055-01-01 05:00:00,492.83,AEC
2055-01-01 06:00:00,478.97,AEC
2055-01-01 07:00:00,467.06,AEC
2055-01-01 08:00:00,471.69,AEC
2055-01-01 09:00:00,486.86,AEC
2055-01-01 10:00:00,508.35,AEC
2055-01-01 11:00:00,531.76,AEC
2055-01-01 12:00:00,556.94,AEC
2055-01-01 13:00:00,584.25,AEC
2055-01-01 14:00:00,597.89,AEC
2055-01-01 15:00:00,557.49,AEC
2055-01-01 16:00:00,530.36,AEC
2055-01-01 17:00:00,500.25,AEC
2055-01-01 18:00:00,472.18,AEC
2055-01-01 19:00:00,444.53,AEC
2055-01-01 20:00:00,429.56,AEC
2055-01-01 21:00:00,419.21,AEC
2055-01-01 22:00:00,412.47,AEC
2055-01-01 23:00:00,410.53,AEC
2055-01-02 00:00:00,503.25,AEC
2055-01-02 01:00:00,531.1,AEC
2055-01-02 02:00:00,544.51,AEC
2055-01-02 03:00:00,515.1,AEC
2055-01-02 04:00:00,488.9,AEC
2055-01-02 05:00:00,465.78,AEC
2055-01-02 06:00:00,441.76,AEC
2055-01-02 07:00:00,418.06,AEC
2055-01-02 08:00:00,404.09,AEC
2055-01-02 09:00:00,408.13,AEC
2055-01-02 10:00:00,417.08,AEC
2055-01-02 11:00:00,428.69,AEC
2055-01-02 12:00:00,437.48,AEC
2055-01-02 13:00:00,438.24,AEC
2055-01-02 14:00:00,441.41,AEC
2055-01-02 15:00:00,444.93,AEC
2055-01-02 16:00:00,442.95,AEC
2055-01-02 17:00:00,435.65,AEC
2055-01-02 18:00:00,429.43,AEC
2055-01-02 19:00:00,426.29,AEC
2055-01-02 20:00:00,420.75,AEC
2055-01-02 21:00:00,412.19,AEC
2055-01-02 22:00:00,406.12,AEC
2055-01-02 23:00:00,405.74,AEC
2055-01-03 00:00:00,482.64,AEC
2055-01-03 01:00:00,502.86,AEC
2055-01-03 02:00:00,504.5,AEC
2055-01-03 03:00:00,470.09,AEC
2055-01-03 04:00:00,440.19,AEC
2055-01-03 05:00:00,413.65,AEC
2055-01-03 06:00:00,390.91,AEC
2055-01-03 07:00:00,369.17,AEC
2055-01-03 08:00:00,351.88,AEC
2055-01-03 09:00:00,352.58,AEC
2055-01-03 10:00:00,360.27,AEC
2055-01-03 11:00:00,369.86,AEC
2055-01-03 12:00:00,381.56,AEC
2055-01-03 13:00:00,389.43,AEC
2055-01-03 14:00:00,398.5,AEC
2055-01-03 15:00:00,403.39,AEC
2055-01-03 16:00:00,405.44,AEC
2055-01-03 17:00:00,407.09,AEC
2055-01-03 18:00:00,410.17,AEC
2055-01-03 19:00:00,410.03,AEC
2055-01-03 20:00:00,414.66,AEC
2055-01-03 21:00:00,421.5,AEC
2055-01-03 22:00:00,420.32,AEC
2055-01-03 23:00:00,418.68,AEC
2055-01-04 00:00:00,521.88,AEC
2055-01-04 01:00:00,536.58,AEC
2055-01-04 02:00:00,533.12,AEC
2055-01-04 03:00:00,504.62,AEC
2055-01-04 04:00:00,464.71,AEC
2055-01-04 05:00:00,424.2,AEC
2055-01-04 06:00:00,391.45,AEC
2055-01-04 07:00:00,367.23,AEC
2055-01-04 08:00:00,358.58,AEC
2055-01-04 09:00:00,356.09,AEC
2055-01-04 10:00:00,365.24,AEC
2055-01-04 11:00:00,376.61,AEC
2055-01-04 12:00:00,385.65,AEC
2055-01-04 13:00:00,386.25,AEC
2055-01-04 14:00:00,399.38,AEC
2055-01-04 15:00:00,406.25,AEC
2055-01-04 16:00:00,406.89,AEC
2055-01-04 17:00:00,407.44,AEC
2055-01-04 18:00:00,404.48,AEC
2055-01-04 19:00:00,406.32,AEC
2055-01-04 20:00:00,408.14,AEC
2055-01-04 21:00:00,407.68,AEC
2055-01-04 22:00:00,419.99,AEC
2055-01-04 23:00:00,431.47,AEC
2055-01-05 00:00:00,506.19,AEC
2055-01-05 01:00:00,529.33,AEC
2055-01-05 02:00:00,544.8,AEC
2055-01-05 03:00:00,522.02,AEC
2055-01-05 04:00:00,500.07,AEC
2055-01-05 05:00:00,482.77,AEC
2055-01-05 06:00:00,477.57,AEC
2055-01-05 07:00:00,473.73,AEC
2055-01-05 08:00:00,496.23,AEC
2055-01-05 09:00:00,531.1,AEC
2055-01-05 10:00:00,568.42,AEC
2055-01-05 11:00:00,603.55,AEC
2055-01-05 12:00:00,634.34,AEC
2055-01-05 13:00:00,673.7,AEC
2055-01-05 14:00:00,719.88,AEC
2055-01-05 15:00:00,701.01,AEC
2055-01-05 16:00:00,661.95,AEC
2055-01-05 17:00:00,609.06,AEC
2055-01-05 18:00:00,564.99,AEC
2055-01-05 19:00:00,533.08,AEC
2055-01-05 20:00:00,513.0,AEC
2055-01-05 21:00:00,495.24,AEC
2055-01-05 22:00:00,501.95,AEC
2055-01-05 23:00:00,532.68,AEC
2055-01-06 00:00:00,647.58,AEC
2055-01-06 01:00:00,687.63,AEC
2055-01-06 02:00:00,714.0,AEC
2055-01-06 03:00:00,695.31,AEC
2055-01-06 04:00:00,673.61,AEC
2055-01-06 05:00:00,651.53,AEC
2055-01-06 06:00:00,634.34,AEC
2055-01-06 07:00:00,630.73,AEC
2055-01-06 08:00:00,646.83,AEC
2055-01-06 09:00:00,667.21,AEC
2055-01-06 10:00:00,680.63,AEC
2055-01-06 11:00:00,703.95,AEC
