Time_UTC,Load,BA
2055-01-01 00:00:00,1557.36,BANC
2055-01-01 01:00:00,1740.89,BANC
2055-01-01 02:00:00,1804.41,BANC
2055-01-01 03:00:00,1909.57,BANC
2055-01-01 04:00:00,1953.03,BANC
2055-01-01 05:00:00,1889.71,BANC
2055-01-01 06:00:00,1809.08,BANC
2055-01-01 07:00:00,1731.21,BANC
2055-01-01 08:00:00,1652.64,BANC
2055-01-01 09:00:00,1581.69,BANC
2055-01-01 10:00:00,1511.04,BANC
2055-01-01 11:00:00,1493.03,BANC
2055-01-01 12:00:00,1530.48,BANC
2055-01-01 13:00:00,1575.21,BANC
2055-01-01 14:00:00,1631.96,BANC
2055-01-01 15:00:00,1678.64,BANC
2055-01-01 16:00:00,1773.81,BANC
2055-01-01 17:00:00,1868.5,BANC
2055-01-01 18:00:00,1847.12,BANC
2055-01-01 19:00:00,1840.35,BANC
2055-01-01 20:00:00,1818.69,BANC
2055-01-01 21:00:00,1819.18,BANC
2055-01-01 22:00:00,1826.27,BANC
2055-01-01 23:00:00,1830.91,BANC
2055-01-02 00:00:00,1749.82,BANC
2055-01-02 01:00:00,1959.68,BANC
2055-01-02 02:00:00,2025.62,BANC
2055-01-02 03:00:00,2087.22,BANC
2055-01-02 04:00:00,2136.1,BANC
2055-01-02 05:00:00,2071.32,BANC
2055-01-02 06:00:00,1960.03,BANC
2055-01-02 07:00:00,1844.17,BANC
2055-01-02 08:00:00,1739.77,BANC
2055-01-02 09:00:00,1640.37,BANC
2055-01-02 10:00:00,1575.26,BANC
2055-01-02 11:00:00,1564.51,BANC
2055-01-02 12:00:00,1580.7,BANC
2055-01-02 13:00:00,1609.4,BANC
2055-01-02 14:00:00,1663.07,BANC
2055-01-02 15:00:00,1714.44,BANC
2055-01-02 16:00:00,1805.59,BANC
2055-01-02 17:00:00,1859.93,BANC
2055-01-02 18:00:00,1853.62,BANC
2055-01-02 19:00:00,1834.52,BANC
2055-01-02 20:00:00,1797.31,BANC
2055-01-02 21:00:00,1766.54,BANC
2055-01-02 22:00:00,1746.96,BANC
2055-01-02 23:00:00,1736.83,BANC
