Time_UTC,Load,BA
2055-01-01 00:00:00,21919.55,CISO
2055-01-01 01:00:00,23799.6,CISO
2055-01-01 02:00:00,25176.2,CISO
2055-01-01 03:00:00,26671.33,CISO
2055-01-01 04:00:00,28030.27,CISO
2055-01-01 05:00:00,27468.44,CISO
2055-01-01 06:00:00,26369.31,CISO
2055-01-01 07:00:00,25209.1,CISO
2055-01-01 08:00:00,23943.52,CISO
2055-01-01 09:00:00,22798.77,CISO
2055-01-01 10:00:00,22095.52,CISO
2055-01-01 11:00:00,21916.02,CISO
2055-01-01 12:00:00,22156.31,CISO
2055-01-01 13:00:00,22660.6,CISO
2055-01-01 14:00:00,23152.32,CISO
2055-01-01 15:00:00,23416.97,CISO
2055-01-01 16:00:00,24821.28,CISO
2055-01-01 17:00:00,24588.2,CISO
2055-01-01 18:00:00,24153.79,CISO
2055-01-01 19:00:00,23674.05,CISO
2055-01-01 20:00:00,23389.62,CISO
2055-01-01 21:00:00,23396.95,CISO
2055-01-01 22:00:00,23669.1,CISO
2055-01-01 23:00:00,24272.02,CISO
2055-01-02 00:00:00,23735.08,CISO
2055-01-02 01:00:00,26861.56,CISO
2055-01-02 02:00:00,27249.08,CISO
2055-01-02 03:00:00,27812.94,CISO
2055-01-02 04:00:00,28484.84,CISO
2055-01-02 05:00:00,27758.42,CISO
2055-01-02 06:00:00,26354.47,CISO
2055-01-02 07:00:00,24947.53,CISO
2055-01-02 08:00:00,23724.04,CISO
2055-01-02 09:00:00,22677.6,CISO
2055-01-02 10:00:00,21767.16,CISO
2055-01-02 11:00:00,21400.71,CISO
2055-01-02 12:00:00,21447.27,CISO
2055-01-02 13:00:00,21621.61,CISO
2055-01-02 14:00:00,21824.43,CISO
2055-01-02 15:00:00,22086.76,CISO
2055-01-02 16:00:00,23053.28,CISO
2055-01-02 17:00:00,22868.95,CISO
2055-01-02 18:00:00,22565.55,CISO
2055-01-02 19:00:00,22212.23,CISO
2055-01-02 20:00:00,22044.16,CISO
2055-01-02 21:00:00,22019.95,CISO
2055-01-02 22:00:00,22051.83,CISO
2055-01-02 23:00:00,22043.95,CISO
2055-01-03 00:00:00,23781.5,CISO
2055-01-03 01:00:00,26499.67,CISO
2055-01-03 02:00:00,27031.06,CISO
2055-01-03 03:00:00,27730.83,CISO
