Time_UTC,Load,BA
2055-01-01 00:00:00,8462.42,CPLE
2055-01-01 01:00:00,8393.13,CPLE
2055-01-01 02:00:00,8315.97,CPLE
2055-01-01 03:00:00,8169.86,CPLE
2055-01-01 04:00:00,7974.79,CPLE
2055-01-01 05:00:00,7778.82,CPLE
2055-01-01 06:00:00,7645.66,CPLE
2055-01-01 07:00:00,7607.2,CPLE
2055-01-01 08:00:00,7633.78,CPLE
2055-01-01 09:00:00,7792.96,CPLE
2055-01-01 10:00:00,7976.63,CPLE
2055-01-01 11:00:00,8191.33,CPLE
2055-01-01 12:00:00,8433.69,CPLE
2055-01-01 13:00:00,8709.35,CPLE
2055-01-01 14:00:00,8267.97,CPLE
2055-01-01 15:00:00,7291.55,CPLE
2055-01-01 16:00:00,6602.21,CPLE
2055-01-01 17:00:00,6124.67,CPLE
2055-01-01 18:00:00,5825.2,CPLE
2055-01-01 19:00:00,5612.06,CPLE
2055-01-01 20:00:00,5518.02,CPLE
2055-01-01 21:00:00,5635.64,CPLE
2055-01-01 22:00:00,6048.68,CPLE
2055-01-01 23:00:00,6306.08,CPLE
2055-01-02 00:00:00,7617.57,CPLE
2055-01-02 01:00:00,7472.13,CPLE
2055-01-02 02:00:00,7296.24,CPLE
2055-01-02 03:00:00,7101.68,CPLE
2055-01-02 04:00:00,6899.25,CPLE
2055-01-02 05:00:00,6677.74,CPLE
2055-01-02 06:00:00,6457.71,CPLE
2055-01-02 07:00:00,6233.59,CPLE
2055-01-02 08:00:00,6098.21,CPLE
2055-01-02 09:00:00,6194.21,CPLE
2055-01-02 10:00:00,6355.81,CPLE
2055-01-02 11:00:00,6569.3,CPLE
2055-01-02 12:00:00,6796.8,CPLE
2055-01-02 13:00:00,6913.75,CPLE
2055-01-02 14:00:00,6999.88,CPLE
2055-01-02 15:00:00,7003.62,CPLE
2055-01-02 16:00:00,6796.74,CPLE
2055-01-02 17:00:00,6679.4,CPLE
2055-01-02 18:00:00,6586.54,CPLE
2055-01-02 19:00:00,6522.67,CPLE
2055-01-02 20:00:00,6470.65,CPLE
2055-01-02 21:00:00,6439.24,CPLE
2055-01-02 22:00:00,6549.87,CPLE
2055-01-02 23:00:00,6654.58,CPLE
2055-01-03 00:00:00,7322.82,CPLE
2055-01-03 01:00:00,7068.23,CPLE
2055-01-03 02:00:00,6831.08,CPLE
2055-01-03 03:00:00,6551.43,CPLE
2055-01-03 04:00:00,6244.95,CPLE
2055-01-03 05:00:00,5986.39,CPLE
2055-01-03 06:00:00,5741.75,CPLE
2055-01-03 07:00:00,5565.63,CPLE
2055-01-03 08:00:00,5442.64,CPLE
2055-01-03 09:00:00,5484.67,CPLE
2055-01-03 10:00:00,5598.1,CPLE
2055-01-03 11:00:00,5760.71,CPLE
2055-01-03 12:00:00,5883.2,CPLE
2055-01-03 13:00:00,6001.89,CPLE
2055-01-03 14:00:00,6119.0,CPLE
2055-01-03 15:00:00,6191.12,CPLE
2055-01-03 16:00:00,6213.53,CPLE
2055-01-03 17:00:00,6188.77,CPLE
2055-01-03 18:00:00,6160.98,CPLE
2055-01-03 19:00:00,6149.98,CPLE
2055-01-03 20:00:00,6125.55,CPLE
2055-01-03 21:00:00,6084.86,CPLE
2055-01-03 22:00:00,6095.17,CPLE
2055-01-03 23:00:00,6146.93,CPLE
2055-01-04 00:00:00,7383.88,CPLE
2055-01-04 01:00:00,6998.08,CPLE
2055-01-04 02:00:00,6621.08,CPLE
2055-01-04 03:00:00,6247.73,CPLE
2055-01-04 04:00:00,5887.83,CPLE
2055-01-04 05:00:00,5526.71,CPLE
2055-01-04 06:00:00,5234.79,CPLE
2055-01-04 07:00:00,5030.96,CPLE
2055-01-04 08:00:00,4982.17,CPLE
2055-01-04 09:00:00,5063.48,CPLE
2055-01-04 10:00:00,5189.95,CPLE
2055-01-04 11:00:00,5325.82,CPLE
2055-01-04 12:00:00,5502.41,CPLE
2055-01-04 13:00:00,5619.8,CPLE
2055-01-04 14:00:00,5705.1,CPLE
2055-01-04 15:00:00,5772.66,CPLE
2055-01-04 16:00:00,5805.33,CPLE
2055-01-04 17:00:00,5738.47,CPLE
2055-01-04 18:00:00,5723.63,CPLE
2055-01-04 19:00:00,5875.19,CPLE
2055-01-04 20:00:00,5956.16,CPLE
2055-01-04 21:00:00,5948.82,CPLE
2055-01-04 22:00:00,5927.24,CPLE
2055-01-04 23:00:00,5950.3,CPLE
2055-01-05 00:00:00,7150.28,CPLE
2055-01-05 01:00:00,6822.3,CPLE
2055-01-05 02:00:00,6489.24,CPLE
2055-01-05 03:00:00,6152.38,CPLE
2055-01-05 04:00:00,5854.25,CPLE
2055-01-05 05:00:00,5515.65,CPLE
2055-01-05 06:00:00,5252.56,CPLE
2055-01-05 07:00:00,5021.12,CPLE
2055-01-05 08:00:00,4953.66,CPLE
2055-01-05 09:00:00,5200.17,CPLE
2055-01-05 10:00:00,5659.92,CPLE
2055-01-05 11:00:00,6212.8,CPLE
2055-01-05 12:00:00,6775.05,CPLE
2055-01-05 13:00:00,7356.36,CPLE
2055-01-05 14:00:00,7580.82,CPLE
2055-01-05 15:00:00,7618.79,CPLE
2055-01-05 16:00:00,7502.06,CPLE
2055-01-05 17:00:00,7156.3,CPLE
2055-01-05 18:00:00,6883.42,CPLE
2055-01-05 19:00:00,6743.19,CPLE
2055-01-05 20:00:00,6657.1,CPLE
2055-01-05 21:00:00,6658.71,CPLE
2055-01-05 22:00:00,7073.63,CPLE
2055-01-05 23:00:00,7466.69,CPLE
2055-01-06 00:00:00,8443.2,CPLE
2055-01-06 01:00:00,8253.74,CPLE
2055-01-06 02:00:00,8126.61,CPLE
2055-01-06 03:00:00,8011.65,CPLE
2055-01-06 04:00:00,7916.28,CPLE
2055-01-06 05:00:00,7820.9,CPLE
2055-01-06 06:00:00,7729.87,CPLE
2055-01-06 07:00:00,7853.51,CPLE
2055-01-06 08:00:00,8024.14,CPLE
2055-01-06 09:00:00,8312.38,CPLE
2055-01-06 10:00:00,8671.42,CPLE
2055-01-06 11:00:00,9041.79,CPLE
2055-01-06 12:00:00,9350.38,CPLE
2055-01-06 13:00:00,9626.77,CPLE
2055-01-06 14:00:00,9341.09,CPLE
2055-01-06 15:00:00,8539.33,CPLE
2055-01-06 16:00:00,7837.65,CPLE
2055-01-06 17:00:00,7043.41,CPLE
2055-01-06 18:00:00,6505.57,CPLE
2055-01-06 19:00:00,6213.62,CPLE
2055-01-06 20:00:00,6088.18,CPLE
2055-01-06 21:00:00,6196.12,CPLE
2055-01-06 22:00:00,6614.3,CPLE
2055-01-06 23:00:00,6983.98,CPLE
2055-01-07 00:00:00,8002.5,CPLE
2055-01-07 01:00:00,7834.96,CPLE
2055-01-07 02:00:00,7679.07,CPLE
2055-01-07 03:00:00,7581.94,CPLE
2055-01-07 04:00:00,7546.81,CPLE
2055-01-07 05:00:00,7539.68,CPLE
2055-01-07 06:00:00,7428.18,CPLE
2055-01-07 07:00:00,7390.83,CPLE
2055-01-07 08:00:00,7673.96,CPLE
2055-01-07 09:00:00,8093.57,CPLE
2055-01-07 10:00:00,8514.94,CPLE
2055-01-07 11:00:00,8808.15,CPLE
2055-01-07 12:00:00,8965.14,CPLE
2055-01-07 13:00:00,9128.45,CPLE
2055-01-07 14:00:00,9019.44,CPLE
2055-01-07 15:00:00,8925.28,CPLE
2055-01-07 16:00:00,9038.15,CPLE
2055-01-07 17:00:00,9027.8,CPLE
2055-01-07 18:00:00,8899.55,CPLE
2055-01-07 19:00:00,8833.42,CPLE
2055-01-07 20:00:00,8802.02,CPLE
2055-01-07 21:00:00,8742.47,CPLE
2055-01-07 22:00:00,9056.79,CPLE
2055-01-07 23:00:00,9478.39,CPLE
2055-01-08 00:00:00,10637.4,CPLE
2055-01-08 01:00:00,10685.54,CPLE
2055-01-08 02:00:00,10503.57,CPLE
2055-01-08 03:00:00,10304.59,CPLE
2055-01-08 04:00:00,10229.32,CPLE
2055-01-08 05:00:00,10140.09,CPLE
2055-01-08 06:00:00,10071.02,CPLE
2055-01-08 07:00:00,10128.83,CPLE
2055-01-08 08:00:00,10310.78,CPLE
2055-01-08 09:00:00,10712.79,CPLE
2055-01-08 10:00:00,11193.39,CPLE
2055-01-08 11:00:00,11710.12,CPLE
2055-01-08 12:00:00,12153.15,CPLE
2055-01-08 13:00:00,12560.7,CPLE
2055-01-08 14:00:00,12461.37,CPLE
2055-01-08 15:00:00,11933.6,CPLE
2055-01-08 16:00:00,11255.22,CPLE
2055-01-08 17:00:00,10635.26,CPLE
2055-01-08 18:00:00,10124.49,CPLE
2055-01-08 19:00:00,9773.58,CPLE
2055-01-08 20:00:00,9594.07,CPLE
2055-01-08 21:00:00,9573.84,CPLE
2055-01-08 22:00:00,10052.03,CPLE
2055-01-08 23:00:00,10286.71,CPLE
2055-01-09 00:00:00,11042.91,CPLE
2055-01-09 01:00:00,10966.16,CPLE
2055-01-09 02:00:00,10676.75,CPLE
2055-01-09 03:00:00,10294.29,CPLE
2055-01-09 04:00:00,9920.17,CPLE
2055-01-09 05:00:00,9619.15,CPLE
2055-01-09 06:00:00,9464.7,CPLE
2055-01-09 07:00:00,9440.13,CPLE
2055-01-09 08:00:00,9509.54,CPLE
2055-01-09 09:00:00,9647.6,CPLE
2055-01-09 10:00:00,9805.51,CPLE
2055-01-09 11:00:00,9794.1,CPLE
2055-01-09 12:00:00,9796.04,CPLE
2055-01-09 13:00:00,9608.98,CPLE
2055-01-09 14:00:00,9153.61,CPLE
2055-01-09 15:00:00,8531.98,CPLE
2055-01-09 16:00:00,8021.7,CPLE
2055-01-09 17:00:00,7614.33,CPLE
2055-01-09 18:00:00,7247.51,CPLE
2055-01-09 19:00:00,6992.81,CPLE
2055-01-09 20:00:00,6854.07,CPLE
2055-01-09 21:00:00,6850.57,CPLE
2055-01-09 22:00:00,7381.02,CPLE
2055-01-09 23:00:00,7826.34,CPLE
2055-01-10 00:00:00,9245.4,CPLE
2055-01-10 01:00:00,9073.2,CPLE
2055-01-10 02:00:00,8875.83,CPLE
2055-01-10 03:00:00,8739.23,CPLE
2055-01-10 04:00:00,8689.58,CPLE
2055-01-10 05:00:00,8610.39,CPLE
2055-01-10 06:00:00,8562.38,CPLE
2055-01-10 07:00:00,8522.98,CPLE
2055-01-10 08:00:00,8578.38,CPLE
2055-01-10 09:00:00,8786.12,CPLE
2055-01-10 10:00:00,9161.11,CPLE
2055-01-10 11:00:00,9540.72,CPLE
2055-01-10 12:00:00,9906.17,CPLE
2055-01-10 13:00:00,10268.12,CPLE
2055-01-10 14:00:00,10559.83,CPLE
2055-01-10 15:00:00,10145.97,CPLE
2055-01-10 16:00:00,9588.18,CPLE
2055-01-10 17:00:00,9057.31,CPLE
2055-01-10 18:00:00,8564.6,CPLE
2055-01-10 19:00:00,8168.07,CPLE
2055-01-10 20:00:00,7877.51,CPLE
2055-01-10 21:00:00,7778.53,CPLE
2055-01-10 22:00:00,8427.83,CPLE
2055-01-10 23:00:00,8873.45,CPLE
2055-01-11 00:00:00,10612.6,CPLE
2055-01-11 01:00:00,10423.87,CPLE
2055-01-11 02:00:00,10180.83,CPLE
2055-01-11 03:00:00,9921.84,CPLE
2055-01-11 04:00:00,9658.58,CPLE
2055-01-11 05:00:00,9431.63,CPLE
2055-01-11 06:00:00,9303.02,CPLE
2055-01-11 07:00:00,9345.98,CPLE
2055-01-11 08:00:00,9490.79,CPLE
2055-01-11 09:00:00,9807.67,CPLE
2055-01-11 10:00:00,10126.8,CPLE
2055-01-11 11:00:00,10376.67,CPLE
2055-01-11 12:00:00,10630.23,CPLE
2055-01-11 13:00:00,10845.22,CPLE
2055-01-11 14:00:00,10333.37,CPLE
2055-01-11 15:00:00,9190.97,CPLE
2055-01-11 16:00:00,8467.04,CPLE
2055-01-11 17:00:00,7935.84,CPLE
2055-01-11 18:00:00,7586.72,CPLE
2055-01-11 19:00:00,7380.23,CPLE
2055-01-11 20:00:00,7255.29,CPLE
2055-01-11 21:00:00,7301.99,CPLE
2055-01-11 22:00:00,7636.21,CPLE
2055-01-11 23:00:00,7879.51,CPLE
2055-01-12 00:00:00,8388.49,CPLE
2055-01-12 01:00:00,8065.53,CPLE
2055-01-12 02:00:00,7708.78,CPLE
2055-01-12 03:00:00,7344.89,CPLE
2055-01-12 04:00:00,6943.18,CPLE
