Time_UTC,Load,BA
2055-01-01 00:00:00,258.27,DOPD
2055-01-01 01:00:00,261.75,DOPD
2055-01-01 02:00:00,263.7,DOPD
2055-01-01 03:00:00,264.96,DOPD
2055-01-01 04:00:00,260.65,DOPD
2055-01-01 05:00:00,250.8,DOPD
2055-01-01 06:00:00,242.56,DOPD
2055-01-01 07:00:00,235.96,DOPD
2055-01-01 08:00:00,232.13,DOPD
2055-01-01 09:00:00,229.78,DOPD
2055-01-01 10:00:00,229.16,DOPD
2055-01-01 11:00:00,232.61,DOPD
2055-01-01 12:00:00,236.31,DOPD
2055-01-01 13:00:00,242.91,DOPD
2055-01-01 14:00:00,250.34,DOPD
2055-01-01 15:00:00,258.72,DOPD
2055-01-01 16:00:00,269.35,DOPD
2055-01-01 17:00:00,290.02,DOPD
2055-01-01 18:00:00,285.98,DOPD
2055-01-01 19:00:00,277.42,DOPD
2055-01-01 20:00:00,268.83,DOPD
2055-01-01 21:00:00,261.46,DOPD
2055-01-01 22:00:00,255.19,DOPD
2055-01-01 23:00:00,253.57,DOPD
2055-01-02 00:00:00,243.63,DOPD
2055-01-02 01:00:00,247.88,DOPD
2055-01-02 02:00:00,250.32,DOPD
2055-01-02 03:00:00,246.78,DOPD
2055-01-02 04:00:00,243.74,DOPD
2055-01-02 05:00:00,240.14,DOPD
2055-01-02 06:00:00,236.47,DOPD
2055-01-02 07:00:00,232.86,DOPD
2055-01-02 08:00:00,230.18,DOPD
2055-01-02 09:00:00,228.92,DOPD
2055-01-02 10:00:00,231.79,DOPD
2055-01-02 11:00:00,237.64,DOPD
2055-01-02 12:00:00,244.73,DOPD
2055-01-02 13:00:00,252.2,DOPD
2055-01-02 14:00:00,260.2,DOPD
2055-01-02 15:00:00,264.28,DOPD
2055-01-02 16:00:00,274.03,DOPD
2055-01-02 17:00:00,276.51,DOPD
2055-01-02 18:00:00,277.39,DOPD
2055-01-02 19:00:00,272.1,DOPD
2055-01-02 20:00:00,265.01,DOPD
2055-01-02 21:00:00,256.82,DOPD
2055-01-02 22:00:00,247.94,DOPD
2055-01-02 23:00:00,244.89,DOPD
2055-01-03 00:00:00,242.78,DOPD
2055-01-03 01:00:00,249.82,DOPD
2055-01-03 02:00:00,253.79,DOPD
2055-01-03 03:00:00,243.78,DOPD
2055-01-03 04:00:00,230.78,DOPD
2055-01-03 05:00:00,221.95,DOPD
2055-01-03 06:00:00,216.02,DOPD
2055-01-03 07:00:00,209.44,DOPD
2055-01-03 08:00:00,204.03,DOPD
2055-01-03 09:00:00,201.02,DOPD
2055-01-03 10:00:00,200.76,DOPD
2055-01-03 11:00:00,202.71,DOPD
2055-01-03 12:00:00,206.31,DOPD
2055-01-03 13:00:00,210.89,DOPD
2055-01-03 14:00:00,217.61,DOPD
