Time_UTC,Load,BA
2055-01-01 00:00:00,13404.66,DUK
2055-01-01 01:00:00,13620.52,DUK
2055-01-01 02:00:00,13799.18,DUK
2055-01-01 03:00:00,13408.57,DUK
2055-01-01 04:00:00,12971.81,DUK
2055-01-01 05:00:00,12563.1,DUK
2055-01-01 06:00:00,12222.2,DUK
2055-01-01 07:00:00,11944.78,DUK
2055-01-01 08:00:00,11922.27,DUK
2055-01-01 09:00:00,12190.59,DUK
2055-01-01 10:00:00,12637.31,DUK
2055-01-01 11:00:00,13096.9,DUK
2055-01-01 12:00:00,13545.08,DUK
2055-01-01 13:00:00,14159.15,DUK
2055-01-01 14:00:00,13768.58,DUK
2055-01-01 15:00:00,12964.2,DUK
2055-01-01 16:00:00,12139.25,DUK
2055-01-01 17:00:00,11458.72,DUK
2055-01-01 18:00:00,11004.01,DUK
2055-01-01 19:00:00,10745.63,DUK
2055-01-01 20:00:00,10581.37,DUK
2055-01-01 21:00:00,10492.52,DUK
2055-01-01 22:00:00,11408.0,DUK
2055-01-01 23:00:00,11924.81,DUK
2055-01-02 00:00:00,12208.39,DUK
2055-01-02 01:00:00,12360.37,DUK
2055-01-02 02:00:00,12330.65,DUK
2055-01-02 03:00:00,11800.96,DUK
2055-01-02 04:00:00,11325.19,DUK
2055-01-02 05:00:00,10886.59,DUK
2055-01-02 06:00:00,10504.05,DUK
2055-01-02 07:00:00,10219.03,DUK
2055-01-02 08:00:00,10179.2,DUK
2055-01-02 09:00:00,10109.88,DUK
2055-01-02 10:00:00,10338.71,DUK
2055-01-02 11:00:00,10597.29,DUK
2055-01-02 12:00:00,10882.4,DUK
2055-01-02 13:00:00,11207.65,DUK
2055-01-02 14:00:00,11441.46,DUK
2055-01-02 15:00:00,11398.46,DUK
2055-01-02 16:00:00,11210.43,DUK
2055-01-02 17:00:00,10954.6,DUK
2055-01-02 18:00:00,10717.9,DUK
2055-01-02 19:00:00,10557.69,DUK
2055-01-02 20:00:00,10403.81,DUK
2055-01-02 21:00:00,10261.87,DUK
2055-01-02 22:00:00,10567.58,DUK
2055-01-02 23:00:00,10726.57,DUK
