Time_UTC,Load,BA
2055-01-01 00:00:00,834.71,EPE
2055-01-01 01:00:00,896.52,EPE
2055-01-01 02:00:00,952.35,EPE
2055-01-01 03:00:00,977.79,EPE
2055-01-01 04:00:00,961.32,EPE
2055-01-01 05:00:00,929.0,EPE
2055-01-01 06:00:00,881.45,EPE
2055-01-01 07:00:00,838.55,EPE
2055-01-01 08:00:00,797.52,EPE
2055-01-01 09:00:00,765.3,EPE
2055-01-01 10:00:00,761.04,EPE
2055-01-01 11:00:00,773.04,EPE
2055-01-01 12:00:00,789.19,EPE
2055-01-01 13:00:00,801.16,EPE
2055-01-01 14:00:00,815.91,EPE
2055-01-01 15:00:00,846.74,EPE
2055-01-01 16:00:00,862.46,EPE
2055-01-01 17:00:00,879.07,EPE
2055-01-01 18:00:00,892.54,EPE
2055-01-01 19:00:00,903.7,EPE
2055-01-01 20:00:00,915.92,EPE
2055-01-01 21:00:00,923.94,EPE
2055-01-01 22:00:00,925.87,EPE
2055-01-01 23:00:00,925.65,EPE
2055-01-02 00:00:00,852.73,EPE
2055-01-02 01:00:00,928.02,EPE
2055-01-02 02:00:00,985.99,EPE
2055-01-02 03:00:00,982.56,EPE
2055-01-02 04:00:00,949.68,EPE
2055-01-02 05:00:00,898.78,EPE
2055-01-02 06:00:00,854.02,EPE
2055-01-02 07:00:00,802.36,EPE
2055-01-02 08:00:00,747.41,EPE
2055-01-02 09:00:00,727.27,EPE
2055-01-02 10:00:00,724.53,EPE
2055-01-02 11:00:00,733.55,EPE
2055-01-02 12:00:00,739.75,EPE
2055-01-02 13:00:00,743.98,EPE
2055-01-02 14:00:00,752.01,EPE
2055-01-02 15:00:00,761.05,EPE
2055-01-02 16:00:00,760.87,EPE
2055-01-02 17:00:00,766.02,EPE
2055-01-02 18:00:00,780.38,EPE
2055-01-02 19:00:00,785.99,EPE
2055-01-02 20:00:00,787.47,EPE
2055-01-02 21:00:00,791.6,EPE
2055-01-02 22:00:00,798.08,EPE
2055-01-02 23:00:00,808.3,EPE
2055-01-03 00:00:00,847.59,EPE
2055-01-03 01:00:00,905.56,EPE
2055-01-03 02:00:00,966.28,EPE
2055-01-03 03:00:00,987.46,EPE
2055-01-03 04:00:00,962.47,EPE
2055-01-03 05:00:00,916.27,EPE
2055-01-03 06:00:00,872.87,EPE
2055-01-03 07:00:00,822.72,EPE
2055-01-03 08:00:00,773.88,EPE
2055-01-03 09:00:00,747.74,EPE
2055-01-03 10:00:00,735.2,EPE
2055-01-03 11:00:00,739.3,EPE
2055-01-03 12:00:00,749.67,EPE
2055-01-03 13:00:00,764.21,EPE
2055-01-03 14:00:00,780.55,EPE
2055-01-03 15:00:00,807.47,EPE
2055-01-03 16:00:00,813.47,EPE
2055-01-03 17:00:00,806.88,EPE
2055-01-03 18:00:00,806.15,EPE
2055-01-03 19:00:00,812.08,EPE
2055-01-03 20:00:00,805.35,EPE
2055-01-03 21:00:00,793.28,EPE
2055-01-03 22:00:00,782.15,EPE
2055-01-03 23:00:00,780.12,EPE
2055-01-04 00:00:00,883.99,EPE
2055-01-04 01:00:00,934.8,EPE
2055-01-04 02:00:00,986.68,EPE
2055-01-04 03:00:00,1020.43,EPE
2055-01-04 04:00:00,994.68,EPE
2055-01-04 05:00:00,945.24,EPE
2055-01-04 06:00:00,885.43,EPE
2055-01-04 07:00:00,830.56,EPE
2055-01-04 08:00:00,784.93,EPE
2055-01-04 09:00:00,776.87,EPE
