Time_UTC,Load,BA
2055-01-01 00:00:00,5945.09,FPC
2055-01-01 01:00:00,5786.73,FPC
2055-01-01 02:00:00,5622.02,FPC
2055-01-01 03:00:00,5223.7,FPC
2055-01-01 04:00:00,4798.65,FPC
2055-01-01 05:00:00,4384.37,FPC
2055-01-01 06:00:00,3988.71,FPC
2055-01-01 07:00:00,3673.96,FPC
2055-01-01 08:00:00,3442.27,FPC
2055-01-01 09:00:00,3347.99,FPC
2055-01-01 10:00:00,3410.59,FPC
2055-01-01 11:00:00,3596.64,FPC
2055-01-01 12:00:00,3806.14,FPC
2055-01-01 13:00:00,4065.87,FPC
2055-01-01 14:00:00,4456.62,FPC
2055-01-01 15:00:00,4718.53,FPC
2055-01-01 16:00:00,5001.37,FPC
2055-01-01 17:00:00,5257.9,FPC
2055-01-01 18:00:00,5431.1,FPC
2055-01-01 19:00:00,5651.08,FPC
2055-01-01 20:00:00,5893.41,FPC
2055-01-01 21:00:00,6045.04,FPC
2055-01-01 22:00:00,6023.68,FPC
2055-01-01 23:00:00,5883.1,FPC
2055-01-02 00:00:00,6070.78,FPC
2055-01-02 01:00:00,5951.39,FPC
2055-01-02 02:00:00,5753.9,FPC
2055-01-02 03:00:00,5351.07,FPC
2055-01-02 04:00:00,4911.45,FPC
2055-01-02 05:00:00,4489.93,FPC
2055-01-02 06:00:00,4173.06,FPC
2055-01-02 07:00:00,3919.62,FPC
2055-01-02 08:00:00,3688.91,FPC
2055-01-02 09:00:00,3626.65,FPC
2055-01-02 10:00:00,3635.05,FPC
2055-01-02 11:00:00,3745.25,FPC
2055-01-02 12:00:00,3900.18,FPC
2055-01-02 13:00:00,4153.91,FPC
2055-01-02 14:00:00,4517.27,FPC
2055-01-02 15:00:00,4854.46,FPC
2055-01-02 16:00:00,5157.04,FPC
2055-01-02 17:00:00,5420.42,FPC
2055-01-02 18:00:00,5660.25,FPC
2055-01-02 19:00:00,5880.05,FPC
2055-01-02 20:00:00,6100.14,FPC
2055-01-02 21:00:00,6141.55,FPC
2055-01-02 22:00:00,6080.54,FPC
2055-01-02 23:00:00,5940.15,FPC
2055-01-03 00:00:00,6360.9,FPC
2055-01-03 01:00:00,6232.1,FPC
2055-01-03 02:00:00,5969.91,FPC
2055-01-03 03:00:00,5600.57,FPC
2055-01-03 04:00:00,5092.81,FPC
2055-01-03 05:00:00,4655.7,FPC
2055-01-03 06:00:00,4287.56,FPC
2055-01-03 07:00:00,4090.34,FPC
2055-01-03 08:00:00,3937.76,FPC
2055-01-03 09:00:00,3834.43,FPC
2055-01-03 10:00:00,3839.99,FPC
2055-01-03 11:00:00,3940.68,FPC
2055-01-03 12:00:00,4090.11,FPC
2055-01-03 13:00:00,4344.4,FPC
2055-01-03 14:00:00,4845.27,FPC
2055-01-03 15:00:00,5323.96,FPC
2055-01-03 16:00:00,5930.75,FPC
2055-01-03 17:00:00,6572.78,FPC
2055-01-03 18:00:00,7065.8,FPC
2055-01-03 19:00:00,7399.84,FPC
2055-01-03 20:00:00,7516.32,FPC
2055-01-03 21:00:00,7456.02,FPC
2055-01-03 22:00:00,7138.39,FPC
2055-01-03 23:00:00,6729.03,FPC
2055-01-04 00:00:00,7563.84,FPC
2055-01-04 01:00:00,7318.76,FPC
2055-01-04 02:00:00,6952.05,FPC
2055-01-04 03:00:00,6434.46,FPC
2055-01-04 04:00:00,5883.11,FPC
2055-01-04 05:00:00,5349.56,FPC
2055-01-04 06:00:00,4864.73,FPC
2055-01-04 07:00:00,4540.56,FPC
2055-01-04 08:00:00,4327.34,FPC
2055-01-04 09:00:00,4300.55,FPC
2055-01-04 10:00:00,4398.75,FPC
2055-01-04 11:00:00,4526.83,FPC
2055-01-04 12:00:00,4669.15,FPC
2055-01-04 13:00:00,4985.24,FPC
2055-01-04 14:00:00,5442.8,FPC
2055-01-04 15:00:00,5724.15,FPC
2055-01-04 16:00:00,6079.37,FPC
2055-01-04 17:00:00,6550.14,FPC
2055-01-04 18:00:00,7007.9,FPC
2055-01-04 19:00:00,7298.24,FPC
2055-01-04 20:00:00,7433.18,FPC
2055-01-04 21:00:00,7362.74,FPC
2055-01-04 22:00:00,7070.41,FPC
2055-01-04 23:00:00,6725.36,FPC
2055-01-05 00:00:00,7431.23,FPC
2055-01-05 01:00:00,7167.79,FPC
2055-01-05 02:00:00,6734.83,FPC
2055-01-05 03:00:00,6217.68,FPC
2055-01-05 04:00:00,5657.57,FPC
2055-01-05 05:00:00,5095.22,FPC
2055-01-05 06:00:00,4576.47,FPC
2055-01-05 07:00:00,4168.67,FPC
2055-01-05 08:00:00,3984.56,FPC
2055-01-05 09:00:00,4036.08,FPC
2055-01-05 10:00:00,4083.84,FPC
2055-01-05 11:00:00,4159.24,FPC
2055-01-05 12:00:00,4258.71,FPC
2055-01-05 13:00:00,4484.04,FPC
2055-01-05 14:00:00,4857.24,FPC
2055-01-05 15:00:00,5243.19,FPC
2055-01-05 16:00:00,5534.94,FPC
