Time_UTC,Load,BA
2055-01-01 00:00:00,568.62,GCPD
2055-01-01 01:00:00,573.27,GCPD
2055-01-01 02:00:00,576.84,GCPD
2055-01-01 03:00:00,574.21,GCPD
2055-01-01 04:00:00,569.31,GCPD
2055-01-01 05:00:00,563.08,GCPD
2055-01-01 06:00:00,556.06,GCPD
2055-01-01 07:00:00,550.33,GCPD
2055-01-01 08:00:00,547.63,GCPD
2055-01-01 09:00:00,548.44,GCPD
2055-01-01 10:00:00,552.79,GCPD
2055-01-01 11:00:00,559.56,GCPD
2055-01-01 12:00:00,564.82,GCPD
2055-01-01 13:00:00,568.29,GCPD
2055-01-01 14:00:00,573.98,GCPD
2055-01-01 15:00:00,579.22,GCPD
2055-01-01 16:00:00,582.57,GCPD
2055-01-01 17:00:00,601.17,GCPD
2055-01-01 18:00:00,601.34,GCPD
2055-01-01 19:00:00,593.55,GCPD
2055-01-01 20:00:00,586.1,GCPD
2055-01-01 21:00:00,579.36,GCPD
2055-01-01 22:00:00,572.84,GCPD
2055-01-01 23:00:00,556.99,GCPD
2055-01-02 00:00:00,581.3,GCPD
2055-01-02 01:00:00,588.49,GCPD
2055-01-02 02:00:00,593.91,GCPD
2055-01-02 03:00:00,593.26,GCPD
2055-01-02 04:00:00,592.63,GCPD
2055-01-02 05:00:00,588.43,GCPD
2055-01-02 06:00:00,583.64,GCPD
2055-01-02 07:00:00,578.26,GCPD
2055-01-02 08:00:00,576.01,GCPD
2055-01-02 09:00:00,578.08,GCPD
2055-01-02 10:00:00,580.39,GCPD
2055-01-02 11:00:00,584.54,GCPD
2055-01-02 12:00:00,590.18,GCPD
2055-01-02 13:00:00,596.18,GCPD
2055-01-02 14:00:00,602.41,GCPD
2055-01-02 15:00:00,607.99,GCPD
2055-01-02 16:00:00,612.1,GCPD
2055-01-02 17:00:00,625.0,GCPD
2055-01-02 18:00:00,635.58,GCPD
2055-01-02 19:00:00,634.11,GCPD
2055-01-02 20:00:00,625.68,GCPD
2055-01-02 21:00:00,611.21,GCPD
2055-01-02 22:00:00,593.64,GCPD
2055-01-02 23:00:00,574.83,GCPD
2055-01-03 00:00:00,587.77,GCPD
2055-01-03 01:00:00,619.11,GCPD
2055-01-03 02:00:00,621.99,GCPD
2055-01-03 03:00:00,616.34,GCPD
2055-01-03 04:00:00,599.46,GCPD
2055-01-03 05:00:00,584.8,GCPD
