Time_UTC,Load,BA
2055-01-01 00:00:00,2015.28,IPCO
2055-01-01 01:00:00,2084.62,IPCO
2055-01-01 02:00:00,2130.9,IPCO
2055-01-01 03:00:00,2172.64,IPCO
2055-01-01 04:00:00,2149.68,IPCO
2055-01-01 05:00:00,2058.45,IPCO
2055-01-01 06:00:00,1972.33,IPCO
2055-01-01 07:00:00,1906.2,IPCO
2055-01-01 08:00:00,1865.4,IPCO
2055-01-01 09:00:00,1851.26,IPCO
2055-01-01 10:00:00,1885.17,IPCO
2055-01-01 11:00:00,1929.48,IPCO
2055-01-01 12:00:00,1991.13,IPCO
2055-01-01 13:00:00,2066.03,IPCO
2055-01-01 14:00:00,2137.94,IPCO
2055-01-01 15:00:00,2196.05,IPCO
2055-01-01 16:00:00,2270.47,IPCO
2055-01-01 17:00:00,2298.13,IPCO
2055-01-01 18:00:00,2218.53,IPCO
2055-01-01 19:00:00,2166.99,IPCO
2055-01-01 20:00:00,2121.98,IPCO
2055-01-01 21:00:00,2083.2,IPCO
2055-01-01 22:00:00,2070.64,IPCO
2055-01-01 23:00:00,2044.12,IPCO
2055-01-02 00:00:00,2046.09,IPCO
2055-01-02 01:00:00,2086.22,IPCO
2055-01-02 02:00:00,2116.92,IPCO
2055-01-02 03:00:00,2148.42,IPCO
2055-01-02 04:00:00,2118.55,IPCO
2055-01-02 05:00:00,2042.19,IPCO
2055-01-02 06:00:00,1956.71,IPCO
2055-01-02 07:00:00,1872.16,IPCO
2055-01-02 08:00:00,1794.14,IPCO
2055-01-02 09:00:00,1788.93,IPCO
2055-01-02 10:00:00,1807.43,IPCO
2055-01-02 11:00:00,1834.42,IPCO
2055-01-02 12:00:00,1885.72,IPCO
2055-01-02 13:00:00,1942.7,IPCO
2055-01-02 14:00:00,2009.46,IPCO
2055-01-02 15:00:00,2068.54,IPCO
2055-01-02 16:00:00,2140.27,IPCO
2055-01-02 17:00:00,2134.97,IPCO
2055-01-02 18:00:00,2096.72,IPCO
2055-01-02 19:00:00,2035.88,IPCO
2055-01-02 20:00:00,1979.65,IPCO
2055-01-02 21:00:00,1945.04,IPCO
2055-01-02 22:00:00,1914.54,IPCO
2055-01-02 23:00:00,1908.39,IPCO
2055-01-03 00:00:00,2009.0,IPCO
2055-01-03 01:00:00,2046.48,IPCO
2055-01-03 02:00:00,2069.05,IPCO
2055-01-03 03:00:00,2097.11,IPCO
2055-01-03 04:00:00,2075.65,IPCO
2055-01-03 05:00:00,1995.77,IPCO
2055-01-03 06:00:00,1901.31,IPCO
2055-01-03 07:00:00,1809.93,IPCO
2055-01-03 08:00:00,1731.76,IPCO
2055-01-03 09:00:00,1742.56,IPCO
2055-01-03 10:00:00,1764.88,IPCO
2055-01-03 11:00:00,1808.97,IPCO
2055-01-03 12:00:00,1851.67,IPCO
2055-01-03 13:00:00,1907.84,IPCO
2055-01-03 14:00:00,1943.98,IPCO
2055-01-03 15:00:00,1979.39,IPCO
2055-01-03 16:00:00,2056.9,IPCO
2055-01-03 17:00:00,2004.45,IPCO
2055-01-03 18:00:00,1929.26,IPCO
2055-01-03 19:00:00,1874.74,IPCO
2055-01-03 20:00:00,1830.02,IPCO
2055-01-03 21:00:00,1797.54,IPCO
2055-01-03 22:00:00,1768.15,IPCO
2055-01-03 23:00:00,1759.89,IPCO
2055-01-04 00:00:00,1968.79,IPCO
2055-01-04 01:00:00,2027.25,IPCO
2055-01-04 02:00:00,2067.54,IPCO
2055-01-04 03:00:00,2099.17,IPCO
2055-01-04 04:00:00,2088.47,IPCO
2055-01-04 05:00:00,1994.96,IPCO
2055-01-04 06:00:00,1890.82,IPCO
2055-01-04 07:00:00,1783.68,IPCO
2055-01-04 08:00:00,1680.31,IPCO
2055-01-04 09:00:00,1649.94,IPCO
2055-01-04 10:00:00,1679.92,IPCO
2055-01-04 11:00:00,1731.93,IPCO
2055-01-04 12:00:00,1805.05,IPCO
2055-01-04 13:00:00,1878.39,IPCO
2055-01-04 14:00:00,1955.11,IPCO
2055-01-04 15:00:00,2026.03,IPCO
2055-01-04 16:00:00,2115.39,IPCO
2055-01-04 17:00:00,2105.23,IPCO
2055-01-04 18:00:00,2079.8,IPCO
2055-01-04 19:00:00,2022.59,IPCO
2055-01-04 20:00:00,2020.42,IPCO
2055-01-04 21:00:00,1999.06,IPCO
2055-01-04 22:00:00,1976.36,IPCO
2055-01-04 23:00:00,1963.06,IPCO
2055-01-05 00:00:00,2051.77,IPCO
2055-01-05 01:00:00,2047.04,IPCO
2055-01-05 02:00:00,2055.43,IPCO
2055-01-05 03:00:00,2064.4,IPCO
2055-01-05 04:00:00,2027.28,IPCO
2055-01-05 05:00:00,1887.88,IPCO
2055-01-05 06:00:00,1757.51,IPCO
2055-01-05 07:00:00,1638.57,IPCO
2055-01-05 08:00:00,1562.92,IPCO
2055-01-05 09:00:00,1531.99,IPCO
2055-01-05 10:00:00,1547.11,IPCO
2055-01-05 11:00:00,1580.94,IPCO
2055-01-05 12:00:00,1635.5,IPCO
2055-01-05 13:00:00,1690.87,IPCO
2055-01-05 14:00:00,1749.91,IPCO
2055-01-05 15:00:00,1809.51,IPCO
2055-01-05 16:00:00,1900.01,IPCO
2055-01-05 17:00:00,1929.51,IPCO
2055-01-05 18:00:00,1911.99,IPCO
2055-01-05 19:00:00,1892.65,IPCO
2055-01-05 20:00:00,1851.18,IPCO
2055-01-05 21:00:00,1805.56,IPCO
2055-01-05 22:00:00,1710.09,IPCO
2055-01-05 23:00:00,1744.85,IPCO
2055-01-06 00:00:00,1883.31,IPCO
2055-01-06 01:00:00,1893.89,IPCO
2055-01-06 02:00:00,1892.24,IPCO
2055-01-06 03:00:00,1896.19,IPCO
2055-01-06 04:00:00,1878.28,IPCO
2055-01-06 05:00:00,1756.03,IPCO
2055-01-06 06:00:00,1640.93,IPCO
