Time_UTC,Load,BA
2055-01-01 00:00:00,17051.35,ISNE
2055-01-01 01:00:00,16301.26,ISNE
2055-01-01 02:00:00,15546.87,ISNE
2055-01-01 03:00:00,14843.84,ISNE
2055-01-01 04:00:00,14112.84,ISNE
2055-01-01 05:00:00,13389.44,ISNE
2055-01-01 06:00:00,12876.68,ISNE
2055-01-01 07:00:00,12487.99,ISNE
2055-01-01 08:00:00,12240.98,ISNE
2055-01-01 09:00:00,12288.03,ISNE
2055-01-01 10:00:00,12541.64,ISNE
2055-01-01 11:00:00,12886.87,ISNE
2055-01-01 12:00:00,13273.98,ISNE
2055-01-01 13:00:00,14413.79,ISNE
2055-01-01 14:00:00,15049.8,ISNE
2055-01-01 15:00:00,15131.15,ISNE
2055-01-01 16:00:00,15200.03,ISNE
2055-01-01 17:00:00,15204.94,ISNE
2055-01-01 18:00:00,15179.77,ISNE
2055-01-01 19:00:00,15166.3,ISNE
2055-01-01 20:00:00,15097.94,ISNE
2055-01-01 21:00:00,15584.17,ISNE
2055-01-01 22:00:00,16175.52,ISNE
2055-01-01 23:00:00,16580.61,ISNE
2055-01-02 00:00:00,16741.64,ISNE
2055-01-02 01:00:00,16020.68,ISNE
2055-01-02 02:00:00,15264.48,ISNE
2055-01-02 03:00:00,14535.88,ISNE
2055-01-02 04:00:00,13799.8,ISNE
2055-01-02 05:00:00,13047.4,ISNE
2055-01-02 06:00:00,12431.36,ISNE
2055-01-02 07:00:00,12204.67,ISNE
2055-01-02 08:00:00,12096.84,ISNE
2055-01-02 09:00:00,12014.02,ISNE
2055-01-02 10:00:00,12112.22,ISNE
2055-01-02 11:00:00,12296.16,ISNE
2055-01-02 12:00:00,12499.85,ISNE
2055-01-02 13:00:00,12908.27,ISNE
2055-01-02 14:00:00,13359.22,ISNE
2055-01-02 15:00:00,13411.35,ISNE
2055-01-02 16:00:00,13322.71,ISNE
2055-01-02 17:00:00,13260.56,ISNE
2055-01-02 18:00:00,13261.19,ISNE
2055-01-02 19:00:00,13259.37,ISNE
2055-01-02 20:00:00,13348.46,ISNE
2055-01-02 21:00:00,13931.82,ISNE
2055-01-02 22:00:00,14477.68,ISNE
2055-01-02 23:00:00,14953.31,ISNE
2055-01-03 00:00:00,16613.61,ISNE
2055-01-03 01:00:00,15982.0,ISNE
2055-01-03 02:00:00,15307.39,ISNE
2055-01-03 03:00:00,14619.7,ISNE
2055-01-03 04:00:00,13860.53,ISNE
2055-01-03 05:00:00,13031.13,ISNE
2055-01-03 06:00:00,12487.86,ISNE
2055-01-03 07:00:00,12309.66,ISNE
2055-01-03 08:00:00,12251.43,ISNE
2055-01-03 09:00:00,12262.31,ISNE
2055-01-03 10:00:00,12263.98,ISNE
2055-01-03 11:00:00,12495.59,ISNE
2055-01-03 12:00:00,12742.74,ISNE
2055-01-03 13:00:00,13120.56,ISNE
2055-01-03 14:00:00,13616.33,ISNE
2055-01-03 15:00:00,13780.68,ISNE
2055-01-03 16:00:00,14106.96,ISNE
2055-01-03 17:00:00,14300.87,ISNE
2055-01-03 18:00:00,14426.74,ISNE
2055-01-03 19:00:00,14453.11,ISNE
2055-01-03 20:00:00,14819.53,ISNE
2055-01-03 21:00:00,15232.15,ISNE
2055-01-03 22:00:00,15536.43,ISNE
2055-01-03 23:00:00,15688.17,ISNE
