Time_UTC,Load,BA
2055-01-01 00:00:00,1575.06,JEA
2055-01-01 01:00:00,1503.3,JEA
2055-01-01 02:00:00,1431.83,JEA
2055-01-01 03:00:00,1360.55,JEA
2055-01-01 04:00:00,1298.69,JEA
2055-01-01 05:00:00,1237.48,JEA
2055-01-01 06:00:00,1184.42,JEA
2055-01-01 07:00:00,1128.82,JEA
2055-01-01 08:00:00,1098.35,JEA
2055-01-01 09:00:00,1102.9,JEA
2055-01-01 10:00:00,1137.07,JEA
2055-01-01 11:00:00,1181.59,JEA
2055-01-01 12:00:00,1222.67,JEA
2055-01-01 13:00:00,1274.8,JEA
2055-01-01 14:00:00,1344.46,JEA
2055-01-01 15:00:00,1376.71,JEA
2055-01-01 16:00:00,1404.83,JEA
2055-01-01 17:00:00,1378.17,JEA
2055-01-01 18:00:00,1350.38,JEA
2055-01-01 19:00:00,1356.78,JEA
2055-01-01 20:00:00,1350.55,JEA
2055-01-01 21:00:00,1345.82,JEA
2055-01-01 22:00:00,1341.95,JEA
2055-01-01 23:00:00,1353.88,JEA
2055-01-02 00:00:00,1498.17,JEA
2055-01-02 01:00:00,1424.17,JEA
2055-01-02 02:00:00,1348.21,JEA
2055-01-02 03:00:00,1277.67,JEA
2055-01-02 04:00:00,1202.03,JEA
2055-01-02 05:00:00,1121.08,JEA
2055-01-02 06:00:00,1052.31,JEA
2055-01-02 07:00:00,995.89,JEA
2055-01-02 08:00:00,963.9,JEA
2055-01-02 09:00:00,970.3,JEA
2055-01-02 10:00:00,992.21,JEA
2055-01-02 11:00:00,1011.84,JEA
2055-01-02 12:00:00,1039.17,JEA
2055-01-02 13:00:00,1072.18,JEA
2055-01-02 14:00:00,1140.04,JEA
2055-01-02 15:00:00,1205.02,JEA
2055-01-02 16:00:00,1234.27,JEA
2055-01-02 17:00:00,1258.73,JEA
2055-01-02 18:00:00,1275.2,JEA
2055-01-02 19:00:00,1310.33,JEA
2055-01-02 20:00:00,1310.65,JEA
2055-01-02 21:00:00,1279.61,JEA
2055-01-02 22:00:00,1258.85,JEA
2055-01-02 23:00:00,1270.07,JEA
2055-01-03 00:00:00,1497.68,JEA
2055-01-03 01:00:00,1424.27,JEA
2055-01-03 02:00:00,1353.78,JEA
2055-01-03 03:00:00,1292.29,JEA
2055-01-03 04:00:00,1217.58,JEA
2055-01-03 05:00:00,1145.99,JEA
2055-01-03 06:00:00,1092.95,JEA
2055-01-03 07:00:00,1038.5,JEA
2055-01-03 08:00:00,985.81,JEA
2055-01-03 09:00:00,989.47,JEA
2055-01-03 10:00:00,1018.89,JEA
2055-01-03 11:00:00,1049.49,JEA
2055-01-03 12:00:00,1070.78,JEA
2055-01-03 13:00:00,1111.39,JEA
2055-01-03 14:00:00,1199.15,JEA
2055-01-03 15:00:00,1273.55,JEA
2055-01-03 16:00:00,1370.96,JEA
2055-01-03 17:00:00,1462.1,JEA
2055-01-03 18:00:00,1530.34,JEA
2055-01-03 19:00:00,1574.99,JEA
2055-01-03 20:00:00,1593.87,JEA
2055-01-03 21:00:00,1581.91,JEA
2055-01-03 22:00:00,1513.47,JEA
2055-01-03 23:00:00,1465.52,JEA
2055-01-04 00:00:00,1714.13,JEA
2055-01-04 01:00:00,1605.06,JEA
2055-01-04 02:00:00,1501.29,JEA
2055-01-04 03:00:00,1400.75,JEA
2055-01-04 04:00:00,1313.27,JEA
2055-01-04 05:00:00,1220.36,JEA
2055-01-04 06:00:00,1139.07,JEA
2055-01-04 07:00:00,1072.8,JEA
2055-01-04 08:00:00,1061.75,JEA
2055-01-04 09:00:00,1091.93,JEA
2055-01-04 10:00:00,1122.91,JEA
2055-01-04 11:00:00,1142.35,JEA
2055-01-04 12:00:00,1163.46,JEA
2055-01-04 13:00:00,1219.0,JEA
2055-01-04 14:00:00,1268.02,JEA
2055-01-04 15:00:00,1305.77,JEA
2055-01-04 16:00:00,1378.06,JEA
2055-01-04 17:00:00,1465.59,JEA
2055-01-04 18:00:00,1526.65,JEA
2055-01-04 19:00:00,1552.34,JEA
2055-01-04 20:00:00,1548.96,JEA
2055-01-04 21:00:00,1553.36,JEA
2055-01-04 22:00:00,1514.01,JEA
2055-01-04 23:00:00,1467.65,JEA
2055-01-05 00:00:00,1671.36,JEA
2055-01-05 01:00:00,1577.62,JEA
2055-01-05 02:00:00,1481.85,JEA
2055-01-05 03:00:00,1368.22,JEA
2055-01-05 04:00:00,1265.87,JEA
2055-01-05 05:00:00,1163.09,JEA
2055-01-05 06:00:00,1054.46,JEA
2055-01-05 07:00:00,986.01,JEA
2055-01-05 08:00:00,989.9,JEA
2055-01-05 09:00:00,1037.32,JEA
2055-01-05 10:00:00,1093.76,JEA
2055-01-05 11:00:00,1170.73,JEA
2055-01-05 12:00:00,1257.42,JEA
2055-01-05 13:00:00,1387.47,JEA
2055-01-05 14:00:00,1496.09,JEA
2055-01-05 15:00:00,1560.84,JEA
2055-01-05 16:00:00,1602.12,JEA
2055-01-05 17:00:00,1580.66,JEA
2055-01-05 18:00:00,1542.3,JEA
2055-01-05 19:00:00,1490.11,JEA
2055-01-05 20:00:00,1448.74,JEA
2055-01-05 21:00:00,1436.79,JEA
2055-01-05 22:00:00,1407.18,JEA
2055-01-05 23:00:00,1449.57,JEA
2055-01-06 00:00:00,1697.42,JEA
2055-01-06 01:00:00,1627.56,JEA
2055-01-06 02:00:00,1547.34,JEA
2055-01-06 03:00:00,1463.53,JEA
2055-01-06 04:00:00,1382.17,JEA
2055-01-06 05:00:00,1308.7,JEA
2055-01-06 06:00:00,1235.3,JEA
2055-01-06 07:00:00,1180.76,JEA
2055-01-06 08:00:00,1200.47,JEA
2055-01-06 09:00:00,1245.25,JEA
2055-01-06 10:00:00,1274.29,JEA
2055-01-06 11:00:00,1350.61,JEA
2055-01-06 12:00:00,1396.83,JEA
2055-01-06 13:00:00,1484.64,JEA
2055-01-06 14:00:00,1489.08,JEA
2055-01-06 15:00:00,1377.75,JEA
2055-01-06 16:00:00,1312.14,JEA
2055-01-06 17:00:00,1286.71,JEA
2055-01-06 18:00:00,1289.0,JEA
2055-01-06 19:00:00,1295.17,JEA
2055-01-06 20:00:00,1285.23,JEA
2055-01-06 21:00:00,1285.1,JEA
2055-01-06 22:00:00,1279.5,JEA
2055-01-06 23:00:00,1305.61,JEA
2055-01-07 00:00:00,1586.96,JEA
2055-01-07 01:00:00,1551.54,JEA
2055-01-07 02:00:00,1508.07,JEA
2055-01-07 03:00:00,1469.28,JEA
2055-01-07 04:00:00,1426.74,JEA
2055-01-07 05:00:00,1385.65,JEA
2055-01-07 06:00:00,1347.87,JEA
2055-01-07 07:00:00,1334.47,JEA
2055-01-07 08:00:00,1391.58,JEA
2055-01-07 09:00:00,1500.54,JEA
2055-01-07 10:00:00,1611.16,JEA
2055-01-07 11:00:00,1727.15,JEA
2055-01-07 12:00:00,1842.37,JEA
2055-01-07 13:00:00,1951.97,JEA
2055-01-07 14:00:00,1842.36,JEA
2055-01-07 15:00:00,1684.37,JEA
2055-01-07 16:00:00,1585.34,JEA
2055-01-07 17:00:00,1496.9,JEA
2055-01-07 18:00:00,1421.66,JEA
2055-01-07 19:00:00,1364.46,JEA
2055-01-07 20:00:00,1324.24,JEA
2055-01-07 21:00:00,1313.1,JEA
2055-01-07 22:00:00,1297.99,JEA
2055-01-07 23:00:00,1347.36,JEA
2055-01-08 00:00:00,1684.55,JEA
2055-01-08 01:00:00,1668.61,JEA
2055-01-08 02:00:00,1668.54,JEA
2055-01-08 03:00:00,1673.01,JEA
2055-01-08 04:00:00,1681.61,JEA
2055-01-08 05:00:00,1681.05,JEA
2055-01-08 06:00:00,1699.39,JEA
2055-01-08 07:00:00,1737.86,JEA
2055-01-08 08:00:00,1863.97,JEA
2055-01-08 09:00:00,2020.43,JEA
2055-01-08 10:00:00,2172.35,JEA
2055-01-08 11:00:00,2258.51,JEA
2055-01-08 12:00:00,2322.37,JEA
