Time_UTC,Load,BA
2055-01-01 00:00:00,4796.59,LGEE
2055-01-01 01:00:00,4735.83,LGEE
2055-01-01 02:00:00,4684.62,LGEE
2055-01-01 03:00:00,4620.69,LGEE
2055-01-01 04:00:00,4535.42,LGEE
2055-01-01 05:00:00,4434.28,LGEE
2055-01-01 06:00:00,4330.37,LGEE
2055-01-01 07:00:00,4244.96,LGEE
2055-01-01 08:00:00,4194.83,LGEE
2055-01-01 09:00:00,4267.13,LGEE
2055-01-01 10:00:00,4372.99,LGEE
2055-01-01 11:00:00,4484.12,LGEE
2055-01-01 12:00:00,4587.28,LGEE
2055-01-01 13:00:00,4704.21,LGEE
2055-01-01 14:00:00,4834.4,LGEE
2055-01-01 15:00:00,4730.81,LGEE
2055-01-01 16:00:00,4601.4,LGEE
2055-01-01 17:00:00,4559.0,LGEE
2055-01-01 18:00:00,4409.54,LGEE
2055-01-01 19:00:00,4281.48,LGEE
2055-01-01 20:00:00,4250.99,LGEE
2055-01-01 21:00:00,4243.04,LGEE
2055-01-01 22:00:00,4342.4,LGEE
2055-01-01 23:00:00,4448.53,LGEE
2055-01-02 00:00:00,4590.74,LGEE
2055-01-02 01:00:00,4552.66,LGEE
2055-01-02 02:00:00,4459.26,LGEE
2055-01-02 03:00:00,4354.86,LGEE
2055-01-02 04:00:00,4233.05,LGEE
2055-01-02 05:00:00,4085.42,LGEE
2055-01-02 06:00:00,3975.3,LGEE
2055-01-02 07:00:00,3900.15,LGEE
2055-01-02 08:00:00,3880.31,LGEE
2055-01-02 09:00:00,3922.78,LGEE
2055-01-02 10:00:00,3996.82,LGEE
2055-01-02 11:00:00,4090.14,LGEE
2055-01-02 12:00:00,4184.8,LGEE
2055-01-02 13:00:00,4254.3,LGEE
2055-01-02 14:00:00,4299.42,LGEE
2055-01-02 15:00:00,4290.37,LGEE
2055-01-02 16:00:00,4259.08,LGEE
2055-01-02 17:00:00,4268.4,LGEE
2055-01-02 18:00:00,4295.68,LGEE
2055-01-02 19:00:00,4276.04,LGEE
2055-01-02 20:00:00,4255.56,LGEE
2055-01-02 21:00:00,4260.14,LGEE
2055-01-02 22:00:00,4282.9,LGEE
2055-01-02 23:00:00,4294.78,LGEE
2055-01-03 00:00:00,4451.57,LGEE
2055-01-03 01:00:00,4316.45,LGEE
2055-01-03 02:00:00,4228.23,LGEE
2055-01-03 03:00:00,4135.65,LGEE
2055-01-03 04:00:00,3988.24,LGEE
2055-01-03 05:00:00,3838.49,LGEE
2055-01-03 06:00:00,3685.37,LGEE
2055-01-03 07:00:00,3481.71,LGEE
2055-01-03 08:00:00,3361.0,LGEE
2055-01-03 09:00:00,3368.84,LGEE
2055-01-03 10:00:00,3407.66,LGEE
2055-01-03 11:00:00,3442.29,LGEE
2055-01-03 12:00:00,3488.22,LGEE
2055-01-03 13:00:00,3551.17,LGEE
2055-01-03 14:00:00,3574.73,LGEE
2055-01-03 15:00:00,3535.0,LGEE
2055-01-03 16:00:00,3442.43,LGEE
2055-01-03 17:00:00,3407.93,LGEE
2055-01-03 18:00:00,3431.23,LGEE
2055-01-03 19:00:00,3428.6,LGEE
2055-01-03 20:00:00,3416.51,LGEE
2055-01-03 21:00:00,3423.11,LGEE
2055-01-03 22:00:00,3438.71,LGEE
2055-01-03 23:00:00,3401.59,LGEE
2055-01-04 00:00:00,4196.75,LGEE
2055-01-04 01:00:00,4063.01,LGEE
2055-01-04 02:00:00,3909.08,LGEE
2055-01-04 03:00:00,3735.12,LGEE
2055-01-04 04:00:00,3602.69,LGEE
2055-01-04 05:00:00,3478.6,LGEE
2055-01-04 06:00:00,3363.01,LGEE
2055-01-04 07:00:00,3263.14,LGEE
2055-01-04 08:00:00,3192.78,LGEE
2055-01-04 09:00:00,3205.97,LGEE
2055-01-04 10:00:00,3321.81,LGEE
2055-01-04 11:00:00,3470.27,LGEE
2055-01-04 12:00:00,3616.77,LGEE
2055-01-04 13:00:00,3779.3,LGEE
2055-01-04 14:00:00,3964.47,LGEE
2055-01-04 15:00:00,4062.9,LGEE
2055-01-04 16:00:00,4084.82,LGEE
2055-01-04 17:00:00,4115.52,LGEE
2055-01-04 18:00:00,4153.4,LGEE
2055-01-04 19:00:00,4192.84,LGEE
2055-01-04 20:00:00,4261.99,LGEE
2055-01-04 21:00:00,4361.94,LGEE
2055-01-04 22:00:00,4465.36,LGEE
2055-01-04 23:00:00,4598.38,LGEE
2055-01-05 00:00:00,4884.99,LGEE
2055-01-05 01:00:00,4860.36,LGEE
2055-01-05 02:00:00,4827.95,LGEE
2055-01-05 03:00:00,4773.92,LGEE
2055-01-05 04:00:00,4702.23,LGEE
2055-01-05 05:00:00,4633.18,LGEE
2055-01-05 06:00:00,4561.47,LGEE
