Time_UTC,Load,BA
2055-01-01 00:00:00,81799.1,MISO
2055-01-01 01:00:00,81820.12,MISO
2055-01-01 02:00:00,80877.41,MISO
2055-01-01 03:00:00,79816.31,MISO
2055-01-01 04:00:00,77589.45,MISO
2055-01-01 05:00:00,75313.4,MISO
2055-01-01 06:00:00,73087.22,MISO
2055-01-01 07:00:00,70920.02,MISO
2055-01-01 08:00:00,69472.54,MISO
2055-01-01 09:00:00,69343.13,MISO
2055-01-01 10:00:00,70584.86,MISO
2055-01-01 11:00:00,72187.76,MISO
2055-01-01 12:00:00,73850.58,MISO
2055-01-01 13:00:00,75517.3,MISO
2055-01-01 14:00:00,78612.8,MISO
2055-01-01 15:00:00,80810.65,MISO
2055-01-01 16:00:00,80792.5,MISO
2055-01-01 17:00:00,80276.83,MISO
2055-01-01 18:00:00,79825.62,MISO
2055-01-01 19:00:00,79570.27,MISO
2055-01-01 20:00:00,79326.0,MISO
2055-01-01 21:00:00,79237.33,MISO
2055-01-01 22:00:00,77989.59,MISO
2055-01-01 23:00:00,77697.3,MISO
2055-01-02 00:00:00,78604.5,MISO
2055-01-02 01:00:00,78413.25,MISO
2055-01-02 02:00:00,77920.97,MISO
2055-01-02 03:00:00,76071.56,MISO
2055-01-02 04:00:00,73633.25,MISO
2055-01-02 05:00:00,71056.97,MISO
2055-01-02 06:00:00,68624.66,MISO
2055-01-02 07:00:00,66814.56,MISO
2055-01-02 08:00:00,65266.13,MISO
2055-01-02 09:00:00,64673.32,MISO
2055-01-02 10:00:00,65079.98,MISO
2055-01-02 11:00:00,65882.57,MISO
2055-01-02 12:00:00,66677.27,MISO
2055-01-02 13:00:00,67455.27,MISO
2055-01-02 14:00:00,68821.33,MISO
2055-01-02 15:00:00,70601.55,MISO
2055-01-02 16:00:00,71456.29,MISO
2055-01-02 17:00:00,71427.92,MISO
2055-01-02 18:00:00,71558.93,MISO
2055-01-02 19:00:00,71290.34,MISO
2055-01-02 20:00:00,70592.61,MISO
2055-01-02 21:00:00,69601.64,MISO
2055-01-02 22:00:00,69189.55,MISO
2055-01-02 23:00:00,69588.32,MISO
2055-01-03 00:00:00,74947.66,MISO
2055-01-03 01:00:00,74383.83,MISO
2055-01-03 02:00:00,73872.05,MISO
2055-01-03 03:00:00,72112.41,MISO
2055-01-03 04:00:00,69643.91,MISO
2055-01-03 05:00:00,66980.79,MISO
2055-01-03 06:00:00,64307.97,MISO
2055-01-03 07:00:00,62727.7,MISO
2055-01-03 08:00:00,61342.51,MISO
2055-01-03 09:00:00,60812.28,MISO
2055-01-03 10:00:00,61172.0,MISO
2055-01-03 11:00:00,62127.58,MISO
2055-01-03 12:00:00,62999.72,MISO
2055-01-03 13:00:00,64060.47,MISO
2055-01-03 14:00:00,65403.9,MISO
2055-01-03 15:00:00,66862.17,MISO
2055-01-03 16:00:00,67791.93,MISO
2055-01-03 17:00:00,68483.41,MISO
2055-01-03 18:00:00,68981.28,MISO
2055-01-03 19:00:00,69179.71,MISO
2055-01-03 20:00:00,69098.32,MISO
2055-01-03 21:00:00,69110.66,MISO
2055-01-03 22:00:00,68904.42,MISO
2055-01-03 23:00:00,68773.92,MISO
2055-01-04 00:00:00,77567.81,MISO
2055-01-04 01:00:00,77218.34,MISO
2055-01-04 02:00:00,76830.23,MISO
2055-01-04 03:00:00,74940.49,MISO
2055-01-04 04:00:00,72482.66,MISO
2055-01-04 05:00:00,70059.01,MISO
2055-01-04 06:00:00,67643.76,MISO
2055-01-04 07:00:00,65598.39,MISO
2055-01-04 08:00:00,65089.58,MISO
2055-01-04 09:00:00,65787.15,MISO
2055-01-04 10:00:00,67523.6,MISO
2055-01-04 11:00:00,69028.38,MISO
2055-01-04 12:00:00,70908.77,MISO
2055-01-04 13:00:00,73096.24,MISO
2055-01-04 14:00:00,76118.67,MISO
2055-01-04 15:00:00,79931.98,MISO
2055-01-04 16:00:00,81332.29,MISO
2055-01-04 17:00:00,81462.9,MISO
2055-01-04 18:00:00,81348.83,MISO
2055-01-04 19:00:00,81566.27,MISO
2055-01-04 20:00:00,81260.98,MISO
2055-01-04 21:00:00,80233.41,MISO
2055-01-04 22:00:00,79944.04,MISO
2055-01-04 23:00:00,80397.75,MISO
2055-01-05 00:00:00,88153.0,MISO
2055-01-05 01:00:00,88676.43,MISO
2055-01-05 02:00:00,87535.88,MISO
2055-01-05 03:00:00,85439.8,MISO
2055-01-05 04:00:00,83197.38,MISO
2055-01-05 05:00:00,80963.7,MISO
2055-01-05 06:00:00,78845.17,MISO
2055-01-05 07:00:00,77148.97,MISO
2055-01-05 08:00:00,76124.68,MISO
2055-01-05 09:00:00,77232.76,MISO
2055-01-05 10:00:00,79413.69,MISO
2055-01-05 11:00:00,81562.54,MISO
2055-01-05 12:00:00,83443.97,MISO
2055-01-05 13:00:00,84987.77,MISO
2055-01-05 14:00:00,90183.58,MISO
2055-01-05 15:00:00,92043.4,MISO
2055-01-05 16:00:00,92022.95,MISO
2055-01-05 17:00:00,91351.99,MISO
2055-01-05 18:00:00,90240.67,MISO
2055-01-05 19:00:00,89088.3,MISO
2055-01-05 20:00:00,88146.83,MISO
2055-01-05 21:00:00,87492.22,MISO
2055-01-05 22:00:00,86837.21,MISO
2055-01-05 23:00:00,86393.66,MISO
2055-01-06 00:00:00,88932.05,MISO
2055-01-06 01:00:00,88605.67,MISO
2055-01-06 02:00:00,87529.83,MISO
