Time_UTC,Load,BA
2055-01-01 00:00:00,3662.13,NEVP
2055-01-01 01:00:00,3963.18,NEVP
2055-01-01 02:00:00,4116.38,NEVP
2055-01-01 03:00:00,4269.58,NEVP
2055-01-01 04:00:00,4281.9,NEVP
2055-01-01 05:00:00,4173.13,NEVP
2055-01-01 06:00:00,3998.09,NEVP
2055-01-01 07:00:00,3822.08,NEVP
2055-01-01 08:00:00,3691.67,NEVP
2055-01-01 09:00:00,3594.2,NEVP
2055-01-01 10:00:00,3539.76,NEVP
2055-01-01 11:00:00,3516.08,NEVP
2055-01-01 12:00:00,3525.88,NEVP
2055-01-01 13:00:00,3552.78,NEVP
2055-01-01 14:00:00,3586.06,NEVP
2055-01-01 15:00:00,3616.06,NEVP
2055-01-01 16:00:00,3590.75,NEVP
2055-01-01 17:00:00,3563.5,NEVP
2055-01-01 18:00:00,3561.99,NEVP
2055-01-01 19:00:00,3561.77,NEVP
2055-01-01 20:00:00,3555.38,NEVP
2055-01-01 21:00:00,3541.68,NEVP
2055-01-01 22:00:00,3509.04,NEVP
2055-01-01 23:00:00,3437.0,NEVP
2055-01-02 00:00:00,3694.92,NEVP
2055-01-02 01:00:00,4077.57,NEVP
2055-01-02 02:00:00,4204.22,NEVP
2055-01-02 03:00:00,4221.14,NEVP
2055-01-02 04:00:00,4210.67,NEVP
2055-01-02 05:00:00,4168.01,NEVP
2055-01-02 06:00:00,4024.54,NEVP
2055-01-02 07:00:00,3865.26,NEVP
2055-01-02 08:00:00,3723.18,NEVP
2055-01-02 09:00:00,3630.06,NEVP
2055-01-02 10:00:00,3605.11,NEVP
2055-01-02 11:00:00,3593.47,NEVP
2055-01-02 12:00:00,3596.88,NEVP
2055-01-02 13:00:00,3629.47,NEVP
2055-01-02 14:00:00,3663.88,NEVP
2055-01-02 15:00:00,3686.28,NEVP
2055-01-02 16:00:00,3655.41,NEVP
2055-01-02 17:00:00,3602.45,NEVP
2055-01-02 18:00:00,3576.1,NEVP
