Time_UTC,Load,BA
2055-01-01 00:00:00,1505.93,NWMT
2055-01-01 01:00:00,1540.6,NWMT
2055-01-01 02:00:00,1571.12,NWMT
2055-01-01 03:00:00,1564.94,NWMT
2055-01-01 04:00:00,1537.83,NWMT
2055-01-01 05:00:00,1482.74,NWMT
2055-01-01 06:00:00,1428.24,NWMT
2055-01-01 07:00:00,1372.54,NWMT
2055-01-01 08:00:00,1324.92,NWMT
2055-01-01 09:00:00,1291.45,NWMT
2055-01-01 10:00:00,1277.02,NWMT
2055-01-01 11:00:00,1285.07,NWMT
2055-01-01 12:00:00,1318.03,NWMT
2055-01-01 13:00:00,1358.21,NWMT
2055-01-01 14:00:00,1397.16,NWMT
2055-01-01 15:00:00,1433.77,NWMT
2055-01-01 16:00:00,1502.09,NWMT
2055-01-01 17:00:00,1515.66,NWMT
2055-01-01 18:00:00,1510.7,NWMT
2055-01-01 19:00:00,1497.87,NWMT
2055-01-01 20:00:00,1486.06,NWMT
2055-01-01 21:00:00,1475.13,NWMT
2055-01-01 22:00:00,1461.9,NWMT
2055-01-01 23:00:00,1452.54,NWMT
2055-01-02 00:00:00,1459.1,NWMT
2055-01-02 01:00:00,1504.65,NWMT
2055-01-02 02:00:00,1520.78,NWMT
2055-01-02 03:00:00,1525.31,NWMT
2055-01-02 04:00:00,1502.68,NWMT
2055-01-02 05:00:00,1442.78,NWMT
2055-01-02 06:00:00,1377.51,NWMT
2055-01-02 07:00:00,1314.78,NWMT
2055-01-02 08:00:00,1271.41,NWMT
2055-01-02 09:00:00,1253.9,NWMT
2055-01-02 10:00:00,1244.5,NWMT
2055-01-02 11:00:00,1249.04,NWMT
2055-01-02 12:00:00,1266.44,NWMT
2055-01-02 13:00:00,1287.34,NWMT
2055-01-02 14:00:00,1309.54,NWMT
2055-01-02 15:00:00,1331.69,NWMT
2055-01-02 16:00:00,1381.67,NWMT
2055-01-02 17:00:00,1397.26,NWMT
2055-01-02 18:00:00,1391.35,NWMT
2055-01-02 19:00:00,1385.2,NWMT
2055-01-02 20:00:00,1378.52,NWMT
2055-01-02 21:00:00,1369.88,NWMT
2055-01-02 22:00:00,1358.4,NWMT
2055-01-02 23:00:00,1346.01,NWMT
2055-01-03 00:00:00,1421.53,NWMT
2055-01-03 01:00:00,1476.68,NWMT
2055-01-03 02:00:00,1498.12,NWMT
2055-01-03 03:00:00,1500.18,NWMT
2055-01-03 04:00:00,1493.89,NWMT
2055-01-03 05:00:00,1436.95,NWMT
2055-01-03 06:00:00,1374.32,NWMT
2055-01-03 07:00:00,1332.08,NWMT
2055-01-03 08:00:00,1304.8,NWMT
2055-01-03 09:00:00,1305.82,NWMT
2055-01-03 10:00:00,1311.4,NWMT
2055-01-03 11:00:00,1337.21,NWMT
2055-01-03 12:00:00,1374.17,NWMT
2055-01-03 13:00:00,1406.44,NWMT
2055-01-03 14:00:00,1440.68,NWMT
2055-01-03 15:00:00,1477.89,NWMT
2055-01-03 16:00:00,1547.04,NWMT
2055-01-03 17:00:00,1584.2,NWMT
2055-01-03 18:00:00,1581.37,NWMT
2055-01-03 19:00:00,1577.15,NWMT
2055-01-03 20:00:00,1565.88,NWMT
2055-01-03 21:00:00,1549.72,NWMT
2055-01-03 22:00:00,1524.29,NWMT
2055-01-03 23:00:00,1504.22,NWMT
2055-01-04 00:00:00,1617.03,NWMT
2055-01-04 01:00:00,1655.89,NWMT
2055-01-04 02:00:00,1679.19,NWMT
2055-01-04 03:00:00,1677.48,NWMT
2055-01-04 04:00:00,1631.23,NWMT
2055-01-04 05:00:00,1563.65,NWMT
