Time_UTC,Load,BA
2055-01-01 00:00:00,5689.85,PACE
2055-01-01 01:00:00,5817.94,PACE
2055-01-01 02:00:00,5861.19,PACE
2055-01-01 03:00:00,5900.25,PACE
2055-01-01 04:00:00,5888.04,PACE
2055-01-01 05:00:00,5694.21,PACE
2055-01-01 06:00:00,5487.01,PACE
2055-01-01 07:00:00,5291.99,PACE
2055-01-01 08:00:00,5138.38,PACE
2055-01-01 09:00:00,5034.68,PACE
2055-01-01 10:00:00,5023.39,PACE
2055-01-01 11:00:00,5082.23,PACE
2055-01-01 12:00:00,5145.48,PACE
2055-01-01 13:00:00,5228.9,PACE
2055-01-01 14:00:00,5255.71,PACE
2055-01-01 15:00:00,5283.81,PACE
2055-01-01 16:00:00,5556.26,PACE
2055-01-01 17:00:00,5585.85,PACE
2055-01-01 18:00:00,5574.91,PACE
2055-01-01 19:00:00,5540.76,PACE
2055-01-01 20:00:00,5509.37,PACE
2055-01-01 21:00:00,5473.64,PACE
2055-01-01 22:00:00,5450.76,PACE
2055-01-01 23:00:00,5413.87,PACE
2055-01-02 00:00:00,5836.49,PACE
2055-01-02 01:00:00,5941.81,PACE
2055-01-02 02:00:00,6006.71,PACE
2055-01-02 03:00:00,6054.39,PACE
2055-01-02 04:00:00,5933.06,PACE
2055-01-02 05:00:00,5737.34,PACE
2055-01-02 06:00:00,5560.11,PACE
2055-01-02 07:00:00,5374.3,PACE
2055-01-02 08:00:00,5234.43,PACE
2055-01-02 09:00:00,5174.0,PACE
2055-01-02 10:00:00,5171.55,PACE
2055-01-02 11:00:00,5218.35,PACE
2055-01-02 12:00:00,5273.84,PACE
2055-01-02 13:00:00,5339.24,PACE
2055-01-02 14:00:00,5409.84,PACE
2055-01-02 15:00:00,5493.85,PACE
2055-01-02 16:00:00,5552.16,PACE
2055-01-02 17:00:00,5569.77,PACE
2055-01-02 18:00:00,5567.38,PACE
2055-01-02 19:00:00,5545.95,PACE
2055-01-02 20:00:00,5523.61,PACE
2055-01-02 21:00:00,5499.22,PACE
