Time_UTC,Load,BA
2055-01-01 00:00:00,2809.76,PACW
2055-01-01 01:00:00,2925.13,PACW
2055-01-01 02:00:00,3024.14,PACW
2055-01-01 03:00:00,3076.64,PACW
2055-01-01 04:00:00,3009.07,PACW
2055-01-01 05:00:00,2888.32,PACW
2055-01-01 06:00:00,2767.77,PACW
2055-01-01 07:00:00,2649.76,PACW
2055-01-01 08:00:00,2525.64,PACW
2055-01-01 09:00:00,2406.19,PACW
2055-01-01 10:00:00,2301.86,PACW
2055-01-01 11:00:00,2342.43,PACW
2055-01-01 12:00:00,2436.19,PACW
2055-01-01 13:00:00,2536.5,PACW
2055-01-01 14:00:00,2647.0,PACW
2055-01-01 15:00:00,2731.93,PACW
2055-01-01 16:00:00,2859.86,PACW
2055-01-01 17:00:00,3143.19,PACW
2055-01-01 18:00:00,3098.95,PACW
2055-01-01 19:00:00,3040.12,PACW
2055-01-01 20:00:00,2977.21,PACW
2055-01-01 21:00:00,2916.64,PACW
2055-01-01 22:00:00,2866.45,PACW
2055-01-01 23:00:00,2816.59,PACW
2055-01-02 00:00:00,2684.74,PACW
2055-01-02 01:00:00,2778.51,PACW
2055-01-02 02:00:00,2888.72,PACW
2055-01-02 03:00:00,2949.38,PACW
2055-01-02 04:00:00,2870.45,PACW
2055-01-02 05:00:00,2783.97,PACW
2055-01-02 06:00:00,2695.74,PACW
2055-01-02 07:00:00,2593.66,PACW
2055-01-02 08:00:00,2497.75,PACW
2055-01-02 09:00:00,2435.89,PACW
2055-01-02 10:00:00,2384.98,PACW
2055-01-02 11:00:00,2397.69,PACW
2055-01-02 12:00:00,2451.44,PACW
2055-01-02 13:00:00,2504.19,PACW
2055-01-02 14:00:00,2569.63,PACW
2055-01-02 15:00:00,2641.78,PACW
2055-01-02 16:00:00,2796.42,PACW
2055-01-02 17:00:00,2934.73,PACW
2055-01-02 18:00:00,2878.38,PACW
2055-01-02 19:00:00,2777.23,PACW
2055-01-02 20:00:00,2681.87,PACW
2055-01-02 21:00:00,2594.26,PACW
2055-01-02 22:00:00,2535.45,PACW
2055-01-02 23:00:00,2484.44,PACW
2055-01-03 00:00:00,2574.02,PACW
2055-01-03 01:00:00,2632.06,PACW
2055-01-03 02:00:00,2741.33,PACW
2055-01-03 03:00:00,2803.12,PACW
2055-01-03 04:00:00,2749.58,PACW
2055-01-03 05:00:00,2643.08,PACW
2055-01-03 06:00:00,2533.16,PACW
2055-01-03 07:00:00,2405.92,PACW
2055-01-03 08:00:00,2288.94,PACW
2055-01-03 09:00:00,2207.2,PACW
2055-01-03 10:00:00,2142.64,PACW
2055-01-03 11:00:00,2146.95,PACW
2055-01-03 12:00:00,2184.53,PACW
2055-01-03 13:00:00,2255.42,PACW
2055-01-03 14:00:00,2335.45,PACW
2055-01-03 15:00:00,2413.0,PACW
2055-01-03 16:00:00,2535.27,PACW
2055-01-03 17:00:00,2722.44,PACW
2055-01-03 18:00:00,2715.89,PACW
2055-01-03 19:00:00,2648.45,PACW
2055-01-03 20:00:00,2560.39,PACW
2055-01-03 21:00:00,2479.39,PACW
2055-01-03 22:00:00,2405.75,PACW
2055-01-03 23:00:00,2347.58,PACW
2055-01-04 00:00:00,2658.48,PACW
2055-01-04 01:00:00,2730.32,PACW
2055-01-04 02:00:00,2791.13,PACW
2055-01-04 03:00:00,2842.53,PACW
2055-01-04 04:00:00,2852.94,PACW
2055-01-04 05:00:00,2727.14,PACW
2055-01-04 06:00:00,2586.39,PACW
2055-01-04 07:00:00,2453.75,PACW
2055-01-04 08:00:00,2319.85,PACW
2055-01-04 09:00:00,2187.42,PACW
2055-01-04 10:00:00,2165.89,PACW
2055-01-04 11:00:00,2251.37,PACW
2055-01-04 12:00:00,2367.91,PACW
2055-01-04 13:00:00,2471.83,PACW
2055-01-04 14:00:00,2559.74,PACW
2055-01-04 15:00:00,2638.25,PACW
2055-01-04 16:00:00,2764.43,PACW
2055-01-04 17:00:00,2911.72,PACW
2055-01-04 18:00:00,2934.05,PACW
2055-01-04 19:00:00,2873.66,PACW
2055-01-04 20:00:00,2828.92,PACW
2055-01-04 21:00:00,2789.32,PACW
2055-01-04 22:00:00,2762.86,PACW
2055-01-04 23:00:00,2746.01,PACW
2055-01-05 00:00:00,2684.59,PACW
2055-01-05 01:00:00,2705.83,PACW
2055-01-05 02:00:00,2731.12,PACW
2055-01-05 03:00:00,2753.76,PACW
2055-01-05 04:00:00,2751.49,PACW
2055-01-05 05:00:00,2624.85,PACW
2055-01-05 06:00:00,2490.31,PACW
2055-01-05 07:00:00,2346.23,PACW
2055-01-05 08:00:00,2215.58,PACW
2055-01-05 09:00:00,2082.7,PACW
2055-01-05 10:00:00,2011.4,PACW
2055-01-05 11:00:00,2040.31,PACW
2055-01-05 12:00:00,2104.46,PACW
2055-01-05 13:00:00,2180.01,PACW
2055-01-05 14:00:00,2289.56,PACW
2055-01-05 15:00:00,2406.99,PACW
2055-01-05 16:00:00,2556.59,PACW
2055-01-05 17:00:00,2765.59,PACW
2055-01-05 18:00:00,2772.74,PACW
2055-01-05 19:00:00,2709.03,PACW
2055-01-05 20:00:00,2653.43,PACW
2055-01-05 21:00:00,2595.33,PACW
2055-01-05 22:00:00,2556.41,PACW
2055-01-05 23:00:00,2544.15,PACW
2055-01-06 00:00:00,2525.57,PACW
2055-01-06 01:00:00,2571.88,PACW
2055-01-06 02:00:00,2622.65,PACW
2055-01-06 03:00:00,2669.26,PACW
2055-01-06 04:00:00,2696.75,PACW
2055-01-06 05:00:00,2573.16,PACW
2055-01-06 06:00:00,2435.83,PACW
2055-01-06 07:00:00,2288.07,PACW
2055-01-06 08:00:00,2129.54,PACW
2055-01-06 09:00:00,1991.96,PACW
2055-01-06 10:00:00,1945.29,PACW
2055-01-06 11:00:00,1962.69,PACW
2055-01-06 12:00:00,2046.3,PACW
2055-01-06 13:00:00,2160.22,PACW
2055-01-06 14:00:00,2274.39,PACW
2055-01-06 15:00:00,2378.03,PACW
2055-01-06 16:00:00,2505.19,PACW
2055-01-06 17:00:00,2739.7,PACW
2055-01-06 18:00:00,2695.11,PACW
2055-01-06 19:00:00,2605.2,PACW
2055-01-06 20:00:00,2538.94,PACW
2055-01-06 21:00:00,2493.7,PACW
2055-01-06 22:00:00,2450.59,PACW
2055-01-06 23:00:00,2436.07,PACW
2055-01-07 00:00:00,2457.23,PACW
2055-01-07 01:00:00,2516.93,PACW
2055-01-07 02:00:00,2563.06,PACW
2055-01-07 03:00:00,2607.33,PACW
2055-01-07 04:00:00,2619.91,PACW
