Time_UTC,Load,BA
2055-01-01 00:00:00,2803.1,PGE
2055-01-01 01:00:00,2982.28,PGE
2055-01-01 02:00:00,3079.75,PGE
2055-01-01 03:00:00,3124.16,PGE
2055-01-01 04:00:00,3040.95,PGE
2055-01-01 05:00:00,2951.81,PGE
2055-01-01 06:00:00,2822.46,PGE
2055-01-01 07:00:00,2650.46,PGE
2055-01-01 08:00:00,2468.21,PGE
2055-01-01 09:00:00,2305.7,PGE
2055-01-01 10:00:00,2205.37,PGE
2055-01-01 11:00:00,2185.45,PGE
2055-01-01 12:00:00,2229.86,PGE
2055-01-01 13:00:00,2355.73,PGE
2055-01-01 14:00:00,2495.98,PGE
2055-01-01 15:00:00,2625.08,PGE
2055-01-01 16:00:00,2763.36,PGE
2055-01-01 17:00:00,2964.57,PGE
2055-01-01 18:00:00,2983.04,PGE
2055-01-01 19:00:00,2958.06,PGE
2055-01-01 20:00:00,2916.92,PGE
2055-01-01 21:00:00,2888.42,PGE
2055-01-01 22:00:00,2897.79,PGE
2055-01-01 23:00:00,2918.28,PGE
2055-01-02 00:00:00,2829.87,PGE
2055-01-02 01:00:00,3014.52,PGE
2055-01-02 02:00:00,3080.57,PGE
2055-01-02 03:00:00,3119.93,PGE
2055-01-02 04:00:00,3107.77,PGE
2055-01-02 05:00:00,2965.09,PGE
2055-01-02 06:00:00,2810.69,PGE
2055-01-02 07:00:00,2630.64,PGE
2055-01-02 08:00:00,2455.81,PGE
2055-01-02 09:00:00,2331.43,PGE
2055-01-02 10:00:00,2260.19,PGE
2055-01-02 11:00:00,2214.24,PGE
2055-01-02 12:00:00,2228.27,PGE
2055-01-02 13:00:00,2286.1,PGE
2055-01-02 14:00:00,2374.7,PGE
2055-01-02 15:00:00,2479.76,PGE
2055-01-02 16:00:00,2594.3,PGE
2055-01-02 17:00:00,2776.07,PGE
2055-01-02 18:00:00,2774.08,PGE
2055-01-02 19:00:00,2750.89,PGE
2055-01-02 20:00:00,2691.65,PGE
