Time_UTC,Load,BA
2055-01-01 00:00:00,5809.37,PSCO
2055-01-01 01:00:00,5980.64,PSCO
2055-01-01 02:00:00,6155.39,PSCO
2055-01-01 03:00:00,5967.42,PSCO
2055-01-01 04:00:00,5771.68,PSCO
2055-01-01 05:00:00,5562.25,PSCO
2055-01-01 06:00:00,5341.51,PSCO
2055-01-01 07:00:00,5099.42,PSCO
2055-01-01 08:00:00,4859.23,PSCO
2055-01-01 09:00:00,4684.96,PSCO
2055-01-01 10:00:00,4577.46,PSCO
2055-01-01 11:00:00,4565.05,PSCO
2055-01-01 12:00:00,4688.56,PSCO
2055-01-01 13:00:00,4779.33,PSCO
2055-01-01 14:00:00,4863.97,PSCO
2055-01-01 15:00:00,5164.35,PSCO
2055-01-01 16:00:00,5312.91,PSCO
2055-01-01 17:00:00,5344.56,PSCO
2055-01-01 18:00:00,5340.34,PSCO
2055-01-01 19:00:00,5369.81,PSCO
2055-01-01 20:00:00,5432.03,PSCO
2055-01-01 21:00:00,5469.11,PSCO
2055-01-01 22:00:00,5490.24,PSCO
2055-01-01 23:00:00,5564.39,PSCO
2055-01-02 00:00:00,5755.35,PSCO
2055-01-02 01:00:00,5854.54,PSCO
2055-01-02 02:00:00,5927.77,PSCO
2055-01-02 03:00:00,5922.24,PSCO
2055-01-02 04:00:00,5662.95,PSCO
2055-01-02 05:00:00,5391.08,PSCO
2055-01-02 06:00:00,5118.23,PSCO
2055-01-02 07:00:00,4884.8,PSCO
2055-01-02 08:00:00,4728.14,PSCO
2055-01-02 09:00:00,4660.45,PSCO
2055-01-02 10:00:00,4668.37,PSCO
2055-01-02 11:00:00,4724.75,PSCO
2055-01-02 12:00:00,4790.15,PSCO
2055-01-02 13:00:00,4856.23,PSCO
2055-01-02 14:00:00,4924.23,PSCO
2055-01-02 15:00:00,5200.1,PSCO
2055-01-02 16:00:00,5206.95,PSCO
2055-01-02 17:00:00,5130.45,PSCO
2055-01-02 18:00:00,5076.71,PSCO
2055-01-02 19:00:00,5036.15,PSCO
2055-01-02 20:00:00,4994.11,PSCO
2055-01-02 21:00:00,4943.99,PSCO
2055-01-02 22:00:00,4911.64,PSCO
2055-01-02 23:00:00,4955.34,PSCO
2055-01-03 00:00:00,5518.88,PSCO
2055-01-03 01:00:00,5640.46,PSCO
2055-01-03 02:00:00,5757.38,PSCO
2055-01-03 03:00:00,5796.38,PSCO
2055-01-03 04:00:00,5556.11,PSCO
2055-01-03 05:00:00,5297.75,PSCO
2055-01-03 06:00:00,5030.86,PSCO
2055-01-03 07:00:00,4777.49,PSCO
2055-01-03 08:00:00,4599.55,PSCO
2055-01-03 09:00:00,4505.55,PSCO
2055-01-03 10:00:00,4474.99,PSCO
2055-01-03 11:00:00,4513.8,PSCO
2055-01-03 12:00:00,4572.17,PSCO
2055-01-03 13:00:00,4635.2,PSCO
2055-01-03 14:00:00,4682.34,PSCO
2055-01-03 15:00:00,4931.37,PSCO
2055-01-03 16:00:00,4984.48,PSCO
2055-01-03 17:00:00,4953.98,PSCO
2055-01-03 18:00:00,4912.85,PSCO
2055-01-03 19:00:00,4926.09,PSCO
2055-01-03 20:00:00,5023.43,PSCO
2055-01-03 21:00:00,5082.53,PSCO
2055-01-03 22:00:00,5076.64,PSCO
2055-01-03 23:00:00,5084.89,PSCO
2055-01-04 00:00:00,6011.12,PSCO
2055-01-04 01:00:00,6222.09,PSCO
2055-01-04 02:00:00,6393.03,PSCO
2055-01-04 03:00:00,6309.5,PSCO
2055-01-04 04:00:00,6063.64,PSCO
2055-01-04 05:00:00,5738.63,PSCO
2055-01-04 06:00:00,5433.27,PSCO
2055-01-04 07:00:00,5175.67,PSCO
2055-01-04 08:00:00,5030.4,PSCO
2055-01-04 09:00:00,4952.75,PSCO
2055-01-04 10:00:00,4906.64,PSCO
2055-01-04 11:00:00,5027.66,PSCO
2055-01-04 12:00:00,5178.16,PSCO
2055-01-04 13:00:00,5316.7,PSCO
2055-01-04 14:00:00,5439.93,PSCO
2055-01-04 15:00:00,5852.47,PSCO
2055-01-04 16:00:00,5856.26,PSCO
2055-01-04 17:00:00,5770.67,PSCO
2055-01-04 18:00:00,5696.25,PSCO
2055-01-04 19:00:00,5618.8,PSCO
2055-01-04 20:00:00,5536.33,PSCO
2055-01-04 21:00:00,5503.07,PSCO
2055-01-04 22:00:00,5495.33,PSCO
2055-01-04 23:00:00,5581.19,PSCO
2055-01-05 00:00:00,5919.51,PSCO
2055-01-05 01:00:00,6035.17,PSCO
2055-01-05 02:00:00,6134.14,PSCO
2055-01-05 03:00:00,6058.35,PSCO
2055-01-05 04:00:00,5780.59,PSCO
2055-01-05 05:00:00,5472.4,PSCO
2055-01-05 06:00:00,5160.02,PSCO
2055-01-05 07:00:00,4875.67,PSCO
