Time_UTC,Load,BA
2055-01-01 00:00:00,4131.63,PSEI
2055-01-01 01:00:00,4442.13,PSEI
2055-01-01 02:00:00,4600.12,PSEI
2055-01-01 03:00:00,4676.57,PSEI
2055-01-01 04:00:00,4555.3,PSEI
2055-01-01 05:00:00,4388.34,PSEI
2055-01-01 06:00:00,4211.39,PSEI
2055-01-01 07:00:00,4015.34,PSEI
2055-01-01 08:00:00,3803.8,PSEI
2055-01-01 09:00:00,3609.59,PSEI
2055-01-01 10:00:00,3510.83,PSEI
2055-01-01 11:00:00,3537.16,PSEI
2055-01-01 12:00:00,3663.34,PSEI
2055-01-01 13:00:00,3813.08,PSEI
2055-01-01 14:00:00,3977.23,PSEI
2055-01-01 15:00:00,4148.68,PSEI
2055-01-01 16:00:00,4327.51,PSEI
2055-01-01 17:00:00,4574.92,PSEI
2055-01-01 18:00:00,4551.17,PSEI
2055-01-01 19:00:00,4516.96,PSEI
2055-01-01 20:00:00,4463.36,PSEI
2055-01-01 21:00:00,4368.17,PSEI
2055-01-01 22:00:00,4283.54,PSEI
2055-01-01 23:00:00,4232.89,PSEI
2055-01-02 00:00:00,4082.02,PSEI
2055-01-02 01:00:00,4361.32,PSEI
2055-01-02 02:00:00,4495.16,PSEI
2055-01-02 03:00:00,4550.08,PSEI
2055-01-02 04:00:00,4461.74,PSEI
2055-01-02 05:00:00,4302.27,PSEI
2055-01-02 06:00:00,4117.47,PSEI
2055-01-02 07:00:00,3903.3,PSEI
2055-01-02 08:00:00,3668.47,PSEI
2055-01-02 09:00:00,3479.62,PSEI
2055-01-02 10:00:00,3359.0,PSEI
2055-01-02 11:00:00,3337.7,PSEI
2055-01-02 12:00:00,3407.37,PSEI
2055-01-02 13:00:00,3536.94,PSEI
2055-01-02 14:00:00,3671.06,PSEI
2055-01-02 15:00:00,3786.74,PSEI
2055-01-02 16:00:00,3916.97,PSEI
2055-01-02 17:00:00,4105.81,PSEI
2055-01-02 18:00:00,4258.28,PSEI
2055-01-02 19:00:00,4269.88,PSEI
2055-01-02 20:00:00,4177.96,PSEI
2055-01-02 21:00:00,4079.06,PSEI
2055-01-02 22:00:00,4027.22,PSEI
2055-01-02 23:00:00,4016.27,PSEI
2055-01-03 00:00:00,4260.62,PSEI
2055-01-03 01:00:00,4327.61,PSEI
2055-01-03 02:00:00,4338.51,PSEI
2055-01-03 03:00:00,4317.56,PSEI
2055-01-03 04:00:00,4244.98,PSEI
2055-01-03 05:00:00,4057.2,PSEI
2055-01-03 06:00:00,3832.12,PSEI
2055-01-03 07:00:00,3617.61,PSEI
2055-01-03 08:00:00,3408.35,PSEI
2055-01-03 09:00:00,3261.91,PSEI
2055-01-03 10:00:00,3141.33,PSEI
2055-01-03 11:00:00,3134.31,PSEI
2055-01-03 12:00:00,3191.03,PSEI
2055-01-03 13:00:00,3343.72,PSEI
2055-01-03 14:00:00,3513.9,PSEI
2055-01-03 15:00:00,3702.19,PSEI
2055-01-03 16:00:00,3873.02,PSEI
2055-01-03 17:00:00,4150.86,PSEI
2055-01-03 18:00:00,4212.88,PSEI
2055-01-03 19:00:00,4150.41,PSEI
2055-01-03 20:00:00,4058.27,PSEI
2055-01-03 21:00:00,3958.8,PSEI
2055-01-03 22:00:00,3830.24,PSEI
2055-01-03 23:00:00,3748.25,PSEI
2055-01-04 00:00:00,4121.3,PSEI
2055-01-04 01:00:00,4329.55,PSEI
2055-01-04 02:00:00,4441.38,PSEI
2055-01-04 03:00:00,4508.03,PSEI
2055-01-04 04:00:00,4473.33,PSEI
2055-01-04 05:00:00,4216.59,PSEI
2055-01-04 06:00:00,3946.21,PSEI
2055-01-04 07:00:00,3693.44,PSEI
2055-01-04 08:00:00,3424.19,PSEI
2055-01-04 09:00:00,3189.26,PSEI
2055-01-04 10:00:00,3094.65,PSEI
2055-01-04 11:00:00,3112.23,PSEI
2055-01-04 12:00:00,3316.68,PSEI
2055-01-04 13:00:00,3525.69,PSEI
2055-01-04 14:00:00,3722.21,PSEI
2055-01-04 15:00:00,3932.89,PSEI
2055-01-04 16:00:00,4131.52,PSEI
2055-01-04 17:00:00,4231.47,PSEI
2055-01-04 18:00:00,4208.08,PSEI
2055-01-04 19:00:00,4149.83,PSEI
2055-01-04 20:00:00,4102.86,PSEI
2055-01-04 21:00:00,4082.91,PSEI
2055-01-04 22:00:00,4056.72,PSEI
2055-01-04 23:00:00,4027.36,PSEI
2055-01-05 00:00:00,4166.63,PSEI
2055-01-05 01:00:00,4207.16,PSEI
2055-01-05 02:00:00,4231.33,PSEI
2055-01-05 03:00:00,4203.13,PSEI
2055-01-05 04:00:00,4134.75,PSEI
2055-01-05 05:00:00,3988.98,PSEI
2055-01-05 06:00:00,3730.12,PSEI
2055-01-05 07:00:00,3473.81,PSEI
2055-01-05 08:00:00,3197.44,PSEI
2055-01-05 09:00:00,2960.98,PSEI
2055-01-05 10:00:00,2826.79,PSEI
2055-01-05 11:00:00,2761.97,PSEI
2055-01-05 12:00:00,2850.72,PSEI
2055-01-05 13:00:00,3023.01,PSEI
2055-01-05 14:00:00,3223.66,PSEI
2055-01-05 15:00:00,3421.13,PSEI
2055-01-05 16:00:00,3588.46,PSEI
2055-01-05 17:00:00,3664.7,PSEI
2055-01-05 18:00:00,3714.63,PSEI
2055-01-05 19:00:00,3720.14,PSEI
2055-01-05 20:00:00,3707.46,PSEI
2055-01-05 21:00:00,3690.35,PSEI
2055-01-05 22:00:00,3677.96,PSEI
2055-01-05 23:00:00,3666.08,PSEI
2055-01-06 00:00:00,3802.72,PSEI
2055-01-06 01:00:00,3851.84,PSEI
2055-01-06 02:00:00,3894.53,PSEI
2055-01-06 03:00:00,3873.42,PSEI
2055-01-06 04:00:00,3851.52,PSEI
2055-01-06 05:00:00,3771.07,PSEI
2055-01-06 06:00:00,3530.45,PSEI
2055-01-06 07:00:00,3297.33,PSEI
2055-01-06 08:00:00,3068.26,PSEI
2055-01-06 09:00:00,2883.69,PSEI
2055-01-06 10:00:00,2824.75,PSEI
2055-01-06 11:00:00,2823.54,PSEI
2055-01-06 12:00:00,2958.04,PSEI
2055-01-06 13:00:00,3161.03,PSEI
2055-01-06 14:00:00,3363.92,PSEI
2055-01-06 15:00:00,3587.73,PSEI
2055-01-06 16:00:00,3795.87,PSEI
2055-01-06 17:00:00,3843.49,PSEI
2055-01-06 18:00:00,3799.62,PSEI
2055-01-06 19:00:00,3715.49,PSEI
2055-01-06 20:00:00,3630.04,PSEI
2055-01-06 21:00:00,3558.01,PSEI
2055-01-06 22:00:00,3491.16,PSEI
2055-01-06 23:00:00,3455.54,PSEI
2055-01-07 00:00:00,3601.6,PSEI
2055-01-07 01:00:00,3763.66,PSEI
2055-01-07 02:00:00,3848.67,PSEI
2055-01-07 03:00:00,3913.0,PSEI
2055-01-07 04:00:00,3932.44,PSEI
2055-01-07 05:00:00,3797.22,PSEI
2055-01-07 06:00:00,3576.68,PSEI
2055-01-07 07:00:00,3347.51,PSEI
2055-01-07 08:00:00,3127.82,PSEI
2055-01-07 09:00:00,2964.37,PSEI
2055-01-07 10:00:00,2897.66,PSEI
2055-01-07 11:00:00,2892.27,PSEI
2055-01-07 12:00:00,3028.06,PSEI
2055-01-07 13:00:00,3221.55,PSEI
2055-01-07 14:00:00,3451.39,PSEI
2055-01-07 15:00:00,3681.73,PSEI
2055-01-07 16:00:00,3881.34,PSEI
2055-01-07 17:00:00,3935.46,PSEI
2055-01-07 18:00:00,3867.58,PSEI
2055-01-07 19:00:00,3818.05,PSEI
2055-01-07 20:00:00,3745.72,PSEI
2055-01-07 21:00:00,3654.57,PSEI
2055-01-07 22:00:00,3559.51,PSEI
2055-01-07 23:00:00,3460.47,PSEI
2055-01-08 00:00:00,3589.27,PSEI
2055-01-08 01:00:00,3754.78,PSEI
2055-01-08 02:00:00,3857.74,PSEI
2055-01-08 03:00:00,3929.22,PSEI
2055-01-08 04:00:00,3942.15,PSEI
2055-01-08 05:00:00,3767.67,PSEI
2055-01-08 06:00:00,3537.54,PSEI
2055-01-08 07:00:00,3318.11,PSEI
2055-01-08 08:00:00,3095.53,PSEI
2055-01-08 09:00:00,2927.46,PSEI
2055-01-08 10:00:00,2853.5,PSEI
2055-01-08 11:00:00,2870.22,PSEI
2055-01-08 12:00:00,3016.7,PSEI
2055-01-08 13:00:00,3225.57,PSEI
2055-01-08 14:00:00,3468.53,PSEI
2055-01-08 15:00:00,3716.94,PSEI
2055-01-08 16:00:00,3926.08,PSEI
2055-01-08 17:00:00,4035.1,PSEI
2055-01-08 18:00:00,3984.22,PSEI
2055-01-08 19:00:00,3904.47,PSEI
2055-01-08 20:00:00,3823.41,PSEI
2055-01-08 21:00:00,3734.65,PSEI
2055-01-08 22:00:00,3637.56,PSEI
2055-01-08 23:00:00,3584.03,PSEI
2055-01-09 00:00:00,3513.29,PSEI
2055-01-09 01:00:00,3693.54,PSEI
2055-01-09 02:00:00,3804.33,PSEI
2055-01-09 03:00:00,3851.84,PSEI
2055-01-09 04:00:00,3875.05,PSEI
2055-01-09 05:00:00,3732.26,PSEI
2055-01-09 06:00:00,3557.27,PSEI
