Time_UTC,Load,BA
2055-01-01 00:00:00,3027.81,SCEG
2055-01-01 01:00:00,3061.75,SCEG
2055-01-01 02:00:00,3104.57,SCEG
2055-01-01 03:00:00,3013.68,SCEG
2055-01-01 04:00:00,2899.13,SCEG
2055-01-01 05:00:00,2830.11,SCEG
2055-01-01 06:00:00,2774.6,SCEG
2055-01-01 07:00:00,2767.27,SCEG
2055-01-01 08:00:00,2792.03,SCEG
2055-01-01 09:00:00,2853.9,SCEG
2055-01-01 10:00:00,2946.34,SCEG
2055-01-01 11:00:00,3029.63,SCEG
2055-01-01 12:00:00,3118.49,SCEG
2055-01-01 13:00:00,3298.64,SCEG
2055-01-01 14:00:00,3344.4,SCEG
2055-01-01 15:00:00,3166.11,SCEG
2055-01-01 16:00:00,3006.34,SCEG
2055-01-01 17:00:00,2882.56,SCEG
2055-01-01 18:00:00,2772.04,SCEG
2055-01-01 19:00:00,2674.04,SCEG
2055-01-01 20:00:00,2615.57,SCEG
2055-01-01 21:00:00,2591.26,SCEG
2055-01-01 22:00:00,2641.82,SCEG
2055-01-01 23:00:00,2715.49,SCEG
2055-01-02 00:00:00,2767.58,SCEG
2055-01-02 01:00:00,2785.74,SCEG
2055-01-02 02:00:00,2801.58,SCEG
2055-01-02 03:00:00,2708.33,SCEG
2055-01-02 04:00:00,2598.66,SCEG
2055-01-02 05:00:00,2510.05,SCEG
2055-01-02 06:00:00,2410.09,SCEG
2055-01-02 07:00:00,2334.62,SCEG
2055-01-02 08:00:00,2281.17,SCEG
2055-01-02 09:00:00,2281.93,SCEG
2055-01-02 10:00:00,2349.45,SCEG
2055-01-02 11:00:00,2416.74,SCEG
2055-01-02 12:00:00,2472.56,SCEG
2055-01-02 13:00:00,2516.67,SCEG
2055-01-02 14:00:00,2536.86,SCEG
2055-01-02 15:00:00,2522.44,SCEG
2055-01-02 16:00:00,2456.44,SCEG
2055-01-02 17:00:00,2440.73,SCEG
2055-01-02 18:00:00,2437.54,SCEG
2055-01-02 19:00:00,2453.18,SCEG
2055-01-02 20:00:00,2452.78,SCEG
2055-01-02 21:00:00,2428.63,SCEG
2055-01-02 22:00:00,2433.02,SCEG
2055-01-02 23:00:00,2452.03,SCEG
2055-01-03 00:00:00,2641.8,SCEG
2055-01-03 01:00:00,2636.54,SCEG
2055-01-03 02:00:00,2628.5,SCEG
2055-01-03 03:00:00,2533.84,SCEG
2055-01-03 04:00:00,2384.67,SCEG
2055-01-03 05:00:00,2281.34,SCEG
2055-01-03 06:00:00,2187.84,SCEG
2055-01-03 07:00:00,2121.24,SCEG
2055-01-03 08:00:00,2073.47,SCEG
2055-01-03 09:00:00,2074.96,SCEG
2055-01-03 10:00:00,2128.64,SCEG
2055-01-03 11:00:00,2173.29,SCEG
2055-01-03 12:00:00,2203.02,SCEG
2055-01-03 13:00:00,2230.68,SCEG
2055-01-03 14:00:00,2263.73,SCEG
2055-01-03 15:00:00,2288.99,SCEG
2055-01-03 16:00:00,2320.44,SCEG
2055-01-03 17:00:00,2347.33,SCEG
2055-01-03 18:00:00,2351.18,SCEG
2055-01-03 19:00:00,2361.87,SCEG
2055-01-03 20:00:00,2367.28,SCEG
2055-01-03 21:00:00,2373.63,SCEG
2055-01-03 22:00:00,2376.15,SCEG
2055-01-03 23:00:00,2387.59,SCEG
2055-01-04 00:00:00,2715.91,SCEG
2055-01-04 01:00:00,2703.2,SCEG
2055-01-04 02:00:00,2694.47,SCEG
2055-01-04 03:00:00,2542.09,SCEG
2055-01-04 04:00:00,2386.9,SCEG
2055-01-04 05:00:00,2233.98,SCEG
2055-01-04 06:00:00,2097.03,SCEG
2055-01-04 07:00:00,2004.69,SCEG
2055-01-04 08:00:00,1975.94,SCEG
2055-01-04 09:00:00,2024.01,SCEG
2055-01-04 10:00:00,2094.35,SCEG
2055-01-04 11:00:00,2170.74,SCEG
2055-01-04 12:00:00,2241.5,SCEG
2055-01-04 13:00:00,2326.84,SCEG
2055-01-04 14:00:00,2416.4,SCEG
2055-01-04 15:00:00,2486.34,SCEG
2055-01-04 16:00:00,2527.91,SCEG
2055-01-04 17:00:00,2550.1,SCEG
2055-01-04 18:00:00,2572.03,SCEG
2055-01-04 19:00:00,2572.84,SCEG
2055-01-04 20:00:00,2580.18,SCEG
2055-01-04 21:00:00,2567.33,SCEG
2055-01-04 22:00:00,2518.11,SCEG
2055-01-04 23:00:00,2490.36,SCEG
2055-01-05 00:00:00,2772.5,SCEG
2055-01-05 01:00:00,2694.88,SCEG
2055-01-05 02:00:00,2658.77,SCEG
2055-01-05 03:00:00,2520.83,SCEG
2055-01-05 04:00:00,2358.71,SCEG
2055-01-05 05:00:00,2217.56,SCEG
2055-01-05 06:00:00,2104.57,SCEG
2055-01-05 07:00:00,2050.05,SCEG
2055-01-05 08:00:00,2058.87,SCEG
2055-01-05 09:00:00,2180.04,SCEG
2055-01-05 10:00:00,2324.63,SCEG
2055-01-05 11:00:00,2470.15,SCEG
2055-01-05 12:00:00,2624.64,SCEG
2055-01-05 13:00:00,2875.74,SCEG
2055-01-05 14:00:00,2999.9,SCEG
2055-01-05 15:00:00,2992.41,SCEG
2055-01-05 16:00:00,2954.38,SCEG
2055-01-05 17:00:00,2862.33,SCEG
2055-01-05 18:00:00,2761.46,SCEG
2055-01-05 19:00:00,2688.27,SCEG
2055-01-05 20:00:00,2609.35,SCEG
2055-01-05 21:00:00,2576.48,SCEG
2055-01-05 22:00:00,2600.14,SCEG
2055-01-05 23:00:00,2682.32,SCEG
2055-01-06 00:00:00,3028.18,SCEG
2055-01-06 01:00:00,3065.56,SCEG
2055-01-06 02:00:00,3027.63,SCEG
2055-01-06 03:00:00,2907.41,SCEG
2055-01-06 04:00:00,2841.01,SCEG
2055-01-06 05:00:00,2766.42,SCEG
2055-01-06 06:00:00,2708.85,SCEG
2055-01-06 07:00:00,2708.06,SCEG
2055-01-06 08:00:00,2829.07,SCEG
2055-01-06 09:00:00,2970.36,SCEG
2055-01-06 10:00:00,3122.07,SCEG
2055-01-06 11:00:00,3250.96,SCEG
2055-01-06 12:00:00,3336.22,SCEG
2055-01-06 13:00:00,3496.21,SCEG
2055-01-06 14:00:00,3383.08,SCEG
2055-01-06 15:00:00,3025.76,SCEG
2055-01-06 16:00:00,2706.33,SCEG
2055-01-06 17:00:00,2564.02,SCEG
2055-01-06 18:00:00,2464.05,SCEG
2055-01-06 19:00:00,2389.5,SCEG
2055-01-06 20:00:00,2346.85,SCEG
2055-01-06 21:00:00,2349.73,SCEG
2055-01-06 22:00:00,2413.14,SCEG
2055-01-06 23:00:00,2503.85,SCEG
2055-01-07 00:00:00,2838.3,SCEG
2055-01-07 01:00:00,2871.04,SCEG
2055-01-07 02:00:00,2865.33,SCEG
2055-01-07 03:00:00,2777.08,SCEG
2055-01-07 04:00:00,2684.59,SCEG
2055-01-07 05:00:00,2617.0,SCEG
2055-01-07 06:00:00,2586.5,SCEG
2055-01-07 07:00:00,2600.96,SCEG
2055-01-07 08:00:00,2719.02,SCEG
2055-01-07 09:00:00,2862.72,SCEG
2055-01-07 10:00:00,3037.18,SCEG
2055-01-07 11:00:00,3187.59,SCEG
2055-01-07 12:00:00,3313.23,SCEG
2055-01-07 13:00:00,3493.12,SCEG
2055-01-07 14:00:00,3369.96,SCEG
2055-01-07 15:00:00,3192.31,SCEG
2055-01-07 16:00:00,3046.59,SCEG
2055-01-07 17:00:00,2930.63,SCEG
2055-01-07 18:00:00,2898.07,SCEG
2055-01-07 19:00:00,2935.79,SCEG
