Time_UTC,Load,BA
2055-01-01 00:00:00,3414.32,SC
2055-01-01 01:00:00,3445.79,SC
2055-01-01 02:00:00,3447.22,SC
2055-01-01 03:00:00,3393.69,SC
2055-01-01 04:00:00,3328.56,SC
2055-01-01 05:00:00,3253.55,SC
2055-01-01 06:00:00,3175.48,SC
2055-01-01 07:00:00,3117.38,SC
2055-01-01 08:00:00,3109.31,SC
2055-01-01 09:00:00,3161.13,SC
2055-01-01 10:00:00,3231.64,SC
2055-01-01 11:00:00,3293.02,SC
2055-01-01 12:00:00,3360.96,SC
2055-01-01 13:00:00,3476.61,SC
2055-01-01 14:00:00,3562.84,SC
2055-01-01 15:00:00,3295.84,SC
2055-01-01 16:00:00,3067.16,SC
2055-01-01 17:00:00,2883.66,SC
2055-01-01 18:00:00,2727.32,SC
2055-01-01 19:00:00,2610.89,SC
2055-01-01 20:00:00,2520.37,SC
2055-01-01 21:00:00,2454.33,SC
2055-01-01 22:00:00,2420.36,SC
2055-01-01 23:00:00,2468.06,SC
2055-01-02 00:00:00,2815.16,SC
2055-01-02 01:00:00,2837.64,SC
2055-01-02 02:00:00,2841.59,SC
2055-01-02 03:00:00,2784.83,SC
2055-01-02 04:00:00,2711.88,SC
2055-01-02 05:00:00,2638.58,SC
2055-01-02 06:00:00,2542.69,SC
2055-01-02 07:00:00,2495.16,SC
2055-01-02 08:00:00,2452.2,SC
2055-01-02 09:00:00,2452.38,SC
2055-01-02 10:00:00,2487.6,SC
2055-01-02 11:00:00,2525.41,SC
2055-01-02 12:00:00,2550.18,SC
2055-01-02 13:00:00,2577.15,SC
2055-01-02 14:00:00,2569.95,SC
2055-01-02 15:00:00,2524.93,SC
2055-01-02 16:00:00,2460.81,SC
2055-01-02 17:00:00,2407.05,SC
2055-01-02 18:00:00,2370.44,SC
2055-01-02 19:00:00,2352.92,SC
2055-01-02 20:00:00,2349.62,SC
2055-01-02 21:00:00,2342.47,SC
2055-01-02 22:00:00,2362.91,SC
2055-01-02 23:00:00,2426.11,SC
2055-01-03 00:00:00,2695.2,SC
2055-01-03 01:00:00,2627.88,SC
2055-01-03 02:00:00,2564.56,SC
2055-01-03 03:00:00,2485.02,SC
2055-01-03 04:00:00,2387.92,SC
2055-01-03 05:00:00,2294.02,SC
2055-01-03 06:00:00,2202.55,SC
2055-01-03 07:00:00,2147.05,SC
2055-01-03 08:00:00,2133.98,SC
2055-01-03 09:00:00,2142.63,SC
2055-01-03 10:00:00,2157.65,SC
2055-01-03 11:00:00,2162.62,SC
2055-01-03 12:00:00,2171.59,SC
2055-01-03 13:00:00,2179.21,SC
2055-01-03 14:00:00,2199.65,SC
2055-01-03 15:00:00,2213.2,SC
2055-01-03 16:00:00,2231.84,SC
2055-01-03 17:00:00,2252.81,SC
2055-01-03 18:00:00,2248.19,SC
2055-01-03 19:00:00,2263.33,SC
2055-01-03 20:00:00,2265.82,SC
2055-01-03 21:00:00,2285.64,SC
2055-01-03 22:00:00,2309.68,SC
2055-01-03 23:00:00,2365.62,SC
2055-01-04 00:00:00,2501.19,SC
2055-01-04 01:00:00,2446.72,SC
2055-01-04 02:00:00,2355.37,SC
2055-01-04 03:00:00,2214.35,SC
2055-01-04 04:00:00,2078.89,SC
2055-01-04 05:00:00,1969.12,SC
2055-01-04 06:00:00,1873.85,SC
2055-01-04 07:00:00,1818.39,SC
2055-01-04 08:00:00,1832.79,SC
2055-01-04 09:00:00,1858.03,SC
2055-01-04 10:00:00,1890.13,SC
2055-01-04 11:00:00,1917.67,SC
2055-01-04 12:00:00,1951.95,SC
2055-01-04 13:00:00,1991.93,SC
2055-01-04 14:00:00,2058.05,SC
