Time_UTC,Load,BA
2055-01-01 00:00:00,160.88,SEC
2055-01-01 01:00:00,146.59,SEC
2055-01-01 02:00:00,132.57,SEC
2055-01-01 03:00:00,118.29,SEC
2055-01-01 04:00:00,103.93,SEC
2055-01-01 05:00:00,90.68,SEC
2055-01-01 06:00:00,78.38,SEC
2055-01-01 07:00:00,68.87,SEC
2055-01-01 08:00:00,64.01,SEC
2055-01-01 09:00:00,64.36,SEC
2055-01-01 10:00:00,70.67,SEC
2055-01-01 11:00:00,77.16,SEC
2055-01-01 12:00:00,83.48,SEC
2055-01-01 13:00:00,89.92,SEC
2055-01-01 14:00:00,96.27,SEC
2055-01-01 15:00:00,103.13,SEC
2055-01-01 16:00:00,113.75,SEC
2055-01-01 17:00:00,120.21,SEC
2055-01-01 18:00:00,122.43,SEC
2055-01-01 19:00:00,127.3,SEC
2055-01-01 20:00:00,125.98,SEC
2055-01-01 21:00:00,121.78,SEC
2055-01-01 22:00:00,116.3,SEC
2055-01-01 23:00:00,118.38,SEC
2055-01-02 00:00:00,161.48,SEC
2055-01-02 01:00:00,150.58,SEC
2055-01-02 02:00:00,139.52,SEC
2055-01-02 03:00:00,129.67,SEC
2055-01-02 04:00:00,119.75,SEC
2055-01-02 05:00:00,109.38,SEC
2055-01-02 06:00:00,97.52,SEC
2055-01-02 07:00:00,88.59,SEC
2055-01-02 08:00:00,84.48,SEC
2055-01-02 09:00:00,86.86,SEC
2055-01-02 10:00:00,91.1,SEC
2055-01-02 11:00:00,94.23,SEC
2055-01-02 12:00:00,97.95,SEC
2055-01-02 13:00:00,101.51,SEC
2055-01-02 14:00:00,107.01,SEC
2055-01-02 15:00:00,117.65,SEC
2055-01-02 16:00:00,124.8,SEC
2055-01-02 17:00:00,131.54,SEC
2055-01-02 18:00:00,138.4,SEC
2055-01-02 19:00:00,144.26,SEC
2055-01-02 20:00:00,148.11,SEC
2055-01-02 21:00:00,146.87,SEC
2055-01-02 22:00:00,142.52,SEC
2055-01-02 23:00:00,144.14,SEC
2055-01-03 00:00:00,151.0,SEC
2055-01-03 01:00:00,140.85,SEC
2055-01-03 02:00:00,130.99,SEC
2055-01-03 03:00:00,120.96,SEC
2055-01-03 04:00:00,111.48,SEC
2055-01-03 05:00:00,102.22,SEC
2055-01-03 06:00:00,91.81,SEC
2055-01-03 07:00:00,83.79,SEC
2055-01-03 08:00:00,81.81,SEC
2055-01-03 09:00:00,82.3,SEC
2055-01-03 10:00:00,83.25,SEC
2055-01-03 11:00:00,86.94,SEC
2055-01-03 12:00:00,92.3,SEC
2055-01-03 13:00:00,101.44,SEC
2055-01-03 14:00:00,117.83,SEC
2055-01-03 15:00:00,136.15,SEC
2055-01-03 16:00:00,147.47,SEC
2055-01-03 17:00:00,157.98,SEC
2055-01-03 18:00:00,166.41,SEC
2055-01-03 19:00:00,172.15,SEC
2055-01-03 20:00:00,174.78,SEC
2055-01-03 21:00:00,173.84,SEC
2055-01-03 22:00:00,161.07,SEC
2055-01-03 23:00:00,153.65,SEC
2055-01-04 00:00:00,168.63,SEC
2055-01-04 01:00:00,153.43,SEC
2055-01-04 02:00:00,140.03,SEC
2055-01-04 03:00:00,127.9,SEC
2055-01-04 04:00:00,114.95,SEC
2055-01-04 05:00:00,101.7,SEC
2055-01-04 06:00:00,89.59,SEC
2055-01-04 07:00:00,84.8,SEC
2055-01-04 08:00:00,83.34,SEC
2055-01-04 09:00:00,83.51,SEC
2055-01-04 10:00:00,84.01,SEC
2055-01-04 11:00:00,86.04,SEC
2055-01-04 12:00:00,88.23,SEC
2055-01-04 13:00:00,93.27,SEC
2055-01-04 14:00:00,105.18,SEC
2055-01-04 15:00:00,120.08,SEC
2055-01-04 16:00:00,131.26,SEC
2055-01-04 17:00:00,139.34,SEC
2055-01-04 18:00:00,145.12,SEC
2055-01-04 19:00:00,147.34,SEC
2055-01-04 20:00:00,147.78,SEC
2055-01-04 21:00:00,143.46,SEC
2055-01-04 22:00:00,139.18,SEC
2055-01-04 23:00:00,137.75,SEC
2055-01-05 00:00:00,172.37,SEC
2055-01-05 01:00:00,154.07,SEC
2055-01-05 02:00:00,137.91,SEC
2055-01-05 03:00:00,124.15,SEC
2055-01-05 04:00:00,112.34,SEC
2055-01-05 05:00:00,100.8,SEC
2055-01-05 06:00:00,91.82,SEC
2055-01-05 07:00:00,88.8,SEC
2055-01-05 08:00:00,88.5,SEC
2055-01-05 09:00:00,89.76,SEC
2055-01-05 10:00:00,91.43,SEC
2055-01-05 11:00:00,96.98,SEC
2055-01-05 12:00:00,104.36,SEC
2055-01-05 13:00:00,114.71,SEC
2055-01-05 14:00:00,128.78,SEC
2055-01-05 15:00:00,143.0,SEC
2055-01-05 16:00:00,155.26,SEC
2055-01-05 17:00:00,160.49,SEC
2055-01-05 18:00:00,162.22,SEC
2055-01-05 19:00:00,161.07,SEC
2055-01-05 20:00:00,158.38,SEC
2055-01-05 21:00:00,156.51,SEC
2055-01-05 22:00:00,148.59,SEC
2055-01-05 23:00:00,149.23,SEC
2055-01-06 00:00:00,176.22,SEC
2055-01-06 01:00:00,163.35,SEC
2055-01-06 02:00:00,151.42,SEC
2055-01-06 03:00:00,139.48,SEC
2055-01-06 04:00:00,127.38,SEC
2055-01-06 05:00:00,113.98,SEC
2055-01-06 06:00:00,99.97,SEC
2055-01-06 07:00:00,92.3,SEC
2055-01-06 08:00:00,91.42,SEC
2055-01-06 09:00:00,93.88,SEC
2055-01-06 10:00:00,97.19,SEC
2055-01-06 11:00:00,101.65,SEC
2055-01-06 12:00:00,106.44,SEC
2055-01-06 13:00:00,111.01,SEC
2055-01-06 14:00:00,114.61,SEC
2055-01-06 15:00:00,117.56,SEC
2055-01-06 16:00:00,117.99,SEC
2055-01-06 17:00:00,121.91,SEC
2055-01-06 18:00:00,134.01,SEC
2055-01-06 19:00:00,139.83,SEC
2055-01-06 20:00:00,141.83,SEC
