Time_UTC,Load,BA
2055-01-01 00:00:00,24752.51,SOCO
2055-01-01 01:00:00,25421.87,SOCO
2055-01-01 02:00:00,25840.8,SOCO
2055-01-01 03:00:00,24940.31,SOCO
2055-01-01 04:00:00,24290.09,SOCO
2055-01-01 05:00:00,23655.56,SOCO
2055-01-01 06:00:00,23365.0,SOCO
2055-01-01 07:00:00,23343.53,SOCO
2055-01-01 08:00:00,23503.25,SOCO
2055-01-01 09:00:00,24177.03,SOCO
2055-01-01 10:00:00,24952.25,SOCO
2055-01-01 11:00:00,25768.11,SOCO
2055-01-01 12:00:00,26504.15,SOCO
2055-01-01 13:00:00,27489.94,SOCO
2055-01-01 14:00:00,28643.26,SOCO
2055-01-01 15:00:00,27239.81,SOCO
2055-01-01 16:00:00,26367.39,SOCO
2055-01-01 17:00:00,25533.84,SOCO
2055-01-01 18:00:00,24914.02,SOCO
2055-01-01 19:00:00,24267.88,SOCO
2055-01-01 20:00:00,24020.14,SOCO
2055-01-01 21:00:00,23531.7,SOCO
2055-01-01 22:00:00,23142.62,SOCO
2055-01-01 23:00:00,23377.84,SOCO
2055-01-02 00:00:00,25500.05,SOCO
2055-01-02 01:00:00,26289.25,SOCO
2055-01-02 02:00:00,26472.91,SOCO
2055-01-02 03:00:00,25659.93,SOCO
2055-01-02 04:00:00,24535.61,SOCO
2055-01-02 05:00:00,23431.81,SOCO
2055-01-02 06:00:00,22481.23,SOCO
2055-01-02 07:00:00,21881.93,SOCO
2055-01-02 08:00:00,21490.44,SOCO
2055-01-02 09:00:00,21337.03,SOCO
2055-01-02 10:00:00,21503.38,SOCO
2055-01-02 11:00:00,21701.5,SOCO
2055-01-02 12:00:00,22104.48,SOCO
2055-01-02 13:00:00,22439.68,SOCO
2055-01-02 14:00:00,23265.97,SOCO
2055-01-02 15:00:00,23801.35,SOCO
2055-01-02 16:00:00,23628.48,SOCO
2055-01-02 17:00:00,23395.78,SOCO
2055-01-02 18:00:00,23260.48,SOCO
2055-01-02 19:00:00,23071.09,SOCO
2055-01-02 20:00:00,22986.85,SOCO
2055-01-02 21:00:00,22752.33,SOCO
2055-01-02 22:00:00,22747.05,SOCO
2055-01-02 23:00:00,22874.7,SOCO
2055-01-03 00:00:00,24165.22,SOCO
2055-01-03 01:00:00,24554.61,SOCO
2055-01-03 02:00:00,24494.66,SOCO
2055-01-03 03:00:00,23310.57,SOCO
2055-01-03 04:00:00,22188.53,SOCO
2055-01-03 05:00:00,21114.1,SOCO
2055-01-03 06:00:00,20248.69,SOCO
2055-01-03 07:00:00,19769.19,SOCO
2055-01-03 08:00:00,19325.05,SOCO
2055-01-03 09:00:00,19215.21,SOCO
2055-01-03 10:00:00,19498.36,SOCO
2055-01-03 11:00:00,19778.2,SOCO
2055-01-03 12:00:00,20078.34,SOCO
2055-01-03 13:00:00,20352.46,SOCO
2055-01-03 14:00:00,21098.69,SOCO
2055-01-03 15:00:00,21479.96,SOCO
2055-01-03 16:00:00,21765.91,SOCO
2055-01-03 17:00:00,22036.87,SOCO
2055-01-03 18:00:00,22056.77,SOCO
2055-01-03 19:00:00,22012.24,SOCO
2055-01-03 20:00:00,21906.09,SOCO
2055-01-03 21:00:00,21736.42,SOCO
2055-01-03 22:00:00,21652.23,SOCO
2055-01-03 23:00:00,21668.88,SOCO
2055-01-04 00:00:00,24136.28,SOCO
2055-01-04 01:00:00,24274.01,SOCO
2055-01-04 02:00:00,24107.28,SOCO
2055-01-04 03:00:00,22767.36,SOCO
2055-01-04 04:00:00,21409.02,SOCO
2055-01-04 05:00:00,20203.23,SOCO
2055-01-04 06:00:00,19090.22,SOCO
2055-01-04 07:00:00,18506.38,SOCO
2055-01-04 08:00:00,18354.88,SOCO
2055-01-04 09:00:00,18778.18,SOCO
2055-01-04 10:00:00,19400.19,SOCO
2055-01-04 11:00:00,20003.94,SOCO
2055-01-04 12:00:00,20548.56,SOCO
2055-01-04 13:00:00,21143.72,SOCO
2055-01-04 14:00:00,21902.99,SOCO
2055-01-04 15:00:00,22273.06,SOCO
2055-01-04 16:00:00,22550.04,SOCO
2055-01-04 17:00:00,22606.99,SOCO
2055-01-04 18:00:00,22611.66,SOCO
