Time_UTC,Load,BA
2055-01-01 00:00:00,33400.99,SWPP
2055-01-01 01:00:00,33870.0,SWPP
2055-01-01 02:00:00,33904.05,SWPP
2055-01-01 03:00:00,33064.04,SWPP
2055-01-01 04:00:00,31979.18,SWPP
2055-01-01 05:00:00,30920.53,SWPP
2055-01-01 06:00:00,29856.22,SWPP
2055-01-01 07:00:00,28961.34,SWPP
2055-01-01 08:00:00,28500.57,SWPP
2055-01-01 09:00:00,28376.03,SWPP
2055-01-01 10:00:00,28555.5,SWPP
2055-01-01 11:00:00,29044.85,SWPP
2055-01-01 12:00:00,29650.8,SWPP
2055-01-01 13:00:00,30319.23,SWPP
2055-01-01 14:00:00,31072.61,SWPP
2055-01-01 15:00:00,31929.86,SWPP
2055-01-01 16:00:00,32627.88,SWPP
2055-01-01 17:00:00,32732.51,SWPP
2055-01-01 18:00:00,32423.63,SWPP
2055-01-01 19:00:00,32017.94,SWPP
2055-01-01 20:00:00,31460.36,SWPP
2055-01-01 21:00:00,30838.38,SWPP
2055-01-01 22:00:00,30059.33,SWPP
2055-01-01 23:00:00,29397.17,SWPP
2055-01-02 00:00:00,30518.37,SWPP
2055-01-02 01:00:00,31016.02,SWPP
2055-01-02 02:00:00,30900.56,SWPP
2055-01-02 03:00:00,30614.33,SWPP
2055-01-02 04:00:00,29933.24,SWPP
2055-01-02 05:00:00,29138.3,SWPP
2055-01-02 06:00:00,28230.07,SWPP
2055-01-02 07:00:00,27525.44,SWPP
2055-01-02 08:00:00,27057.87,SWPP
2055-01-02 09:00:00,26991.93,SWPP
2055-01-02 10:00:00,27246.32,SWPP
2055-01-02 11:00:00,27532.32,SWPP
2055-01-02 12:00:00,27880.32,SWPP
2055-01-02 13:00:00,28192.84,SWPP
2055-01-02 14:00:00,28565.62,SWPP
2055-01-02 15:00:00,29043.37,SWPP
2055-01-02 16:00:00,29311.17,SWPP
2055-01-02 17:00:00,29253.26,SWPP
2055-01-02 18:00:00,29383.92,SWPP
2055-01-02 19:00:00,29160.84,SWPP
2055-01-02 20:00:00,28837.7,SWPP
