Time_UTC,Load,BA
2055-01-01 00:00:00,2376.36,TEC
2055-01-01 01:00:00,2223.21,TEC
2055-01-01 02:00:00,2081.76,TEC
2055-01-01 03:00:00,1955.9,TEC
2055-01-01 04:00:00,1829.68,TEC
2055-01-01 05:00:00,1705.7,TEC
2055-01-01 06:00:00,1600.72,TEC
2055-01-01 07:00:00,1530.0,TEC
2055-01-01 08:00:00,1468.73,TEC
2055-01-01 09:00:00,1422.99,TEC
2055-01-01 10:00:00,1438.57,TEC
2055-01-01 11:00:00,1493.36,TEC
2055-01-01 12:00:00,1554.75,TEC
2055-01-01 13:00:00,1647.33,TEC
2055-01-01 14:00:00,1792.26,TEC
2055-01-01 15:00:00,1894.02,TEC
2055-01-01 16:00:00,2006.83,TEC
2055-01-01 17:00:00,2120.68,TEC
2055-01-01 18:00:00,2234.12,TEC
2055-01-01 19:00:00,2383.23,TEC
2055-01-01 20:00:00,2498.67,TEC
2055-01-01 21:00:00,2527.8,TEC
2055-01-01 22:00:00,2501.74,TEC
2055-01-01 23:00:00,2437.31,TEC
2055-01-02 00:00:00,2689.17,TEC
2055-01-02 01:00:00,2532.57,TEC
2055-01-02 02:00:00,2375.39,TEC
2055-01-02 03:00:00,2230.09,TEC
2055-01-02 04:00:00,2083.66,TEC
2055-01-02 05:00:00,1949.65,TEC
2055-01-02 06:00:00,1825.26,TEC
2055-01-02 07:00:00,1714.36,TEC
2055-01-02 08:00:00,1641.69,TEC
2055-01-02 09:00:00,1617.46,TEC
2055-01-02 10:00:00,1635.38,TEC
2055-01-02 11:00:00,1663.68,TEC
2055-01-02 12:00:00,1683.48,TEC
2055-01-02 13:00:00,1750.78,TEC
2055-01-02 14:00:00,1840.97,TEC
2055-01-02 15:00:00,1920.7,TEC
2055-01-02 16:00:00,1993.61,TEC
2055-01-02 17:00:00,2053.84,TEC
2055-01-02 18:00:00,2117.48,TEC
2055-01-02 19:00:00,2239.37,TEC
2055-01-02 20:00:00,2338.76,TEC
2055-01-02 21:00:00,2382.87,TEC
2055-01-02 22:00:00,2396.16,TEC
2055-01-02 23:00:00,2361.42,TEC
2055-01-03 00:00:00,2660.2,TEC
2055-01-03 01:00:00,2521.26,TEC
2055-01-03 02:00:00,2388.05,TEC
2055-01-03 03:00:00,2240.29,TEC
2055-01-03 04:00:00,2073.86,TEC
2055-01-03 05:00:00,1935.43,TEC
2055-01-03 06:00:00,1816.96,TEC
2055-01-03 07:00:00,1755.09,TEC
2055-01-03 08:00:00,1714.75,TEC
2055-01-03 09:00:00,1678.36,TEC
2055-01-03 10:00:00,1687.8,TEC
2055-01-03 11:00:00,1720.65,TEC
2055-01-03 12:00:00,1759.89,TEC
2055-01-03 13:00:00,1835.04,TEC
2055-01-03 14:00:00,2019.83,TEC
2055-01-03 15:00:00,2232.02,TEC
2055-01-03 16:00:00,2481.6,TEC
2055-01-03 17:00:00,2684.9,TEC
2055-01-03 18:00:00,2822.44,TEC
2055-01-03 19:00:00,2913.14,TEC
2055-01-03 20:00:00,2960.65,TEC
2055-01-03 21:00:00,2953.25,TEC
2055-01-03 22:00:00,2840.96,TEC
2055-01-03 23:00:00,2687.64,TEC
2055-01-04 00:00:00,3218.52,TEC
2055-01-04 01:00:00,2994.45,TEC
2055-01-04 02:00:00,2779.4,TEC
2055-01-04 03:00:00,2586.36,TEC
2055-01-04 04:00:00,2398.62,TEC
2055-01-04 05:00:00,2231.03,TEC
2055-01-04 06:00:00,2065.44,TEC
2055-01-04 07:00:00,1944.39,TEC
2055-01-04 08:00:00,1888.2,TEC
2055-01-04 09:00:00,1914.28,TEC
2055-01-04 10:00:00,1952.94,TEC
2055-01-04 11:00:00,2002.23,TEC
2055-01-04 12:00:00,2059.54,TEC
2055-01-04 13:00:00,2167.53,TEC
2055-01-04 14:00:00,2333.15,TEC
2055-01-04 15:00:00,2466.64,TEC
2055-01-04 16:00:00,2598.63,TEC
2055-01-04 17:00:00,2739.43,TEC
2055-01-04 18:00:00,2859.15,TEC
2055-01-04 19:00:00,2952.65,TEC
2055-01-04 20:00:00,2965.75,TEC
2055-01-04 21:00:00,2921.82,TEC
2055-01-04 22:00:00,2851.5,TEC
