Time_UTC,Load,BA
2055-01-01 00:00:00,1683.81,TEPC
2055-01-01 01:00:00,1720.01,TEPC
2055-01-01 02:00:00,1710.92,TEPC
2055-01-01 03:00:00,1680.2,TEPC
2055-01-01 04:00:00,1624.12,TEPC
2055-01-01 05:00:00,1574.23,TEPC
2055-01-01 06:00:00,1510.01,TEPC
2055-01-01 07:00:00,1451.91,TEPC
2055-01-01 08:00:00,1414.51,TEPC
2055-01-01 09:00:00,1443.1,TEPC
2055-01-01 10:00:00,1548.87,TEPC
2055-01-01 11:00:00,1641.06,TEPC
2055-01-01 12:00:00,1702.69,TEPC
2055-01-01 13:00:00,1737.34,TEPC
2055-01-01 14:00:00,1768.9,TEPC
2055-01-01 15:00:00,1808.16,TEPC
2055-01-01 16:00:00,1813.69,TEPC
2055-01-01 17:00:00,1764.53,TEPC
2055-01-01 18:00:00,1754.86,TEPC
2055-01-01 19:00:00,1736.82,TEPC
2055-01-01 20:00:00,1730.6,TEPC
2055-01-01 21:00:00,1743.85,TEPC
2055-01-01 22:00:00,1767.59,TEPC
2055-01-01 23:00:00,1795.56,TEPC
2055-01-02 00:00:00,1680.66,TEPC
2055-01-02 01:00:00,1763.62,TEPC
2055-01-02 02:00:00,1793.75,TEPC
2055-01-02 03:00:00,1775.76,TEPC
2055-01-02 04:00:00,1728.82,TEPC
2055-01-02 05:00:00,1680.74,TEPC
2055-01-02 06:00:00,1636.78,TEPC
2055-01-02 07:00:00,1599.83,TEPC
2055-01-02 08:00:00,1587.67,TEPC
2055-01-02 09:00:00,1589.74,TEPC
2055-01-02 10:00:00,1613.06,TEPC
2055-01-02 11:00:00,1634.42,TEPC
2055-01-02 12:00:00,1655.46,TEPC
2055-01-02 13:00:00,1680.84,TEPC
2055-01-02 14:00:00,1704.67,TEPC
2055-01-02 15:00:00,1739.92,TEPC
2055-01-02 16:00:00,1754.52,TEPC
2055-01-02 17:00:00,1721.04,TEPC
2055-01-02 18:00:00,1679.25,TEPC
2055-01-02 19:00:00,1654.25,TEPC
2055-01-02 20:00:00,1644.94,TEPC
2055-01-02 21:00:00,1644.13,TEPC
2055-01-02 22:00:00,1645.31,TEPC
2055-01-02 23:00:00,1638.88,TEPC
2055-01-03 00:00:00,1654.22,TEPC
2055-01-03 01:00:00,1743.07,TEPC
2055-01-03 02:00:00,1767.06,TEPC
2055-01-03 03:00:00,1741.93,TEPC
2055-01-03 04:00:00,1694.24,TEPC
2055-01-03 05:00:00,1641.16,TEPC
2055-01-03 06:00:00,1588.41,TEPC
2055-01-03 07:00:00,1550.07,TEPC
2055-01-03 08:00:00,1531.69,TEPC
2055-01-03 09:00:00,1536.93,TEPC
2055-01-03 10:00:00,1557.36,TEPC
