Time_UTC,Load,BA
2055-01-01 00:00:00,222.76,TIDC
2055-01-01 01:00:00,259.41,TIDC
2055-01-01 02:00:00,266.14,TIDC
2055-01-01 03:00:00,271.9,TIDC
2055-01-01 04:00:00,269.38,TIDC
2055-01-01 05:00:00,256.42,TIDC
2055-01-01 06:00:00,243.83,TIDC
2055-01-01 07:00:00,233.1,TIDC
2055-01-01 08:00:00,221.06,TIDC
2055-01-01 09:00:00,212.08,TIDC
2055-01-01 10:00:00,208.37,TIDC
2055-01-01 11:00:00,207.63,TIDC
2055-01-01 12:00:00,209.36,TIDC
2055-01-01 13:00:00,211.0,TIDC
2055-01-01 14:00:00,212.22,TIDC
2055-01-01 15:00:00,216.76,TIDC
2055-01-01 16:00:00,235.94,TIDC
2055-01-01 17:00:00,245.93,TIDC
2055-01-01 18:00:00,240.9,TIDC
2055-01-01 19:00:00,236.57,TIDC
2055-01-01 20:00:00,235.7,TIDC
2055-01-01 21:00:00,236.63,TIDC
2055-01-01 22:00:00,234.68,TIDC
2055-01-01 23:00:00,229.25,TIDC
2055-01-02 00:00:00,231.17,TIDC
2055-01-02 01:00:00,274.64,TIDC
2055-01-02 02:00:00,278.44,TIDC
2055-01-02 03:00:00,282.15,TIDC
2055-01-02 04:00:00,281.68,TIDC
2055-01-02 05:00:00,269.47,TIDC
2055-01-02 06:00:00,256.28,TIDC
2055-01-02 07:00:00,244.03,TIDC
2055-01-02 08:00:00,235.92,TIDC
2055-01-02 09:00:00,228.55,TIDC
2055-01-02 10:00:00,225.4,TIDC
2055-01-02 11:00:00,224.97,TIDC
2055-01-02 12:00:00,225.59,TIDC
2055-01-02 13:00:00,228.41,TIDC
2055-01-02 14:00:00,232.39,TIDC
2055-01-02 15:00:00,237.84,TIDC
2055-01-02 16:00:00,244.27,TIDC
2055-01-02 17:00:00,242.09,TIDC
2055-01-02 18:00:00,240.41,TIDC
2055-01-02 19:00:00,234.35,TIDC
2055-01-02 20:00:00,232.2,TIDC
2055-01-02 21:00:00,230.18,TIDC
2055-01-02 22:00:00,226.29,TIDC
2055-01-02 23:00:00,229.75,TIDC
2055-01-03 00:00:00,232.95,TIDC
2055-01-03 01:00:00,273.13,TIDC
2055-01-03 02:00:00,276.42,TIDC
2055-01-03 03:00:00,279.62,TIDC
2055-01-03 04:00:00,278.53,TIDC
2055-01-03 05:00:00,269.14,TIDC
2055-01-03 06:00:00,258.07,TIDC
2055-01-03 07:00:00,246.48,TIDC
2055-01-03 08:00:00,232.95,TIDC
2055-01-03 09:00:00,225.32,TIDC
2055-01-03 10:00:00,220.82,TIDC
2055-01-03 11:00:00,220.11,TIDC
2055-01-03 12:00:00,219.67,TIDC
2055-01-03 13:00:00,221.94,TIDC
2055-01-03 14:00:00,225.03,TIDC
2055-01-03 15:00:00,229.85,TIDC
2055-01-03 16:00:00,237.41,TIDC
2055-01-03 17:00:00,236.03,TIDC
2055-01-03 18:00:00,235.61,TIDC
2055-01-03 19:00:00,235.38,TIDC
2055-01-03 20:00:00,233.31,TIDC
2055-01-03 21:00:00,228.07,TIDC
2055-01-03 22:00:00,224.32,TIDC
2055-01-03 23:00:00,225.17,TIDC
2055-01-04 00:00:00,251.93,TIDC
2055-01-04 01:00:00,282.56,TIDC
2055-01-04 02:00:00,287.37,TIDC
2055-01-04 03:00:00,291.47,TIDC
2055-01-04 04:00:00,292.85,TIDC
2055-01-04 05:00:00,281.17,TIDC
2055-01-04 06:00:00,267.89,TIDC
2055-01-04 07:00:00,255.04,TIDC
2055-01-04 08:00:00,243.87,TIDC
2055-01-04 09:00:00,237.05,TIDC
2055-01-04 10:00:00,234.49,TIDC
2055-01-04 11:00:00,237.77,TIDC
2055-01-04 12:00:00,241.41,TIDC
2055-01-04 13:00:00,249.1,TIDC
2055-01-04 14:00:00,257.7,TIDC
2055-01-04 15:00:00,264.69,TIDC
2055-01-04 16:00:00,288.04,TIDC
2055-01-04 17:00:00,293.85,TIDC
2055-01-04 18:00:00,285.22,TIDC
2055-01-04 19:00:00,279.51,TIDC
2055-01-04 20:00:00,275.35,TIDC
2055-01-04 21:00:00,272.92,TIDC
2055-01-04 22:00:00,272.82,TIDC
2055-01-04 23:00:00,276.47,TIDC
2055-01-05 00:00:00,244.73,TIDC
2055-01-05 01:00:00,281.15,TIDC
2055-01-05 02:00:00,286.08,TIDC
2055-01-05 03:00:00,290.42,TIDC
2055-01-05 04:00:00,294.25,TIDC
2055-01-05 05:00:00,284.81,TIDC
2055-01-05 06:00:00,270.15,TIDC
2055-01-05 07:00:00,255.81,TIDC
2055-01-05 08:00:00,242.9,TIDC
2055-01-05 09:00:00,235.74,TIDC
2055-01-05 10:00:00,231.66,TIDC
2055-01-05 11:00:00,234.87,TIDC
2055-01-05 12:00:00,238.19,TIDC
2055-01-05 13:00:00,243.66,TIDC
2055-01-05 14:00:00,250.46,TIDC
2055-01-05 15:00:00,257.81,TIDC
2055-01-05 16:00:00,281.9,TIDC
2055-01-05 17:00:00,284.16,TIDC
2055-01-05 18:00:00,280.54,TIDC
2055-01-05 19:00:00,276.53,TIDC
2055-01-05 20:00:00,272.84,TIDC
2055-01-05 21:00:00,270.62,TIDC
2055-01-05 22:00:00,268.48,TIDC
2055-01-05 23:00:00,272.05,TIDC
2055-01-06 00:00:00,250.82,TIDC
2055-01-06 01:00:00,275.7,TIDC
2055-01-06 02:00:00,279.77,TIDC
2055-01-06 03:00:00,283.66,TIDC
2055-01-06 04:00:00,288.1,TIDC
2055-01-06 05:00:00,280.35,TIDC
2055-01-06 06:00:00,269.16,TIDC
2055-01-06 07:00:00,257.55,TIDC
2055-01-06 08:00:00,245.76,TIDC
2055-01-06 09:00:00,235.07,TIDC
2055-01-06 10:00:00,228.19,TIDC
2055-01-06 11:00:00,229.61,TIDC
2055-01-06 12:00:00,231.56,TIDC
2055-01-06 13:00:00,235.19,TIDC
2055-01-06 14:00:00,241.93,TIDC
2055-01-06 15:00:00,249.44,TIDC
2055-01-06 16:00:00,270.38,TIDC
2055-01-06 17:00:00,276.97,TIDC
2055-01-06 18:00:00,276.88,TIDC
2055-01-06 19:00:00,275.12,TIDC
2055-01-06 20:00:00,272.63,TIDC
2055-01-06 21:00:00,269.15,TIDC
2055-01-06 22:00:00,267.12,TIDC
2055-01-06 23:00:00,263.55,TIDC
2055-01-07 00:00:00,244.08,TIDC
2055-01-07 01:00:00,278.08,TIDC
2055-01-07 02:00:00,282.71,TIDC
2055-01-07 03:00:00,285.66,TIDC
2055-01-07 04:00:00,286.28,TIDC
2055-01-07 05:00:00,279.73,TIDC
2055-01-07 06:00:00,270.46,TIDC
2055-01-07 07:00:00,258.79,TIDC
2055-01-07 08:00:00,244.74,TIDC
2055-01-07 09:00:00,231.74,TIDC
2055-01-07 10:00:00,226.89,TIDC
2055-01-07 11:00:00,226.64,TIDC
2055-01-07 12:00:00,228.82,TIDC
2055-01-07 13:00:00,231.84,TIDC
2055-01-07 14:00:00,235.51,TIDC
2055-01-07 15:00:00,242.17,TIDC
2055-01-07 16:00:00,267.89,TIDC
2055-01-07 17:00:00,272.2,TIDC
2055-01-07 18:00:00,271.3,TIDC
2055-01-07 19:00:00,271.01,TIDC
2055-01-07 20:00:00,269.7,TIDC
2055-01-07 21:00:00,268.34,TIDC
2055-01-07 22:00:00,265.54,TIDC
2055-01-07 23:00:00,259.25,TIDC
2055-01-08 00:00:00,244.32,TIDC
2055-01-08 01:00:00,276.74,TIDC
2055-01-08 02:00:00,279.46,TIDC
2055-01-08 03:00:00,283.0,TIDC
2055-01-08 04:00:00,286.71,TIDC
2055-01-08 05:00:00,280.55,TIDC
2055-01-08 06:00:00,269.93,TIDC
2055-01-08 07:00:00,259.48,TIDC
2055-01-08 08:00:00,246.83,TIDC
2055-01-08 09:00:00,232.59,TIDC
2055-01-08 10:00:00,224.51,TIDC
2055-01-08 11:00:00,225.58,TIDC
2055-01-08 12:00:00,228.53,TIDC
2055-01-08 13:00:00,231.78,TIDC
2055-01-08 14:00:00,235.46,TIDC
2055-01-08 15:00:00,240.43,TIDC
2055-01-08 16:00:00,263.37,TIDC
2055-01-08 17:00:00,273.02,TIDC
2055-01-08 18:00:00,274.46,TIDC
2055-01-08 19:00:00,273.59,TIDC
2055-01-08 20:00:00,271.46,TIDC
2055-01-08 21:00:00,272.27,TIDC
2055-01-08 22:00:00,270.13,TIDC
2055-01-08 23:00:00,265.41,TIDC
2055-01-09 00:00:00,223.71,TIDC
2055-01-09 01:00:00,260.75,TIDC
2055-01-09 02:00:00,263.95,TIDC
2055-01-09 03:00:00,265.71,TIDC
2055-01-09 04:00:00,268.09,TIDC
2055-01-09 05:00:00,265.46,TIDC
2055-01-09 06:00:00,253.81,TIDC
2055-01-09 07:00:00,241.11,TIDC
2055-01-09 08:00:00,224.72,TIDC
2055-01-09 09:00:00,214.57,TIDC
2055-01-09 10:00:00,211.94,TIDC
2055-01-09 11:00:00,209.98,TIDC
2055-01-09 12:00:00,209.16,TIDC
2055-01-09 13:00:00,208.16,TIDC
2055-01-09 14:00:00,210.58,TIDC
2055-01-09 15:00:00,212.01,TIDC
2055-01-09 16:00:00,214.96,TIDC
2055-01-09 17:00:00,218.33,TIDC
2055-01-09 18:00:00,219.35,TIDC
2055-01-09 19:00:00,220.87,TIDC
2055-01-09 20:00:00,219.92,TIDC
2055-01-09 21:00:00,223.26,TIDC
2055-01-09 22:00:00,221.88,TIDC
2055-01-09 23:00:00,226.29,TIDC
2055-01-10 00:00:00,237.13,TIDC
2055-01-10 01:00:00,264.57,TIDC
2055-01-10 02:00:00,264.71,TIDC
2055-01-10 03:00:00,263.94,TIDC
2055-01-10 04:00:00,267.02,TIDC
2055-01-10 05:00:00,265.36,TIDC
2055-01-10 06:00:00,255.18,TIDC
2055-01-10 07:00:00,240.92,TIDC
2055-01-10 08:00:00,224.85,TIDC
2055-01-10 09:00:00,212.84,TIDC
2055-01-10 10:00:00,208.57,TIDC
2055-01-10 11:00:00,206.13,TIDC
2055-01-10 12:00:00,205.12,TIDC
2055-01-10 13:00:00,203.14,TIDC
2055-01-10 14:00:00,206.5,TIDC
2055-01-10 15:00:00,208.65,TIDC
2055-01-10 16:00:00,213.32,TIDC
2055-01-10 17:00:00,214.8,TIDC
2055-01-10 18:00:00,216.85,TIDC
2055-01-10 19:00:00,217.18,TIDC
2055-01-10 20:00:00,215.86,TIDC
2055-01-10 21:00:00,216.0,TIDC
2055-01-10 22:00:00,213.59,TIDC
2055-01-10 23:00:00,214.76,TIDC
2055-01-11 00:00:00,241.61,TIDC
2055-01-11 01:00:00,274.5,TIDC
2055-01-11 02:00:00,279.26,TIDC
2055-01-11 03:00:00,284.92,TIDC
2055-01-11 04:00:00,289.53,TIDC
2055-01-11 05:00:00,285.73,TIDC
2055-01-11 06:00:00,273.13,TIDC
2055-01-11 07:00:00,260.29,TIDC
2055-01-11 08:00:00,248.21,TIDC
2055-01-11 09:00:00,237.05,TIDC
2055-01-11 10:00:00,231.95,TIDC
2055-01-11 11:00:00,231.83,TIDC
2055-01-11 12:00:00,232.68,TIDC
2055-01-11 13:00:00,235.74,TIDC
2055-01-11 14:00:00,241.58,TIDC
2055-01-11 15:00:00,248.17,TIDC
2055-01-11 16:00:00,263.93,TIDC
2055-01-11 17:00:00,272.35,TIDC
2055-01-11 18:00:00,272.62,TIDC
2055-01-11 19:00:00,274.21,TIDC
2055-01-11 20:00:00,273.48,TIDC
2055-01-11 21:00:00,272.27,TIDC
2055-01-11 22:00:00,270.66,TIDC
2055-01-11 23:00:00,274.02,TIDC
2055-01-12 00:00:00,253.87,TIDC
2055-01-12 01:00:00,279.98,TIDC
2055-01-12 02:00:00,280.3,TIDC
2055-01-12 03:00:00,283.71,TIDC
2055-01-12 04:00:00,287.24,TIDC
2055-01-12 05:00:00,284.53,TIDC
2055-01-12 06:00:00,271.08,TIDC
2055-01-12 07:00:00,256.39,TIDC
2055-01-12 08:00:00,243.91,TIDC
2055-01-12 09:00:00,232.98,TIDC
2055-01-12 10:00:00,228.62,TIDC
2055-01-12 11:00:00,229.05,TIDC
2055-01-12 12:00:00,231.8,TIDC
2055-01-12 13:00:00,235.97,TIDC
2055-01-12 14:00:00,240.74,TIDC
2055-01-12 15:00:00,246.52,TIDC
2055-01-12 16:00:00,271.67,TIDC
2055-01-12 17:00:00,271.96,TIDC
2055-01-12 18:00:00,275.69,TIDC
2055-01-12 19:00:00,276.37,TIDC
2055-01-12 20:00:00,275.28,TIDC
2055-01-12 21:00:00,274.87,TIDC
2055-01-12 22:00:00,274.7,TIDC
2055-01-12 23:00:00,279.54,TIDC
2055-01-13 00:00:00,251.37,TIDC
2055-01-13 01:00:00,278.25,TIDC
2055-01-13 02:00:00,281.57,TIDC
2055-01-13 03:00:00,284.65,TIDC
2055-01-13 04:00:00,288.45,TIDC
2055-01-13 05:00:00,286.37,TIDC
2055-01-13 06:00:00,274.36,TIDC
2055-01-13 07:00:00,262.99,TIDC
2055-01-13 08:00:00,251.44,TIDC
2055-01-13 09:00:00,238.32,TIDC
2055-01-13 10:00:00,229.46,TIDC
2055-01-13 11:00:00,228.16,TIDC
2055-01-13 12:00:00,230.12,TIDC
2055-01-13 13:00:00,235.06,TIDC
2055-01-13 14:00:00,241.46,TIDC
2055-01-13 15:00:00,248.42,TIDC
2055-01-13 16:00:00,271.33,TIDC
2055-01-13 17:00:00,271.13,TIDC
2055-01-13 18:00:00,270.53,TIDC
2055-01-13 19:00:00,268.15,TIDC
2055-01-13 20:00:00,265.12,TIDC
2055-01-13 21:00:00,263.61,TIDC
2055-01-13 22:00:00,262.0,TIDC
2055-01-13 23:00:00,262.11,TIDC
2055-01-14 00:00:00,243.53,TIDC
2055-01-14 01:00:00,276.5,TIDC
2055-01-14 02:00:00,281.69,TIDC
2055-01-14 03:00:00,284.77,TIDC
2055-01-14 04:00:00,288.06,TIDC
2055-01-14 05:00:00,282.04,TIDC
2055-01-14 06:00:00,268.79,TIDC
2055-01-14 07:00:00,253.89,TIDC
2055-01-14 08:00:00,240.7,TIDC
2055-01-14 09:00:00,231.55,TIDC
2055-01-14 10:00:00,227.46,TIDC
2055-01-14 11:00:00,229.16,TIDC
2055-01-14 12:00:00,232.79,TIDC
2055-01-14 13:00:00,236.55,TIDC
2055-01-14 14:00:00,242.35,TIDC
2055-01-14 15:00:00,249.95,TIDC
2055-01-14 16:00:00,276.74,TIDC
2055-01-14 17:00:00,275.59,TIDC
2055-01-14 18:00:00,273.53,TIDC
2055-01-14 19:00:00,270.64,TIDC
2055-01-14 20:00:00,267.04,TIDC
2055-01-14 21:00:00,265.12,TIDC
2055-01-14 22:00:00,262.41,TIDC
2055-01-14 23:00:00,261.4,TIDC
2055-01-15 00:00:00,241.33,TIDC
2055-01-15 01:00:00,276.54,TIDC
2055-01-15 02:00:00,280.02,TIDC
2055-01-15 03:00:00,283.69,TIDC
2055-01-15 04:00:00,288.56,TIDC
2055-01-15 05:00:00,283.25,TIDC
2055-01-15 06:00:00,270.64,TIDC
2055-01-15 07:00:00,255.36,TIDC
2055-01-15 08:00:00,240.49,TIDC
2055-01-15 09:00:00,231.48,TIDC
2055-01-15 10:00:00,227.15,TIDC
2055-01-15 11:00:00,228.16,TIDC
2055-01-15 12:00:00,230.72,TIDC
2055-01-15 13:00:00,233.93,TIDC
2055-01-15 14:00:00,240.75,TIDC
2055-01-15 15:00:00,246.67,TIDC
2055-01-15 16:00:00,270.57,TIDC
2055-01-15 17:00:00,272.82,TIDC
2055-01-15 18:00:00,271.02,TIDC
2055-01-15 19:00:00,268.9,TIDC
2055-01-15 20:00:00,266.93,TIDC
2055-01-15 21:00:00,263.93,TIDC
2055-01-15 22:00:00,262.27,TIDC
