Time_UTC,Load,BA
2055-01-01 00:00:00,3440.67,WACM
2055-01-01 01:00:00,3497.43,WACM
2055-01-01 02:00:00,3553.88,WACM
2055-01-01 03:00:00,3519.11,WACM
2055-01-01 04:00:00,3474.6,WACM
2055-01-01 05:00:00,3427.83,WACM
2055-01-01 06:00:00,3376.52,WACM
2055-01-01 07:00:00,3318.74,WACM
2055-01-01 08:00:00,3262.87,WACM
2055-01-01 09:00:00,3233.89,WACM
2055-01-01 10:00:00,3215.79,WACM
2055-01-01 11:00:00,3235.29,WACM
2055-01-01 12:00:00,3257.68,WACM
2055-01-01 13:00:00,3276.03,WACM
2055-01-01 14:00:00,3290.64,WACM
2055-01-01 15:00:00,3336.35,WACM
2055-01-01 16:00:00,3371.42,WACM
2055-01-01 17:00:00,3364.04,WACM
2055-01-01 18:00:00,3333.14,WACM
2055-01-01 19:00:00,3319.04,WACM
2055-01-01 20:00:00,3310.99,WACM
2055-01-01 21:00:00,3282.11,WACM
2055-01-01 22:00:00,3220.45,WACM
2055-01-01 23:00:00,3133.67,WACM
2055-01-02 00:00:00,3320.9,WACM
2055-01-02 01:00:00,3403.08,WACM
2055-01-02 02:00:00,3435.41,WACM
2055-01-02 03:00:00,3416.09,WACM
2055-01-02 04:00:00,3346.83,WACM
2055-01-02 05:00:00,3281.18,WACM
2055-01-02 06:00:00,3213.42,WACM
2055-01-02 07:00:00,3146.22,WACM
2055-01-02 08:00:00,3075.34,WACM
2055-01-02 09:00:00,3038.83,WACM
2055-01-02 10:00:00,3049.74,WACM
2055-01-02 11:00:00,3067.65,WACM
2055-01-02 12:00:00,3087.55,WACM
2055-01-02 13:00:00,3108.22,WACM
2055-01-02 14:00:00,3128.05,WACM
2055-01-02 15:00:00,3183.7,WACM
2055-01-02 16:00:00,3191.39,WACM
2055-01-02 17:00:00,3122.07,WACM
2055-01-02 18:00:00,3066.62,WACM
2055-01-02 19:00:00,3023.24,WACM
2055-01-02 20:00:00,2987.18,WACM
2055-01-02 21:00:00,2956.99,WACM
2055-01-02 22:00:00,2917.31,WACM
2055-01-02 23:00:00,2896.24,WACM
2055-01-03 00:00:00,3198.94,WACM
2055-01-03 01:00:00,3291.77,WACM
