Time_UTC,Load,BA
2058-01-01 00:00:00,1616.4,AVA
2058-01-01 01:00:00,1673.05,AVA
2058-01-01 02:00:00,1722.78,AVA
2058-01-01 03:00:00,1768.81,AVA
2058-01-01 04:00:00,1732.59,AVA
2058-01-01 05:00:00,1673.42,AVA
2058-01-01 06:00:00,1615.32,AVA
2058-01-01 07:00:00,1557.07,AVA
2058-01-01 08:00:00,1493.57,AVA
2058-01-01 09:00:00,1442.1,AVA
2058-01-01 10:00:00,1430.07,AVA
2058-01-01 11:00:00,1442.93,AVA
2058-01-01 12:00:00,1485.57,AVA
2058-01-01 13:00:00,1547.58,AVA
2058-01-01 14:00:00,1616.97,AVA
2058-01-01 15:00:00,1678.04,AVA
2058-01-01 16:00:00,1748.3,AVA
2058-01-01 17:00:00,1809.64,AVA
2058-01-01 18:00:00,1822.15,AVA
2058-01-01 19:00:00,1820.03,AVA
2058-01-01 20:00:00,1791.19,AVA
2058-01-01 21:00:00,1768.4,AVA
2058-01-01 22:00:00,1744.83,AVA
2058-01-01 23:00:00,1726.11,AVA
2058-01-02 00:00:00,1754.16,AVA
2058-01-02 01:00:00,1809.72,AVA
2058-01-02 02:00:00,1849.92,AVA
2058-01-02 03:00:00,1876.46,AVA
2058-01-02 04:00:00,1858.84,AVA
2058-01-02 05:00:00,1780.44,AVA
2058-01-02 06:00:00,1698.09,AVA
2058-01-02 07:00:00,1614.63,AVA
2058-01-02 08:00:00,1532.6,AVA
2058-01-02 09:00:00,1471.81,AVA
2058-01-02 10:00:00,1442.95,AVA
2058-01-02 11:00:00,1459.71,AVA
2058-01-02 12:00:00,1526.96,AVA
2058-01-02 13:00:00,1597.52,AVA
2058-01-02 14:00:00,1677.42,AVA
2058-01-02 15:00:00,1754.42,AVA
2058-01-02 16:00:00,1841.27,AVA
2058-01-02 17:00:00,1904.69,AVA
2058-01-02 18:00:00,1862.42,AVA
2058-01-02 19:00:00,1812.3,AVA
2058-01-02 20:00:00,1768.02,AVA
2058-01-02 21:00:00,1727.48,AVA
2058-01-02 22:00:00,1695.99,AVA
2058-01-02 23:00:00,1711.28,AVA
2058-01-03 00:00:00,1742.75,AVA
2058-01-03 01:00:00,1795.96,AVA
2058-01-03 02:00:00,1838.41,AVA
2058-01-03 03:00:00,1855.6,AVA
2058-01-03 04:00:00,1847.01,AVA
2058-01-03 05:00:00,1764.82,AVA
2058-01-03 06:00:00,1685.78,AVA
2058-01-03 07:00:00,1596.71,AVA
2058-01-03 08:00:00,1504.54,AVA
2058-01-03 09:00:00,1423.97,AVA
2058-01-03 10:00:00,1375.94,AVA
2058-01-03 11:00:00,1378.26,AVA
2058-01-03 12:00:00,1437.43,AVA
2058-01-03 13:00:00,1509.51,AVA
2058-01-03 14:00:00,1573.08,AVA
2058-01-03 15:00:00,1638.63,AVA
2058-01-03 16:00:00,1734.76,AVA
2058-01-03 17:00:00,1770.91,AVA
2058-01-03 18:00:00,1732.92,AVA
2058-01-03 19:00:00,1710.66,AVA
2058-01-03 20:00:00,1683.95,AVA
2058-01-03 21:00:00,1651.68,AVA
2058-01-03 22:00:00,1618.09,AVA
2058-01-03 23:00:00,1625.6,AVA
2058-01-04 00:00:00,1668.4,AVA
2058-01-04 01:00:00,1716.48,AVA
2058-01-04 02:00:00,1754.52,AVA
2058-01-04 03:00:00,1770.52,AVA
2058-01-04 04:00:00,1760.66,AVA
2058-01-04 05:00:00,1678.36,AVA
2058-01-04 06:00:00,1593.22,AVA
2058-01-04 07:00:00,1507.74,AVA
2058-01-04 08:00:00,1428.73,AVA
2058-01-04 09:00:00,1375.52,AVA
2058-01-04 10:00:00,1346.73,AVA
2058-01-04 11:00:00,1355.51,AVA
2058-01-04 12:00:00,1411.79,AVA
2058-01-04 13:00:00,1482.11,AVA
