Time_UTC,Load,BA
2058-01-01 00:00:00,2684.77,AZPS
2058-01-01 01:00:00,2908.23,AZPS
2058-01-01 02:00:00,3008.98,AZPS
2058-01-01 03:00:00,3088.6,AZPS
2058-01-01 04:00:00,3125.25,AZPS
2058-01-01 05:00:00,3021.59,AZPS
2058-01-01 06:00:00,2854.58,AZPS
2058-01-01 07:00:00,2687.34,AZPS
2058-01-01 08:00:00,2544.32,AZPS
2058-01-01 09:00:00,2443.07,AZPS
2058-01-01 10:00:00,2458.05,AZPS
2058-01-01 11:00:00,2481.23,AZPS
2058-01-01 12:00:00,2535.96,AZPS
2058-01-01 13:00:00,2611.08,AZPS
2058-01-01 14:00:00,2715.75,AZPS
2058-01-01 15:00:00,2853.83,AZPS
2058-01-01 16:00:00,2808.98,AZPS
2058-01-01 17:00:00,2644.49,AZPS
2058-01-01 18:00:00,2470.61,AZPS
2058-01-01 19:00:00,2436.43,AZPS
2058-01-01 20:00:00,2487.36,AZPS
2058-01-01 21:00:00,2556.84,AZPS
2058-01-01 22:00:00,2621.63,AZPS
2058-01-01 23:00:00,2694.54,AZPS
2058-01-02 00:00:00,2768.23,AZPS
2058-01-02 01:00:00,2960.62,AZPS
2058-01-02 02:00:00,3045.91,AZPS
2058-01-02 03:00:00,3150.73,AZPS
2058-01-02 04:00:00,3224.96,AZPS
2058-01-02 05:00:00,3060.87,AZPS
2058-01-02 06:00:00,2893.29,AZPS
2058-01-02 07:00:00,2731.28,AZPS
2058-01-02 08:00:00,2577.71,AZPS
2058-01-02 09:00:00,2464.95,AZPS
2058-01-02 10:00:00,2462.69,AZPS
2058-01-02 11:00:00,2521.67,AZPS
2058-01-02 12:00:00,2620.44,AZPS
2058-01-02 13:00:00,2745.25,AZPS
2058-01-02 14:00:00,2870.33,AZPS
2058-01-02 15:00:00,2986.2,AZPS
2058-01-02 16:00:00,2941.19,AZPS
2058-01-02 17:00:00,2835.32,AZPS
2058-01-02 18:00:00,2725.68,AZPS
2058-01-02 19:00:00,2669.65,AZPS
2058-01-02 20:00:00,2696.71,AZPS
2058-01-02 21:00:00,2771.27,AZPS
2058-01-02 22:00:00,2829.33,AZPS
2058-01-02 23:00:00,2848.36,AZPS
2058-01-03 00:00:00,2753.27,AZPS
