Time_UTC,Load,BA
2058-01-01 00:00:00,6730.15,BPAT
2058-01-01 01:00:00,7127.51,BPAT
2058-01-01 02:00:00,7357.32,BPAT
2058-01-01 03:00:00,7561.05,BPAT
2058-01-01 04:00:00,7518.35,BPAT
2058-01-01 05:00:00,7344.54,BPAT
2058-01-01 06:00:00,7075.8,BPAT
2058-01-01 07:00:00,6827.16,BPAT
2058-01-01 08:00:00,6609.42,BPAT
2058-01-01 09:00:00,6436.53,BPAT
2058-01-01 10:00:00,6373.29,BPAT
2058-01-01 11:00:00,6417.43,BPAT
2058-01-01 12:00:00,6595.56,BPAT
2058-01-01 13:00:00,6897.6,BPAT
2058-01-01 14:00:00,7271.57,BPAT
2058-01-01 15:00:00,7625.49,BPAT
2058-01-01 16:00:00,8047.68,BPAT
2058-01-01 17:00:00,8154.9,BPAT
2058-01-01 18:00:00,7951.41,BPAT
2058-01-01 19:00:00,7610.98,BPAT
2058-01-01 20:00:00,7363.0,BPAT
2058-01-01 21:00:00,7178.29,BPAT
2058-01-01 22:00:00,7034.87,BPAT
2058-01-01 23:00:00,7025.66,BPAT
2058-01-02 00:00:00,6872.42,BPAT
2058-01-02 01:00:00,7320.64,BPAT
2058-01-02 02:00:00,7637.86,BPAT
2058-01-02 03:00:00,7854.91,BPAT
2058-01-02 04:00:00,7786.1,BPAT
2058-01-02 05:00:00,7551.84,BPAT
2058-01-02 06:00:00,7226.66,BPAT
2058-01-02 07:00:00,6830.25,BPAT
2058-01-02 08:00:00,6422.46,BPAT
2058-01-02 09:00:00,6137.2,BPAT
2058-01-02 10:00:00,6045.14,BPAT
2058-01-02 11:00:00,6168.02,BPAT
2058-01-02 12:00:00,6475.68,BPAT
2058-01-02 13:00:00,6839.03,BPAT
2058-01-02 14:00:00,7246.38,BPAT
2058-01-02 15:00:00,7640.54,BPAT
2058-01-02 16:00:00,8018.52,BPAT
2058-01-02 17:00:00,8213.47,BPAT
2058-01-02 18:00:00,7887.75,BPAT
2058-01-02 19:00:00,7570.96,BPAT
2058-01-02 20:00:00,7301.26,BPAT
2058-01-02 21:00:00,7116.27,BPAT
2058-01-02 22:00:00,7038.25,BPAT
2058-01-02 23:00:00,7180.6,BPAT
2058-01-03 00:00:00,7448.97,BPAT
2058-01-03 01:00:00,7782.78,BPAT
2058-01-03 02:00:00,8011.0,BPAT
2058-01-03 03:00:00,8176.67,BPAT
2058-01-03 04:00:00,8084.12,BPAT
2058-01-03 05:00:00,7787.22,BPAT
2058-01-03 06:00:00,7409.18,BPAT
2058-01-03 07:00:00,6964.76,BPAT
2058-01-03 08:00:00,6464.28,BPAT
2058-01-03 09:00:00,6035.43,BPAT
2058-01-03 10:00:00,5889.48,BPAT
2058-01-03 11:00:00,5972.81,BPAT
2058-01-03 12:00:00,6296.79,BPAT
2058-01-03 13:00:00,6671.95,BPAT
2058-01-03 14:00:00,7007.57,BPAT
2058-01-03 15:00:00,7355.76,BPAT
2058-01-03 16:00:00,7755.45,BPAT
2058-01-03 17:00:00,7818.18,BPAT
2058-01-03 18:00:00,7401.49,BPAT
2058-01-03 19:00:00,7039.02,BPAT
2058-01-03 20:00:00,6766.72,BPAT
2058-01-03 21:00:00,6577.73,BPAT
2058-01-03 22:00:00,6504.63,BPAT
2058-01-03 23:00:00,6565.34,BPAT
2058-01-04 00:00:00,6697.63,BPAT
2058-01-04 01:00:00,7061.88,BPAT
2058-01-04 02:00:00,7285.69,BPAT
2058-01-04 03:00:00,7463.09,BPAT
2058-01-04 04:00:00,7381.72,BPAT
2058-01-04 05:00:00,7166.27,BPAT
2058-01-04 06:00:00,6906.54,BPAT
2058-01-04 07:00:00,6491.62,BPAT
2058-01-04 08:00:00,6062.09,BPAT
2058-01-04 09:00:00,5776.19,BPAT
2058-01-04 10:00:00,5666.27,BPAT
2058-01-04 11:00:00,5757.69,BPAT
2058-01-04 12:00:00,6058.2,BPAT
2058-01-04 13:00:00,6446.74,BPAT
2058-01-04 14:00:00,6795.53,BPAT
2058-01-04 15:00:00,7162.79,BPAT
2058-01-04 16:00:00,7578.18,BPAT
2058-01-04 17:00:00,7632.67,BPAT
2058-01-04 18:00:00,7312.74,BPAT
2058-01-04 19:00:00,6993.03,BPAT
2058-01-04 20:00:00,6749.06,BPAT
2058-01-04 21:00:00,6583.68,BPAT
2058-01-04 22:00:00,6542.67,BPAT
2058-01-04 23:00:00,6615.6,BPAT
2058-01-05 00:00:00,6565.99,BPAT
2058-01-05 01:00:00,7004.17,BPAT
2058-01-05 02:00:00,7181.98,BPAT
2058-01-05 03:00:00,7113.41,BPAT
2058-01-05 04:00:00,7011.06,BPAT
2058-01-05 05:00:00,6905.61,BPAT
2058-01-05 06:00:00,6631.04,BPAT
2058-01-05 07:00:00,6280.34,BPAT
2058-01-05 08:00:00,5941.84,BPAT
2058-01-05 09:00:00,5613.49,BPAT
2058-01-05 10:00:00,5443.58,BPAT
2058-01-05 11:00:00,5396.57,BPAT
2058-01-05 12:00:00,5477.74,BPAT
2058-01-05 13:00:00,5580.59,BPAT
2058-01-05 14:00:00,5736.62,BPAT
