Time_UTC,Load,BA
2058-01-01 00:00:00,296.61,CHPD
2058-01-01 01:00:00,302.11,CHPD
2058-01-01 02:00:00,297.55,CHPD
2058-01-01 03:00:00,295.28,CHPD
2058-01-01 04:00:00,291.72,CHPD
2058-01-01 05:00:00,292.24,CHPD
2058-01-01 06:00:00,289.24,CHPD
2058-01-01 07:00:00,282.56,CHPD
2058-01-01 08:00:00,276.3,CHPD
2058-01-01 09:00:00,273.29,CHPD
2058-01-01 10:00:00,279.86,CHPD
2058-01-01 11:00:00,289.74,CHPD
2058-01-01 12:00:00,299.5,CHPD
2058-01-01 13:00:00,309.02,CHPD
2058-01-01 14:00:00,319.34,CHPD
2058-01-01 15:00:00,328.27,CHPD
2058-01-01 16:00:00,338.28,CHPD
2058-01-01 17:00:00,350.29,CHPD
2058-01-01 18:00:00,340.01,CHPD
2058-01-01 19:00:00,322.2,CHPD
2058-01-01 20:00:00,312.24,CHPD
2058-01-01 21:00:00,307.47,CHPD
2058-01-01 22:00:00,308.31,CHPD
2058-01-01 23:00:00,310.89,CHPD
2058-01-02 00:00:00,294.55,CHPD
2058-01-02 01:00:00,314.57,CHPD
2058-01-02 02:00:00,315.93,CHPD
2058-01-02 03:00:00,312.8,CHPD
2058-01-02 04:00:00,307.89,CHPD
2058-01-02 05:00:00,301.24,CHPD
2058-01-02 06:00:00,292.31,CHPD
2058-01-02 07:00:00,280.01,CHPD
2058-01-02 08:00:00,272.92,CHPD
2058-01-02 09:00:00,271.98,CHPD
2058-01-02 10:00:00,279.97,CHPD
2058-01-02 11:00:00,288.08,CHPD
2058-01-02 12:00:00,303.18,CHPD
2058-01-02 13:00:00,312.54,CHPD
2058-01-02 14:00:00,326.25,CHPD
2058-01-02 15:00:00,336.18,CHPD
2058-01-02 16:00:00,347.73,CHPD
2058-01-02 17:00:00,348.01,CHPD
2058-01-02 18:00:00,331.85,CHPD
2058-01-02 19:00:00,314.23,CHPD
2058-01-02 20:00:00,308.0,CHPD
2058-01-02 21:00:00,306.17,CHPD
2058-01-02 22:00:00,305.22,CHPD
2058-01-02 23:00:00,312.37,CHPD
2058-01-03 00:00:00,319.15,CHPD
2058-01-03 01:00:00,331.72,CHPD
2058-01-03 02:00:00,334.22,CHPD
2058-01-03 03:00:00,327.13,CHPD
2058-01-03 04:00:00,320.74,CHPD
2058-01-03 05:00:00,309.48,CHPD
2058-01-03 06:00:00,310.58,CHPD
2058-01-03 07:00:00,309.47,CHPD
2058-01-03 08:00:00,291.39,CHPD
2058-01-03 09:00:00,273.17,CHPD
2058-01-03 10:00:00,276.7,CHPD
2058-01-03 11:00:00,285.39,CHPD
2058-01-03 12:00:00,295.51,CHPD
2058-01-03 13:00:00,304.06,CHPD
2058-01-03 14:00:00,314.07,CHPD
2058-01-03 15:00:00,324.04,CHPD
2058-01-03 16:00:00,333.68,CHPD
2058-01-03 17:00:00,331.46,CHPD
2058-01-03 18:00:00,307.44,CHPD
2058-01-03 19:00:00,288.82,CHPD
2058-01-03 20:00:00,278.43,CHPD
2058-01-03 21:00:00,276.39,CHPD
2058-01-03 22:00:00,278.75,CHPD
2058-01-03 23:00:00,283.3,CHPD
2058-01-04 00:00:00,282.88,CHPD
2058-01-04 01:00:00,292.99,CHPD
2058-01-04 02:00:00,293.08,CHPD
2058-01-04 03:00:00,289.63,CHPD
2058-01-04 04:00:00,282.36,CHPD
2058-01-04 05:00:00,271.91,CHPD
2058-01-04 06:00:00,267.74,CHPD
2058-01-04 07:00:00,264.96,CHPD
2058-01-04 08:00:00,259.38,CHPD
2058-01-04 09:00:00,258.22,CHPD
2058-01-04 10:00:00,264.48,CHPD
2058-01-04 11:00:00,275.56,CHPD
2058-01-04 12:00:00,286.49,CHPD
2058-01-04 13:00:00,297.66,CHPD
2058-01-04 14:00:00,309.28,CHPD
2058-01-04 15:00:00,320.02,CHPD
2058-01-04 16:00:00,326.97,CHPD
2058-01-04 17:00:00,321.89,CHPD
2058-01-04 18:00:00,302.98,CHPD
2058-01-04 19:00:00,287.96,CHPD
2058-01-04 20:00:00,276.27,CHPD
2058-01-04 21:00:00,274.59,CHPD
2058-01-04 22:00:00,276.24,CHPD
2058-01-04 23:00:00,287.07,CHPD
2058-01-05 00:00:00,289.02,CHPD
2058-01-05 01:00:00,304.16,CHPD
2058-01-05 02:00:00,298.25,CHPD
2058-01-05 03:00:00,284.38,CHPD
2058-01-05 04:00:00,276.39,CHPD
2058-01-05 05:00:00,272.55,CHPD
2058-01-05 06:00:00,266.8,CHPD
2058-01-05 07:00:00,259.66,CHPD
2058-01-05 08:00:00,247.94,CHPD
2058-01-05 09:00:00,243.15,CHPD
