Time_UTC,Load,BA
2058-01-01 00:00:00,42470.8,ERCO
2058-01-01 01:00:00,44504.51,ERCO
2058-01-01 02:00:00,46262.57,ERCO
2058-01-01 03:00:00,46489.66,ERCO
2058-01-01 04:00:00,46014.47,ERCO
2058-01-01 05:00:00,45486.1,ERCO
2058-01-01 06:00:00,44897.27,ERCO
2058-01-01 07:00:00,44357.35,ERCO
2058-01-01 08:00:00,43794.61,ERCO
2058-01-01 09:00:00,44080.64,ERCO
2058-01-01 10:00:00,44961.85,ERCO
2058-01-01 11:00:00,46125.72,ERCO
2058-01-01 12:00:00,47226.16,ERCO
2058-01-01 13:00:00,48347.6,ERCO
2058-01-01 14:00:00,49760.07,ERCO
2058-01-01 15:00:00,51913.54,ERCO
2058-01-01 16:00:00,52412.49,ERCO
2058-01-01 17:00:00,51948.36,ERCO
2058-01-01 18:00:00,51173.7,ERCO
2058-01-01 19:00:00,49865.59,ERCO
2058-01-01 20:00:00,48418.37,ERCO
2058-01-01 21:00:00,47137.4,ERCO
2058-01-01 22:00:00,45908.38,ERCO
2058-01-01 23:00:00,45470.5,ERCO
2058-01-02 00:00:00,51840.59,ERCO
2058-01-02 01:00:00,52393.04,ERCO
2058-01-02 02:00:00,53073.56,ERCO
2058-01-02 03:00:00,52161.48,ERCO
2058-01-02 04:00:00,50960.96,ERCO
2058-01-02 05:00:00,49698.21,ERCO
2058-01-02 06:00:00,48489.23,ERCO
2058-01-02 07:00:00,47798.68,ERCO
2058-01-02 08:00:00,47916.79,ERCO
2058-01-02 09:00:00,48095.73,ERCO
2058-01-02 10:00:00,48816.66,ERCO
2058-01-02 11:00:00,49819.92,ERCO
2058-01-02 12:00:00,50978.7,ERCO
2058-01-02 13:00:00,52349.55,ERCO
2058-01-02 14:00:00,53674.64,ERCO
2058-01-02 15:00:00,54489.67,ERCO
2058-01-02 16:00:00,55111.61,ERCO
2058-01-02 17:00:00,54869.17,ERCO
2058-01-02 18:00:00,54337.6,ERCO
2058-01-02 19:00:00,53692.61,ERCO
2058-01-02 20:00:00,52645.21,ERCO
2058-01-02 21:00:00,51140.25,ERCO
2058-01-02 22:00:00,49726.77,ERCO
2058-01-02 23:00:00,49189.61,ERCO
2058-01-03 00:00:00,51145.33,ERCO
2058-01-03 01:00:00,52060.76,ERCO
2058-01-03 02:00:00,52645.11,ERCO
2058-01-03 03:00:00,51536.47,ERCO
2058-01-03 04:00:00,50292.71,ERCO
2058-01-03 05:00:00,49020.25,ERCO
2058-01-03 06:00:00,47833.57,ERCO
2058-01-03 07:00:00,47789.68,ERCO
2058-01-03 08:00:00,48187.45,ERCO
2058-01-03 09:00:00,48689.98,ERCO
2058-01-03 10:00:00,49792.6,ERCO
2058-01-03 11:00:00,50877.0,ERCO
2058-01-03 12:00:00,51895.78,ERCO
2058-01-03 13:00:00,53030.9,ERCO
