Time_UTC,Load,BA
2058-01-01 00:00:00,1994.64,FMPP
2058-01-01 01:00:00,1900.05,FMPP
2058-01-01 02:00:00,1819.61,FMPP
2058-01-01 03:00:00,1739.46,FMPP
2058-01-01 04:00:00,1644.45,FMPP
2058-01-01 05:00:00,1542.26,FMPP
2058-01-01 06:00:00,1452.79,FMPP
2058-01-01 07:00:00,1379.61,FMPP
2058-01-01 08:00:00,1350.01,FMPP
2058-01-01 09:00:00,1383.76,FMPP
2058-01-01 10:00:00,1433.15,FMPP
2058-01-01 11:00:00,1480.78,FMPP
2058-01-01 12:00:00,1521.18,FMPP
2058-01-01 13:00:00,1611.24,FMPP
2058-01-01 14:00:00,1689.1,FMPP
2058-01-01 15:00:00,1767.92,FMPP
2058-01-01 16:00:00,1845.53,FMPP
2058-01-01 17:00:00,1918.67,FMPP
2058-01-01 18:00:00,1952.08,FMPP
2058-01-01 19:00:00,1954.84,FMPP
2058-01-01 20:00:00,1960.98,FMPP
2058-01-01 21:00:00,1990.54,FMPP
2058-01-01 22:00:00,2047.86,FMPP
2058-01-01 23:00:00,2128.38,FMPP
2058-01-02 00:00:00,2326.05,FMPP
2058-01-02 01:00:00,2231.96,FMPP
2058-01-02 02:00:00,2131.33,FMPP
2058-01-02 03:00:00,2028.31,FMPP
2058-01-02 04:00:00,1930.13,FMPP
2058-01-02 05:00:00,1839.07,FMPP
2058-01-02 06:00:00,1745.29,FMPP
2058-01-02 07:00:00,1678.15,FMPP
2058-01-02 08:00:00,1697.17,FMPP
2058-01-02 09:00:00,1754.85,FMPP
2058-01-02 10:00:00,1822.05,FMPP
2058-01-02 11:00:00,1863.88,FMPP
2058-01-02 12:00:00,1897.89,FMPP
2058-01-02 13:00:00,1952.06,FMPP
2058-01-02 14:00:00,2026.56,FMPP
2058-01-02 15:00:00,2062.24,FMPP
2058-01-02 16:00:00,2097.34,FMPP
2058-01-02 17:00:00,2111.57,FMPP
2058-01-02 18:00:00,2125.2,FMPP
2058-01-02 19:00:00,2151.16,FMPP
2058-01-02 20:00:00,2153.59,FMPP
2058-01-02 21:00:00,2153.2,FMPP
2058-01-02 22:00:00,2172.91,FMPP
2058-01-02 23:00:00,2189.98,FMPP
2058-01-03 00:00:00,2286.15,FMPP
2058-01-03 01:00:00,2166.94,FMPP
2058-01-03 02:00:00,2045.97,FMPP
2058-01-03 03:00:00,1917.38,FMPP
2058-01-03 04:00:00,1793.3,FMPP
2058-01-03 05:00:00,1672.69,FMPP
2058-01-03 06:00:00,1551.99,FMPP
2058-01-03 07:00:00,1432.51,FMPP
2058-01-03 08:00:00,1405.23,FMPP
2058-01-03 09:00:00,1442.41,FMPP
2058-01-03 10:00:00,1484.44,FMPP
2058-01-03 11:00:00,1535.7,FMPP
2058-01-03 12:00:00,1609.52,FMPP
2058-01-03 13:00:00,1700.96,FMPP
2058-01-03 14:00:00,1863.07,FMPP
2058-01-03 15:00:00,1956.17,FMPP
2058-01-03 16:00:00,2082.26,FMPP
2058-01-03 17:00:00,2256.62,FMPP
2058-01-03 18:00:00,2383.74,FMPP
2058-01-03 19:00:00,2412.42,FMPP
2058-01-03 20:00:00,2346.72,FMPP
2058-01-03 21:00:00,2247.91,FMPP
2058-01-03 22:00:00,2213.65,FMPP
2058-01-03 23:00:00,2224.55,FMPP
2058-01-04 00:00:00,2451.53,FMPP
2058-01-04 01:00:00,2371.27,FMPP
2058-01-04 02:00:00,2303.4,FMPP
2058-01-04 03:00:00,2243.66,FMPP
2058-01-04 04:00:00,2185.99,FMPP
2058-01-04 05:00:00,2144.67,FMPP
2058-01-04 06:00:00,2132.03,FMPP
2058-01-04 07:00:00,2156.04,FMPP
2058-01-04 08:00:00,2271.76,FMPP
2058-01-04 09:00:00,2400.97,FMPP
2058-01-04 10:00:00,2522.3,FMPP
2058-01-04 11:00:00,2618.59,FMPP
2058-01-04 12:00:00,2700.59,FMPP
2058-01-04 13:00:00,2841.21,FMPP
2058-01-04 14:00:00,2843.28,FMPP
2058-01-04 15:00:00,2738.41,FMPP
2058-01-04 16:00:00,2655.68,FMPP
2058-01-04 17:00:00,2561.21,FMPP
2058-01-04 18:00:00,2442.47,FMPP
2058-01-04 19:00:00,2330.16,FMPP
2058-01-04 20:00:00,2190.22,FMPP
2058-01-04 21:00:00,2091.57,FMPP
2058-01-04 22:00:00,2061.2,FMPP
2058-01-04 23:00:00,2193.12,FMPP
2058-01-05 00:00:00,2420.84,FMPP
2058-01-05 01:00:00,2390.5,FMPP
2058-01-05 02:00:00,2353.2,FMPP
2058-01-05 03:00:00,2295.61,FMPP
2058-01-05 04:00:00,2245.49,FMPP
2058-01-05 05:00:00,2209.41,FMPP
