Time_UTC,Load,BA
2058-01-01 00:00:00,12414.91,FPL
2058-01-01 01:00:00,11768.75,FPL
2058-01-01 02:00:00,11154.12,FPL
2058-01-01 03:00:00,10553.35,FPL
2058-01-01 04:00:00,9864.82,FPL
2058-01-01 05:00:00,9161.91,FPL
2058-01-01 06:00:00,8532.27,FPL
2058-01-01 07:00:00,7982.95,FPL
2058-01-01 08:00:00,7601.89,FPL
2058-01-01 09:00:00,7691.86,FPL
2058-01-01 10:00:00,8036.2,FPL
2058-01-01 11:00:00,8423.98,FPL
2058-01-01 12:00:00,8785.88,FPL
2058-01-01 13:00:00,9633.53,FPL
2058-01-01 14:00:00,10306.2,FPL
2058-01-01 15:00:00,11070.51,FPL
2058-01-01 16:00:00,11832.76,FPL
2058-01-01 17:00:00,12399.11,FPL
2058-01-01 18:00:00,12915.29,FPL
2058-01-01 19:00:00,13226.33,FPL
2058-01-01 20:00:00,13391.57,FPL
2058-01-01 21:00:00,13322.74,FPL
2058-01-01 22:00:00,13160.93,FPL
2058-01-01 23:00:00,13178.22,FPL
2058-01-02 00:00:00,13820.32,FPL
2058-01-02 01:00:00,13109.24,FPL
2058-01-02 02:00:00,12416.02,FPL
2058-01-02 03:00:00,11776.44,FPL
2058-01-02 04:00:00,10913.96,FPL
2058-01-02 05:00:00,10004.45,FPL
2058-01-02 06:00:00,9305.15,FPL
2058-01-02 07:00:00,9000.9,FPL
2058-01-02 08:00:00,8934.21,FPL
2058-01-02 09:00:00,9269.68,FPL
2058-01-02 10:00:00,9731.55,FPL
2058-01-02 11:00:00,10178.16,FPL
2058-01-02 12:00:00,10540.46,FPL
2058-01-02 13:00:00,10967.4,FPL
2058-01-02 14:00:00,11416.34,FPL
2058-01-02 15:00:00,11732.39,FPL
2058-01-02 16:00:00,12207.14,FPL
2058-01-02 17:00:00,12478.38,FPL
2058-01-02 18:00:00,12681.63,FPL
2058-01-02 19:00:00,12909.74,FPL
2058-01-02 20:00:00,13103.18,FPL
2058-01-02 21:00:00,13216.49,FPL
2058-01-02 22:00:00,13303.15,FPL
2058-01-02 23:00:00,13454.76,FPL
2058-01-03 00:00:00,13495.13,FPL
2058-01-03 01:00:00,12877.97,FPL
2058-01-03 02:00:00,12271.66,FPL
2058-01-03 03:00:00,11693.37,FPL
2058-01-03 04:00:00,10889.9,FPL
2058-01-03 05:00:00,9996.2,FPL
2058-01-03 06:00:00,9176.49,FPL
2058-01-03 07:00:00,8709.95,FPL
2058-01-03 08:00:00,8595.68,FPL
2058-01-03 09:00:00,8761.45,FPL
2058-01-03 10:00:00,9045.62,FPL
2058-01-03 11:00:00,9428.52,FPL
2058-01-03 12:00:00,9837.38,FPL
2058-01-03 13:00:00,10406.13,FPL
2058-01-03 14:00:00,11278.12,FPL
2058-01-03 15:00:00,12022.58,FPL
