Time_UTC,Load,BA
2058-01-01 00:00:00,204.32,GVL
2058-01-01 01:00:00,200.81,GVL
2058-01-01 02:00:00,197.87,GVL
2058-01-01 03:00:00,187.58,GVL
2058-01-01 04:00:00,172.87,GVL
2058-01-01 05:00:00,159.37,GVL
2058-01-01 06:00:00,149.15,GVL
2058-01-01 07:00:00,145.54,GVL
2058-01-01 08:00:00,144.81,GVL
2058-01-01 09:00:00,148.66,GVL
2058-01-01 10:00:00,159.01,GVL
2058-01-01 11:00:00,174.43,GVL
2058-01-01 12:00:00,191.05,GVL
2058-01-01 13:00:00,203.58,GVL
2058-01-01 14:00:00,221.77,GVL
2058-01-01 15:00:00,235.38,GVL
2058-01-01 16:00:00,247.11,GVL
2058-01-01 17:00:00,257.66,GVL
2058-01-01 18:00:00,263.2,GVL
2058-01-01 19:00:00,262.67,GVL
2058-01-01 20:00:00,266.16,GVL
2058-01-01 21:00:00,266.67,GVL
2058-01-01 22:00:00,266.14,GVL
2058-01-01 23:00:00,265.62,GVL
2058-01-02 00:00:00,303.47,GVL
2058-01-02 01:00:00,295.78,GVL
2058-01-02 02:00:00,294.01,GVL
2058-01-02 03:00:00,287.89,GVL
2058-01-02 04:00:00,282.21,GVL
2058-01-02 05:00:00,277.22,GVL
2058-01-02 06:00:00,275.29,GVL
2058-01-02 07:00:00,277.18,GVL
2058-01-02 08:00:00,278.13,GVL
2058-01-02 09:00:00,279.23,GVL
2058-01-02 10:00:00,283.61,GVL
2058-01-02 11:00:00,287.2,GVL
2058-01-02 12:00:00,293.52,GVL
2058-01-02 13:00:00,302.42,GVL
2058-01-02 14:00:00,308.13,GVL
2058-01-02 15:00:00,312.61,GVL
2058-01-02 16:00:00,316.91,GVL
2058-01-02 17:00:00,306.75,GVL
2058-01-02 18:00:00,294.35,GVL
2058-01-02 19:00:00,290.2,GVL
2058-01-02 20:00:00,286.23,GVL
2058-01-02 21:00:00,285.56,GVL
2058-01-02 22:00:00,288.55,GVL
2058-01-02 23:00:00,290.89,GVL
2058-01-03 00:00:00,291.68,GVL
2058-01-03 01:00:00,285.64,GVL
2058-01-03 02:00:00,280.07,GVL
2058-01-03 03:00:00,271.16,GVL
2058-01-03 04:00:00,256.76,GVL
2058-01-03 05:00:00,244.65,GVL
2058-01-03 06:00:00,234.29,GVL
2058-01-03 07:00:00,225.23,GVL
2058-01-03 08:00:00,224.03,GVL
2058-01-03 09:00:00,238.14,GVL
2058-01-03 10:00:00,246.53,GVL
2058-01-03 11:00:00,258.68,GVL
2058-01-03 12:00:00,280.23,GVL
2058-01-03 13:00:00,292.42,GVL
2058-01-03 14:00:00,295.3,GVL
2058-01-03 15:00:00,300.32,GVL
2058-01-03 16:00:00,292.39,GVL
2058-01-03 17:00:00,302.16,GVL
2058-01-03 18:00:00,283.01,GVL
2058-01-03 19:00:00,280.77,GVL
2058-01-03 20:00:00,257.14,GVL
2058-01-03 21:00:00,247.3,GVL
2058-01-03 22:00:00,253.84,GVL
2058-01-03 23:00:00,269.97,GVL
2058-01-04 00:00:00,284.05,GVL
2058-01-04 01:00:00,291.93,GVL
2058-01-04 02:00:00,302.06,GVL
2058-01-04 03:00:00,304.05,GVL
2058-01-04 04:00:00,294.54,GVL
2058-01-04 05:00:00,278.17,GVL
2058-01-04 06:00:00,268.77,GVL
2058-01-04 07:00:00,259.58,GVL
2058-01-04 08:00:00,262.41,GVL
2058-01-04 09:00:00,275.14,GVL
2058-01-04 10:00:00,282.37,GVL
2058-01-04 11:00:00,292.17,GVL
2058-01-04 12:00:00,304.58,GVL
