Time_UTC,Load,BA
2058-01-01 00:00:00,57.12,HST
2058-01-01 01:00:00,55.92,HST
2058-01-01 02:00:00,55.6,HST
2058-01-01 03:00:00,51.97,HST
2058-01-01 04:00:00,46.77,HST
2058-01-01 05:00:00,42.08,HST
2058-01-01 06:00:00,38.12,HST
2058-01-01 07:00:00,35.66,HST
2058-01-01 08:00:00,34.0,HST
2058-01-01 09:00:00,33.36,HST
2058-01-01 10:00:00,33.74,HST
2058-01-01 11:00:00,34.31,HST
2058-01-01 12:00:00,35.37,HST
2058-01-01 13:00:00,36.53,HST
2058-01-01 14:00:00,40.42,HST
2058-01-01 15:00:00,47.93,HST
2058-01-01 16:00:00,54.27,HST
2058-01-01 17:00:00,56.75,HST
2058-01-01 18:00:00,59.77,HST
2058-01-01 19:00:00,62.81,HST
2058-01-01 20:00:00,65.63,HST
2058-01-01 21:00:00,68.01,HST
2058-01-01 22:00:00,69.23,HST
2058-01-01 23:00:00,65.09,HST
2058-01-02 00:00:00,73.58,HST
2058-01-02 01:00:00,70.53,HST
2058-01-02 02:00:00,65.11,HST
2058-01-02 03:00:00,57.17,HST
2058-01-02 04:00:00,50.32,HST
2058-01-02 05:00:00,43.85,HST
2058-01-02 06:00:00,39.56,HST
2058-01-02 07:00:00,37.83,HST
2058-01-02 08:00:00,37.51,HST
2058-01-02 09:00:00,37.04,HST
2058-01-02 10:00:00,36.86,HST
2058-01-02 11:00:00,37.14,HST
2058-01-02 12:00:00,37.97,HST
2058-01-02 13:00:00,39.23,HST
2058-01-02 14:00:00,40.35,HST
2058-01-02 15:00:00,41.91,HST
2058-01-02 16:00:00,43.61,HST
2058-01-02 17:00:00,45.55,HST
2058-01-02 18:00:00,47.05,HST
2058-01-02 19:00:00,47.76,HST
2058-01-02 20:00:00,49.25,HST
2058-01-02 21:00:00,50.46,HST
2058-01-02 22:00:00,52.25,HST
2058-01-02 23:00:00,54.82,HST
2058-01-03 00:00:00,62.51,HST
2058-01-03 01:00:00,61.9,HST
2058-01-03 02:00:00,61.14,HST
2058-01-03 03:00:00,56.72,HST
2058-01-03 04:00:00,51.27,HST
2058-01-03 05:00:00,45.47,HST
2058-01-03 06:00:00,41.8,HST
2058-01-03 07:00:00,39.79,HST
2058-01-03 08:00:00,39.47,HST
2058-01-03 09:00:00,39.54,HST
2058-01-03 10:00:00,39.8,HST
