Time_UTC,Load,BA
2058-01-01 00:00:00,281.01,IID
2058-01-01 01:00:00,297.9,IID
2058-01-01 02:00:00,313.54,IID
2058-01-01 03:00:00,323.43,IID
2058-01-01 04:00:00,319.19,IID
2058-01-01 05:00:00,307.41,IID
2058-01-01 06:00:00,288.01,IID
2058-01-01 07:00:00,269.79,IID
2058-01-01 08:00:00,262.03,IID
2058-01-01 09:00:00,258.09,IID
2058-01-01 10:00:00,256.3,IID
2058-01-01 11:00:00,252.4,IID
2058-01-01 12:00:00,256.03,IID
2058-01-01 13:00:00,261.71,IID
2058-01-01 14:00:00,266.82,IID
2058-01-01 15:00:00,273.21,IID
2058-01-01 16:00:00,288.38,IID
2058-01-01 17:00:00,295.04,IID
2058-01-01 18:00:00,304.27,IID
2058-01-01 19:00:00,311.73,IID
2058-01-01 20:00:00,322.57,IID
2058-01-01 21:00:00,337.55,IID
2058-01-01 22:00:00,344.44,IID
2058-01-01 23:00:00,338.81,IID
2058-01-02 00:00:00,304.59,IID
2058-01-02 01:00:00,322.27,IID
2058-01-02 02:00:00,323.98,IID
2058-01-02 03:00:00,331.81,IID
2058-01-02 04:00:00,337.83,IID
2058-01-02 05:00:00,324.32,IID
2058-01-02 06:00:00,305.07,IID
2058-01-02 07:00:00,277.13,IID
2058-01-02 08:00:00,246.77,IID
2058-01-02 09:00:00,231.09,IID
2058-01-02 10:00:00,230.4,IID
2058-01-02 11:00:00,234.14,IID
2058-01-02 12:00:00,237.84,IID
2058-01-02 13:00:00,240.82,IID
2058-01-02 14:00:00,245.14,IID
2058-01-02 15:00:00,249.58,IID
2058-01-02 16:00:00,263.56,IID
2058-01-02 17:00:00,277.49,IID
2058-01-02 18:00:00,283.95,IID
2058-01-02 19:00:00,305.13,IID
2058-01-02 20:00:00,332.14,IID
2058-01-02 21:00:00,350.58,IID
2058-01-02 22:00:00,351.3,IID
2058-01-02 23:00:00,345.32,IID
2058-01-03 00:00:00,347.77,IID
