Time_UTC,Load,BA
2058-01-01 00:00:00,3032.13,LDWP
2058-01-01 01:00:00,3175.55,LDWP
2058-01-01 02:00:00,3267.9,LDWP
2058-01-01 03:00:00,3339.89,LDWP
2058-01-01 04:00:00,3407.84,LDWP
2058-01-01 05:00:00,3306.08,LDWP
2058-01-01 06:00:00,3149.31,LDWP
2058-01-01 07:00:00,2976.24,LDWP
2058-01-01 08:00:00,2801.39,LDWP
2058-01-01 09:00:00,2638.86,LDWP
2058-01-01 10:00:00,2514.97,LDWP
2058-01-01 11:00:00,2457.47,LDWP
2058-01-01 12:00:00,2445.53,LDWP
2058-01-01 13:00:00,2453.03,LDWP
2058-01-01 14:00:00,2487.12,LDWP
2058-01-01 15:00:00,2542.42,LDWP
2058-01-01 16:00:00,2760.84,LDWP
2058-01-01 17:00:00,2834.15,LDWP
2058-01-01 18:00:00,2939.0,LDWP
2058-01-01 19:00:00,3001.35,LDWP
2058-01-01 20:00:00,3064.01,LDWP
2058-01-01 21:00:00,3151.39,LDWP
2058-01-01 22:00:00,3247.87,LDWP
2058-01-01 23:00:00,3311.27,LDWP
2058-01-02 00:00:00,3470.63,LDWP
2058-01-02 01:00:00,3494.13,LDWP
2058-01-02 02:00:00,3491.16,LDWP
2058-01-02 03:00:00,3506.86,LDWP
2058-01-02 04:00:00,3517.24,LDWP
2058-01-02 05:00:00,3388.89,LDWP
2058-01-02 06:00:00,3176.46,LDWP
2058-01-02 07:00:00,2950.59,LDWP
2058-01-02 08:00:00,2735.41,LDWP
2058-01-02 09:00:00,2535.18,LDWP
2058-01-02 10:00:00,2419.24,LDWP
2058-01-02 11:00:00,2393.72,LDWP
2058-01-02 12:00:00,2423.0,LDWP
2058-01-02 13:00:00,2485.45,LDWP
2058-01-02 14:00:00,2549.5,LDWP
2058-01-02 15:00:00,2620.53,LDWP
2058-01-02 16:00:00,2887.6,LDWP
2058-01-02 17:00:00,3108.81,LDWP
2058-01-02 18:00:00,3235.72,LDWP
2058-01-02 19:00:00,3357.42,LDWP
2058-01-02 20:00:00,3460.19,LDWP
2058-01-02 21:00:00,3539.82,LDWP
2058-01-02 22:00:00,3614.93,LDWP
2058-01-02 23:00:00,3700.29,LDWP
2058-01-03 00:00:00,3554.12,LDWP
2058-01-03 01:00:00,3546.48,LDWP
2058-01-03 02:00:00,3513.18,LDWP
2058-01-03 03:00:00,3516.34,LDWP
2058-01-03 04:00:00,3522.28,LDWP
2058-01-03 05:00:00,3444.81,LDWP
2058-01-03 06:00:00,3217.6,LDWP
2058-01-03 07:00:00,3002.8,LDWP
2058-01-03 08:00:00,2780.3,LDWP
2058-01-03 09:00:00,2571.48,LDWP
2058-01-03 10:00:00,2434.1,LDWP
2058-01-03 11:00:00,2410.31,LDWP
2058-01-03 12:00:00,2434.23,LDWP
2058-01-03 13:00:00,2494.17,LDWP
2058-01-03 14:00:00,2564.26,LDWP
2058-01-03 15:00:00,2631.3,LDWP
2058-01-03 16:00:00,2979.24,LDWP
2058-01-03 17:00:00,3132.84,LDWP
2058-01-03 18:00:00,3273.18,LDWP
2058-01-03 19:00:00,3371.86,LDWP
2058-01-03 20:00:00,3458.0,LDWP
2058-01-03 21:00:00,3553.89,LDWP
2058-01-03 22:00:00,3625.31,LDWP
2058-01-03 23:00:00,3642.03,LDWP
2058-01-04 00:00:00,3628.28,LDWP
2058-01-04 01:00:00,3591.77,LDWP
2058-01-04 02:00:00,3572.53,LDWP
2058-01-04 03:00:00,3532.49,LDWP
2058-01-04 04:00:00,3501.4,LDWP
2058-01-04 05:00:00,3392.87,LDWP
2058-01-04 06:00:00,3171.51,LDWP
2058-01-04 07:00:00,2939.85,LDWP
2058-01-04 08:00:00,2731.91,LDWP
2058-01-04 09:00:00,2540.91,LDWP
2058-01-04 10:00:00,2427.51,LDWP
2058-01-04 11:00:00,2411.04,LDWP
2058-01-04 12:00:00,2444.26,LDWP
2058-01-04 13:00:00,2517.15,LDWP
2058-01-04 14:00:00,2594.51,LDWP
2058-01-04 15:00:00,2670.33,LDWP
2058-01-04 16:00:00,2960.62,LDWP
2058-01-04 17:00:00,3087.27,LDWP
2058-01-04 18:00:00,3209.34,LDWP
2058-01-04 19:00:00,3327.23,LDWP
2058-01-04 20:00:00,3423.05,LDWP
2058-01-04 21:00:00,3513.04,LDWP
2058-01-04 22:00:00,3603.43,LDWP
2058-01-04 23:00:00,3681.92,LDWP
2058-01-05 00:00:00,3296.06,LDWP
2058-01-05 01:00:00,3316.89,LDWP
2058-01-05 02:00:00,3368.05,LDWP
2058-01-05 03:00:00,3358.79,LDWP
2058-01-05 04:00:00,3332.84,LDWP
2058-01-05 05:00:00,3235.24,LDWP
2058-01-05 06:00:00,3063.94,LDWP
2058-01-05 07:00:00,2898.44,LDWP
2058-01-05 08:00:00,2719.49,LDWP
2058-01-05 09:00:00,2568.8,LDWP
2058-01-05 10:00:00,2458.12,LDWP
2058-01-05 11:00:00,2382.52,LDWP
2058-01-05 12:00:00,2346.06,LDWP
2058-01-05 13:00:00,2343.01,LDWP
2058-01-05 14:00:00,2360.7,LDWP
2058-01-05 15:00:00,2386.25,LDWP
2058-01-05 16:00:00,2490.47,LDWP
2058-01-05 17:00:00,2607.28,LDWP
2058-01-05 18:00:00,2653.54,LDWP
2058-01-05 19:00:00,2724.93,LDWP
2058-01-05 20:00:00,2803.86,LDWP
2058-01-05 21:00:00,2873.28,LDWP
2058-01-05 22:00:00,2931.12,LDWP
2058-01-05 23:00:00,2959.56,LDWP
2058-01-06 00:00:00,3254.94,LDWP
2058-01-06 01:00:00,3298.44,LDWP
2058-01-06 02:00:00,3355.12,LDWP
2058-01-06 03:00:00,3384.59,LDWP
2058-01-06 04:00:00,3345.18,LDWP
2058-01-06 05:00:00,3264.81,LDWP
2058-01-06 06:00:00,3082.92,LDWP
2058-01-06 07:00:00,2891.08,LDWP
2058-01-06 08:00:00,2718.52,LDWP
2058-01-06 09:00:00,2546.54,LDWP
2058-01-06 10:00:00,2427.43,LDWP
2058-01-06 11:00:00,2366.45,LDWP
2058-01-06 12:00:00,2317.49,LDWP
2058-01-06 13:00:00,2316.59,LDWP
2058-01-06 14:00:00,2360.48,LDWP
2058-01-06 15:00:00,2403.57,LDWP
2058-01-06 16:00:00,2471.58,LDWP
2058-01-06 17:00:00,2617.51,LDWP
2058-01-06 18:00:00,2730.56,LDWP
2058-01-06 19:00:00,2835.71,LDWP
2058-01-06 20:00:00,2909.81,LDWP
2058-01-06 21:00:00,2963.0,LDWP
2058-01-06 22:00:00,3017.06,LDWP
2058-01-06 23:00:00,3062.49,LDWP
2058-01-07 00:00:00,3508.39,LDWP
2058-01-07 01:00:00,3601.34,LDWP
2058-01-07 02:00:00,3582.04,LDWP
2058-01-07 03:00:00,3617.01,LDWP
2058-01-07 04:00:00,3634.24,LDWP
2058-01-07 05:00:00,3542.56,LDWP
2058-01-07 06:00:00,3309.79,LDWP
2058-01-07 07:00:00,3061.22,LDWP
2058-01-07 08:00:00,2839.43,LDWP
2058-01-07 09:00:00,2665.2,LDWP
2058-01-07 10:00:00,2566.11,LDWP
2058-01-07 11:00:00,2523.88,LDWP
2058-01-07 12:00:00,2546.15,LDWP
2058-01-07 13:00:00,2589.63,LDWP
2058-01-07 14:00:00,2650.09,LDWP
2058-01-07 15:00:00,2720.62,LDWP
2058-01-07 16:00:00,2992.07,LDWP
2058-01-07 17:00:00,3088.76,LDWP
2058-01-07 18:00:00,3193.06,LDWP
