Time_UTC,Load,BA
2058-01-01 00:00:00,22282.83,NYIS
2058-01-01 01:00:00,21911.0,NYIS
2058-01-01 02:00:00,21539.37,NYIS
2058-01-01 03:00:00,20869.49,NYIS
2058-01-01 04:00:00,20149.63,NYIS
2058-01-01 05:00:00,19406.09,NYIS
2058-01-01 06:00:00,18628.36,NYIS
2058-01-01 07:00:00,17940.52,NYIS
2058-01-01 08:00:00,17648.63,NYIS
2058-01-01 09:00:00,17752.04,NYIS
2058-01-01 10:00:00,18061.35,NYIS
2058-01-01 11:00:00,18539.2,NYIS
2058-01-01 12:00:00,19042.87,NYIS
2058-01-01 13:00:00,20371.26,NYIS
2058-01-01 14:00:00,21070.64,NYIS
2058-01-01 15:00:00,21113.55,NYIS
2058-01-01 16:00:00,20868.66,NYIS
2058-01-01 17:00:00,20784.87,NYIS
2058-01-01 18:00:00,20767.28,NYIS
2058-01-01 19:00:00,20770.43,NYIS
2058-01-01 20:00:00,20843.81,NYIS
2058-01-01 21:00:00,21168.03,NYIS
2058-01-01 22:00:00,21444.22,NYIS
2058-01-01 23:00:00,22008.91,NYIS
2058-01-02 00:00:00,23258.95,NYIS
2058-01-02 01:00:00,22685.87,NYIS
2058-01-02 02:00:00,21899.51,NYIS
2058-01-02 03:00:00,20846.63,NYIS
2058-01-02 04:00:00,19824.94,NYIS
2058-01-02 05:00:00,18854.83,NYIS
2058-01-02 06:00:00,17934.92,NYIS
2058-01-02 07:00:00,17087.96,NYIS
2058-01-02 08:00:00,16728.13,NYIS
2058-01-02 09:00:00,16933.37,NYIS
2058-01-02 10:00:00,17597.31,NYIS
2058-01-02 11:00:00,18271.1,NYIS
2058-01-02 12:00:00,18974.22,NYIS
2058-01-02 13:00:00,20983.02,NYIS
2058-01-02 14:00:00,21563.15,NYIS
2058-01-02 15:00:00,21519.67,NYIS
2058-01-02 16:00:00,21256.8,NYIS
2058-01-02 17:00:00,21004.75,NYIS
2058-01-02 18:00:00,20797.72,NYIS
2058-01-02 19:00:00,20630.23,NYIS
2058-01-02 20:00:00,20686.35,NYIS
2058-01-02 21:00:00,20923.62,NYIS
2058-01-02 22:00:00,21540.85,NYIS
2058-01-02 23:00:00,21896.36,NYIS
2058-01-03 00:00:00,22711.49,NYIS
2058-01-03 01:00:00,22140.94,NYIS
2058-01-03 02:00:00,21495.58,NYIS
2058-01-03 03:00:00,20481.44,NYIS
2058-01-03 04:00:00,19436.24,NYIS
2058-01-03 05:00:00,18472.99,NYIS
2058-01-03 06:00:00,17576.84,NYIS
2058-01-03 07:00:00,16821.41,NYIS
2058-01-03 08:00:00,16564.94,NYIS
2058-01-03 09:00:00,16785.96,NYIS
2058-01-03 10:00:00,17493.6,NYIS
2058-01-03 11:00:00,18248.61,NYIS
2058-01-03 12:00:00,19045.29,NYIS
2058-01-03 13:00:00,20709.88,NYIS
2058-01-03 14:00:00,21272.21,NYIS
2058-01-03 15:00:00,21108.86,NYIS
2058-01-03 16:00:00,20768.14,NYIS
2058-01-03 17:00:00,20407.99,NYIS
2058-01-03 18:00:00,20100.96,NYIS
2058-01-03 19:00:00,19970.17,NYIS
2058-01-03 20:00:00,19974.22,NYIS
2058-01-03 21:00:00,20398.12,NYIS
2058-01-03 22:00:00,21354.52,NYIS
2058-01-03 23:00:00,21886.29,NYIS
2058-01-04 00:00:00,22133.17,NYIS
2058-01-04 01:00:00,21484.82,NYIS
2058-01-04 02:00:00,20907.28,NYIS
2058-01-04 03:00:00,20029.5,NYIS
2058-01-04 04:00:00,18916.18,NYIS
2058-01-04 05:00:00,17821.73,NYIS
2058-01-04 06:00:00,16775.17,NYIS
2058-01-04 07:00:00,16009.99,NYIS
2058-01-04 08:00:00,15683.5,NYIS
2058-01-04 09:00:00,16140.6,NYIS
2058-01-04 10:00:00,16721.35,NYIS
2058-01-04 11:00:00,17418.02,NYIS
2058-01-04 12:00:00,17864.72,NYIS
2058-01-04 13:00:00,19246.83,NYIS
2058-01-04 14:00:00,20778.59,NYIS
2058-01-04 15:00:00,21201.13,NYIS
2058-01-04 16:00:00,21614.95,NYIS
2058-01-04 17:00:00,21832.2,NYIS
2058-01-04 18:00:00,21853.78,NYIS
2058-01-04 19:00:00,21834.01,NYIS
2058-01-04 20:00:00,21871.52,NYIS
2058-01-04 21:00:00,21974.87,NYIS
2058-01-04 22:00:00,22039.63,NYIS
2058-01-04 23:00:00,22221.18,NYIS
2058-01-05 00:00:00,21305.38,NYIS
2058-01-05 01:00:00,20818.91,NYIS
2058-01-05 02:00:00,20460.47,NYIS
2058-01-05 03:00:00,19627.56,NYIS
2058-01-05 04:00:00,18671.56,NYIS
2058-01-05 05:00:00,17747.12,NYIS
2058-01-05 06:00:00,17227.34,NYIS
2058-01-05 07:00:00,16663.46,NYIS
2058-01-05 08:00:00,16272.03,NYIS
2058-01-05 09:00:00,16282.62,NYIS
2058-01-05 10:00:00,16560.99,NYIS
2058-01-05 11:00:00,16962.94,NYIS
2058-01-05 12:00:00,17421.47,NYIS
