Time_UTC,Load,BA
2058-01-01 00:00:00,109912.78,PJM
2058-01-01 01:00:00,108183.81,PJM
2058-01-01 02:00:00,106350.9,PJM
2058-01-01 03:00:00,104449.03,PJM
2058-01-01 04:00:00,102648.56,PJM
2058-01-01 05:00:00,100469.09,PJM
2058-01-01 06:00:00,98139.2,PJM
2058-01-01 07:00:00,96570.56,PJM
2058-01-01 08:00:00,96123.25,PJM
2058-01-01 09:00:00,96852.14,PJM
2058-01-01 10:00:00,98827.21,PJM
2058-01-01 11:00:00,101169.26,PJM
2058-01-01 12:00:00,103043.99,PJM
2058-01-01 13:00:00,106998.56,PJM
2058-01-01 14:00:00,106099.09,PJM
2058-01-01 15:00:00,102850.03,PJM
2058-01-01 16:00:00,100884.78,PJM
2058-01-01 17:00:00,99303.92,PJM
2058-01-01 18:00:00,98602.37,PJM
2058-01-01 19:00:00,98261.54,PJM
2058-01-01 20:00:00,97878.44,PJM
2058-01-01 21:00:00,98199.49,PJM
2058-01-01 22:00:00,100914.62,PJM
2058-01-01 23:00:00,104935.38,PJM
2058-01-02 00:00:00,119473.31,PJM
2058-01-02 01:00:00,116253.67,PJM
2058-01-02 02:00:00,113047.31,PJM
2058-01-02 03:00:00,110073.02,PJM
2058-01-02 04:00:00,107073.5,PJM
2058-01-02 05:00:00,104063.72,PJM
2058-01-02 06:00:00,101381.95,PJM
2058-01-02 07:00:00,98938.0,PJM
2058-01-02 08:00:00,98457.37,PJM
2058-01-02 09:00:00,100449.73,PJM
2058-01-02 10:00:00,103544.53,PJM
2058-01-02 11:00:00,106848.88,PJM
2058-01-02 12:00:00,110110.24,PJM
2058-01-02 13:00:00,115954.7,PJM
2058-01-02 14:00:00,117572.98,PJM
2058-01-02 15:00:00,113572.0,PJM
2058-01-02 16:00:00,109838.35,PJM
2058-01-02 17:00:00,106401.27,PJM
2058-01-02 18:00:00,103764.2,PJM
2058-01-02 19:00:00,101710.87,PJM
2058-01-02 20:00:00,100778.43,PJM
2058-01-02 21:00:00,101553.38,PJM
2058-01-02 22:00:00,105909.96,PJM
2058-01-02 23:00:00,109414.87,PJM
2058-01-03 00:00:00,117434.87,PJM
2058-01-03 01:00:00,114630.43,PJM
2058-01-03 02:00:00,111675.28,PJM
2058-01-03 03:00:00,108796.87,PJM
2058-01-03 04:00:00,105790.82,PJM
2058-01-03 05:00:00,102932.77,PJM
2058-01-03 06:00:00,100208.28,PJM
2058-01-03 07:00:00,97848.03,PJM
2058-01-03 08:00:00,98214.3,PJM
2058-01-03 09:00:00,100370.55,PJM
2058-01-03 10:00:00,103275.06,PJM
2058-01-03 11:00:00,106380.8,PJM
2058-01-03 12:00:00,110019.94,PJM
2058-01-03 13:00:00,114955.05,PJM
2058-01-03 14:00:00,115337.41,PJM
2058-01-03 15:00:00,110425.87,PJM
2058-01-03 16:00:00,105260.72,PJM
2058-01-03 17:00:00,101266.21,PJM
2058-01-03 18:00:00,98472.13,PJM
2058-01-03 19:00:00,96860.32,PJM
2058-01-03 20:00:00,96318.48,PJM
2058-01-03 21:00:00,98040.12,PJM
2058-01-03 22:00:00,103808.69,PJM
2058-01-03 23:00:00,107094.09,PJM
2058-01-04 00:00:00,114695.84,PJM
2058-01-04 01:00:00,112341.83,PJM
2058-01-04 02:00:00,109327.07,PJM
2058-01-04 03:00:00,106102.41,PJM
2058-01-04 04:00:00,102950.81,PJM
2058-01-04 05:00:00,99662.24,PJM
2058-01-04 06:00:00,96484.68,PJM
2058-01-04 07:00:00,93500.35,PJM
2058-01-04 08:00:00,91631.96,PJM
2058-01-04 09:00:00,92943.39,PJM
2058-01-04 10:00:00,95273.16,PJM
2058-01-04 11:00:00,98134.53,PJM
2058-01-04 12:00:00,100537.88,PJM
2058-01-04 13:00:00,104662.8,PJM
2058-01-04 14:00:00,108935.88,PJM
2058-01-04 15:00:00,107144.11,PJM
2058-01-04 16:00:00,104991.26,PJM
2058-01-04 17:00:00,103697.18,PJM
2058-01-04 18:00:00,102908.71,PJM
2058-01-04 19:00:00,103180.82,PJM
2058-01-04 20:00:00,103201.46,PJM
2058-01-04 21:00:00,103796.44,PJM
2058-01-04 22:00:00,105888.16,PJM
2058-01-04 23:00:00,109274.16,PJM
2058-01-05 00:00:00,112526.61,PJM
2058-01-05 01:00:00,111153.73,PJM
2058-01-05 02:00:00,109052.72,PJM
2058-01-05 03:00:00,106639.14,PJM
2058-01-05 04:00:00,104407.89,PJM
2058-01-05 05:00:00,102174.2,PJM
2058-01-05 06:00:00,100560.67,PJM
2058-01-05 07:00:00,99888.4,PJM
2058-01-05 08:00:00,99195.45,PJM
2058-01-05 09:00:00,99407.28,PJM
2058-01-05 10:00:00,100859.66,PJM
2058-01-05 11:00:00,102749.23,PJM
2058-01-05 12:00:00,104762.64,PJM
2058-01-05 13:00:00,107459.05,PJM
2058-01-05 14:00:00,109163.91,PJM
2058-01-05 15:00:00,106583.15,PJM
2058-01-05 16:00:00,103965.83,PJM
2058-01-05 17:00:00,102157.55,PJM
2058-01-05 18:00:00,100895.28,PJM
2058-01-05 19:00:00,99742.11,PJM
2058-01-05 20:00:00,98762.81,PJM
2058-01-05 21:00:00,99515.73,PJM
2058-01-05 22:00:00,102519.65,PJM
2058-01-05 23:00:00,106156.6,PJM
2058-01-06 00:00:00,117242.7,PJM
2058-01-06 01:00:00,115317.64,PJM
2058-01-06 02:00:00,113253.81,PJM
2058-01-06 03:00:00,110848.53,PJM
2058-01-06 04:00:00,108307.0,PJM
2058-01-06 05:00:00,106093.48,PJM
2058-01-06 06:00:00,104177.15,PJM
2058-01-06 07:00:00,102538.03,PJM
2058-01-06 08:00:00,101861.9,PJM
2058-01-06 09:00:00,102102.57,PJM
2058-01-06 10:00:00,103297.34,PJM
2058-01-06 11:00:00,105203.97,PJM
2058-01-06 12:00:00,107387.05,PJM
2058-01-06 13:00:00,110270.72,PJM
2058-01-06 14:00:00,110550.98,PJM
2058-01-06 15:00:00,107109.83,PJM
2058-01-06 16:00:00,104185.96,PJM
2058-01-06 17:00:00,102221.56,PJM
2058-01-06 18:00:00,100643.83,PJM
2058-01-06 19:00:00,99528.24,PJM
2058-01-06 20:00:00,98894.88,PJM
2058-01-06 21:00:00,99324.7,PJM
2058-01-06 22:00:00,103046.52,PJM
2058-01-06 23:00:00,107460.8,PJM
2058-01-07 00:00:00,122892.96,PJM
2058-01-07 01:00:00,120424.53,PJM
2058-01-07 02:00:00,117753.86,PJM
2058-01-07 03:00:00,115016.07,PJM
2058-01-07 04:00:00,111943.46,PJM
2058-01-07 05:00:00,109029.18,PJM
2058-01-07 06:00:00,106604.28,PJM
2058-01-07 07:00:00,104905.02,PJM
2058-01-07 08:00:00,105132.52,PJM
2058-01-07 09:00:00,107258.24,PJM
2058-01-07 10:00:00,110203.17,PJM
2058-01-07 11:00:00,113649.62,PJM
2058-01-07 12:00:00,116897.79,PJM
2058-01-07 13:00:00,120955.46,PJM
2058-01-07 14:00:00,120712.39,PJM
2058-01-07 15:00:00,115159.9,PJM
2058-01-07 16:00:00,111329.44,PJM
2058-01-07 17:00:00,108746.24,PJM
2058-01-07 18:00:00,106429.26,PJM
2058-01-07 19:00:00,104295.8,PJM
2058-01-07 20:00:00,102975.82,PJM
2058-01-07 21:00:00,103450.1,PJM
2058-01-07 22:00:00,107486.39,PJM
2058-01-07 23:00:00,110403.76,PJM
2058-01-08 00:00:00,117301.51,PJM
2058-01-08 01:00:00,114061.17,PJM
2058-01-08 02:00:00,110338.73,PJM
2058-01-08 03:00:00,106203.88,PJM
2058-01-08 04:00:00,102072.75,PJM
2058-01-08 05:00:00,98108.67,PJM
2058-01-08 06:00:00,94281.52,PJM
2058-01-08 07:00:00,90635.75,PJM
2058-01-08 08:00:00,88933.17,PJM
2058-01-08 09:00:00,90624.28,PJM
2058-01-08 10:00:00,92931.44,PJM
2058-01-08 11:00:00,95191.28,PJM
