Time_UTC,Load,BA
2058-01-01 00:00:00,1463.89,PNM
2058-01-01 01:00:00,1569.69,PNM
2058-01-01 02:00:00,1665.49,PNM
2058-01-01 03:00:00,1669.36,PNM
2058-01-01 04:00:00,1639.03,PNM
2058-01-01 05:00:00,1576.99,PNM
2058-01-01 06:00:00,1517.8,PNM
2058-01-01 07:00:00,1466.3,PNM
2058-01-01 08:00:00,1414.97,PNM
2058-01-01 09:00:00,1391.41,PNM
2058-01-01 10:00:00,1406.17,PNM
2058-01-01 11:00:00,1430.7,PNM
2058-01-01 12:00:00,1458.6,PNM
2058-01-01 13:00:00,1488.89,PNM
2058-01-01 14:00:00,1516.32,PNM
2058-01-01 15:00:00,1577.98,PNM
2058-01-01 16:00:00,1589.75,PNM
2058-01-01 17:00:00,1562.47,PNM
2058-01-01 18:00:00,1522.95,PNM
2058-01-01 19:00:00,1485.42,PNM
2058-01-01 20:00:00,1450.24,PNM
2058-01-01 21:00:00,1426.89,PNM
2058-01-01 22:00:00,1411.96,PNM
2058-01-01 23:00:00,1416.6,PNM
2058-01-02 00:00:00,1563.92,PNM
2058-01-02 01:00:00,1651.92,PNM
2058-01-02 02:00:00,1728.87,PNM
2058-01-02 03:00:00,1776.59,PNM
2058-01-02 04:00:00,1735.11,PNM
2058-01-02 05:00:00,1648.99,PNM
2058-01-02 06:00:00,1563.86,PNM
2058-01-02 07:00:00,1480.87,PNM
2058-01-02 08:00:00,1424.0,PNM
2058-01-02 09:00:00,1391.47,PNM
2058-01-02 10:00:00,1415.4,PNM
2058-01-02 11:00:00,1456.38,PNM
2058-01-02 12:00:00,1497.34,PNM
2058-01-02 13:00:00,1538.51,PNM
2058-01-02 14:00:00,1581.52,PNM
2058-01-02 15:00:00,1664.74,PNM
2058-01-02 16:00:00,1636.53,PNM
2058-01-02 17:00:00,1578.25,PNM
2058-01-02 18:00:00,1526.21,PNM
2058-01-02 19:00:00,1492.89,PNM
2058-01-02 20:00:00,1459.71,PNM
2058-01-02 21:00:00,1434.63,PNM
2058-01-02 22:00:00,1425.18,PNM
2058-01-02 23:00:00,1450.45,PNM
2058-01-03 00:00:00,1528.81,PNM
2058-01-03 01:00:00,1630.35,PNM
2058-01-03 02:00:00,1721.88,PNM
2058-01-03 03:00:00,1776.07,PNM
2058-01-03 04:00:00,1740.98,PNM
2058-01-03 05:00:00,1659.74,PNM
2058-01-03 06:00:00,1578.26,PNM
2058-01-03 07:00:00,1497.5,PNM
2058-01-03 08:00:00,1434.03,PNM
2058-01-03 09:00:00,1401.33,PNM
2058-01-03 10:00:00,1428.13,PNM
2058-01-03 11:00:00,1472.28,PNM
2058-01-03 12:00:00,1512.58,PNM
2058-01-03 13:00:00,1555.98,PNM
2058-01-03 14:00:00,1598.84,PNM
2058-01-03 15:00:00,1687.53,PNM
2058-01-03 16:00:00,1641.72,PNM
2058-01-03 17:00:00,1584.51,PNM
2058-01-03 18:00:00,1539.15,PNM
2058-01-03 19:00:00,1503.35,PNM
2058-01-03 20:00:00,1481.99,PNM
2058-01-03 21:00:00,1466.83,PNM
2058-01-03 22:00:00,1456.37,PNM
2058-01-03 23:00:00,1484.45,PNM
2058-01-04 00:00:00,1541.89,PNM
2058-01-04 01:00:00,1636.44,PNM
2058-01-04 02:00:00,1715.92,PNM
2058-01-04 03:00:00,1762.81,PNM
2058-01-04 04:00:00,1731.82,PNM
2058-01-04 05:00:00,1649.54,PNM
2058-01-04 06:00:00,1565.17,PNM
2058-01-04 07:00:00,1486.04,PNM
2058-01-04 08:00:00,1429.98,PNM
2058-01-04 09:00:00,1405.4,PNM
2058-01-04 10:00:00,1423.78,PNM
2058-01-04 11:00:00,1448.24,PNM
2058-01-04 12:00:00,1474.82,PNM
2058-01-04 13:00:00,1510.69,PNM
2058-01-04 14:00:00,1542.13,PNM
2058-01-04 15:00:00,1595.67,PNM
2058-01-04 16:00:00,1603.09,PNM
2058-01-04 17:00:00,1596.09,PNM
2058-01-04 18:00:00,1579.34,PNM
2058-01-04 19:00:00,1548.87,PNM
2058-01-04 20:00:00,1525.8,PNM
2058-01-04 21:00:00,1509.5,PNM
2058-01-04 22:00:00,1517.82,PNM
2058-01-04 23:00:00,1540.81,PNM
2058-01-05 00:00:00,1512.41,PNM
2058-01-05 01:00:00,1614.23,PNM
2058-01-05 02:00:00,1685.17,PNM
2058-01-05 03:00:00,1735.16,PNM
2058-01-05 04:00:00,1700.5,PNM
2058-01-05 05:00:00,1627.67,PNM
2058-01-05 06:00:00,1558.91,PNM
2058-01-05 07:00:00,1495.66,PNM
2058-01-05 08:00:00,1447.36,PNM
2058-01-05 09:00:00,1413.24,PNM
2058-01-05 10:00:00,1403.84,PNM
2058-01-05 11:00:00,1416.02,PNM
2058-01-05 12:00:00,1438.38,PNM
2058-01-05 13:00:00,1451.8,PNM
2058-01-05 14:00:00,1484.99,PNM
2058-01-05 15:00:00,1515.99,PNM
2058-01-05 16:00:00,1515.0,PNM
2058-01-05 17:00:00,1503.1,PNM
2058-01-05 18:00:00,1481.43,PNM
2058-01-05 19:00:00,1463.84,PNM
2058-01-05 20:00:00,1446.45,PNM
2058-01-05 21:00:00,1435.45,PNM
2058-01-05 22:00:00,1421.45,PNM
2058-01-05 23:00:00,1423.07,PNM
2058-01-06 00:00:00,1485.32,PNM
2058-01-06 01:00:00,1581.94,PNM
2058-01-06 02:00:00,1651.1,PNM
2058-01-06 03:00:00,1709.07,PNM
2058-01-06 04:00:00,1670.5,PNM
2058-01-06 05:00:00,1596.75,PNM
2058-01-06 06:00:00,1524.43,PNM
2058-01-06 07:00:00,1458.53,PNM
2058-01-06 08:00:00,1412.39,PNM
2058-01-06 09:00:00,1377.27,PNM
2058-01-06 10:00:00,1361.57,PNM
2058-01-06 11:00:00,1371.43,PNM
2058-01-06 12:00:00,1391.52,PNM
2058-01-06 13:00:00,1418.83,PNM
2058-01-06 14:00:00,1444.64,PNM
2058-01-06 15:00:00,1476.18,PNM
2058-01-06 16:00:00,1489.44,PNM
2058-01-06 17:00:00,1481.43,PNM
2058-01-06 18:00:00,1479.07,PNM
2058-01-06 19:00:00,1471.34,PNM
2058-01-06 20:00:00,1461.53,PNM
2058-01-06 21:00:00,1437.33,PNM
2058-01-06 22:00:00,1425.14,PNM
2058-01-06 23:00:00,1428.44,PNM
2058-01-07 00:00:00,1511.07,PNM
2058-01-07 01:00:00,1588.24,PNM
2058-01-07 02:00:00,1652.89,PNM
2058-01-07 03:00:00,1715.51,PNM
2058-01-07 04:00:00,1665.99,PNM
2058-01-07 05:00:00,1578.01,PNM
2058-01-07 06:00:00,1489.97,PNM
2058-01-07 07:00:00,1409.97,PNM
2058-01-07 08:00:00,1357.45,PNM
2058-01-07 09:00:00,1337.33,PNM
2058-01-07 10:00:00,1334.84,PNM
2058-01-07 11:00:00,1359.11,PNM
2058-01-07 12:00:00,1396.81,PNM
2058-01-07 13:00:00,1429.36,PNM
2058-01-07 14:00:00,1454.7,PNM
2058-01-07 15:00:00,1523.7,PNM
2058-01-07 16:00:00,1526.94,PNM
2058-01-07 17:00:00,1518.69,PNM
2058-01-07 18:00:00,1490.93,PNM
2058-01-07 19:00:00,1471.05,PNM
2058-01-07 20:00:00,1456.16,PNM
2058-01-07 21:00:00,1438.9,PNM
2058-01-07 22:00:00,1431.5,PNM
2058-01-07 23:00:00,1430.66,PNM
2058-01-08 00:00:00,1543.13,PNM
2058-01-08 01:00:00,1624.49,PNM
2058-01-08 02:00:00,1692.67,PNM
2058-01-08 03:00:00,1746.07,PNM
2058-01-08 04:00:00,1696.27,PNM
2058-01-08 05:00:00,1610.38,PNM
2058-01-08 06:00:00,1526.33,PNM
2058-01-08 07:00:00,1442.08,PNM
2058-01-08 08:00:00,1381.31,PNM
2058-01-08 09:00:00,1359.62,PNM
2058-01-08 10:00:00,1367.32,PNM
2058-01-08 11:00:00,1405.4,PNM
2058-01-08 12:00:00,1445.03,PNM
2058-01-08 13:00:00,1485.08,PNM
2058-01-08 14:00:00,1528.42,PNM
2058-01-08 15:00:00,1605.47,PNM
2058-01-08 16:00:00,1592.55,PNM
2058-01-08 17:00:00,1556.45,PNM
2058-01-08 18:00:00,1543.64,PNM
2058-01-08 19:00:00,1512.08,PNM
2058-01-08 20:00:00,1502.28,PNM
2058-01-08 21:00:00,1482.77,PNM
2058-01-08 22:00:00,1472.09,PNM
2058-01-08 23:00:00,1496.09,PNM
2058-01-09 00:00:00,1519.42,PNM
2058-01-09 01:00:00,1597.95,PNM
2058-01-09 02:00:00,1663.63,PNM
2058-01-09 03:00:00,1719.01,PNM
2058-01-09 04:00:00,1668.27,PNM
2058-01-09 05:00:00,1580.54,PNM
2058-01-09 06:00:00,1491.52,PNM
2058-01-09 07:00:00,1408.65,PNM
2058-01-09 08:00:00,1350.24,PNM
2058-01-09 09:00:00,1329.68,PNM
2058-01-09 10:00:00,1329.23,PNM
2058-01-09 11:00:00,1354.3,PNM
2058-01-09 12:00:00,1389.84,PNM
2058-01-09 13:00:00,1425.41,PNM
2058-01-09 14:00:00,1462.76,PNM
2058-01-09 15:00:00,1527.03,PNM
2058-01-09 16:00:00,1537.4,PNM
2058-01-09 17:00:00,1527.05,PNM
2058-01-09 18:00:00,1512.05,PNM
2058-01-09 19:00:00,1505.29,PNM
2058-01-09 20:00:00,1504.48,PNM
2058-01-09 21:00:00,1543.74,PNM
2058-01-09 22:00:00,1558.06,PNM
2058-01-09 23:00:00,1555.13,PNM
2058-01-10 00:00:00,1535.72,PNM
2058-01-10 01:00:00,1608.7,PNM
2058-01-10 02:00:00,1668.82,PNM
2058-01-10 03:00:00,1722.52,PNM
2058-01-10 04:00:00,1659.73,PNM
2058-01-10 05:00:00,1569.1,PNM
2058-01-10 06:00:00,1478.15,PNM
2058-01-10 07:00:00,1391.53,PNM
2058-01-10 08:00:00,1336.2,PNM
2058-01-10 09:00:00,1320.36,PNM
2058-01-10 10:00:00,1328.35,PNM
2058-01-10 11:00:00,1353.55,PNM
2058-01-10 12:00:00,1384.41,PNM
2058-01-10 13:00:00,1406.55,PNM
2058-01-10 14:00:00,1448.37,PNM
2058-01-10 15:00:00,1516.45,PNM
2058-01-10 16:00:00,1540.59,PNM
2058-01-10 17:00:00,1553.26,PNM
2058-01-10 18:00:00,1529.85,PNM
2058-01-10 19:00:00,1536.1,PNM
2058-01-10 20:00:00,1545.58,PNM
2058-01-10 21:00:00,1553.35,PNM
2058-01-10 22:00:00,1530.32,PNM
2058-01-10 23:00:00,1534.96,PNM
2058-01-11 00:00:00,1584.63,PNM
2058-01-11 01:00:00,1667.01,PNM
2058-01-11 02:00:00,1731.77,PNM
2058-01-11 03:00:00,1775.01,PNM
2058-01-11 04:00:00,1725.43,PNM
2058-01-11 05:00:00,1636.65,PNM
2058-01-11 06:00:00,1549.13,PNM
2058-01-11 07:00:00,1469.53,PNM
2058-01-11 08:00:00,1411.1,PNM
2058-01-11 09:00:00,1371.87,PNM
2058-01-11 10:00:00,1366.87,PNM
2058-01-11 11:00:00,1374.0,PNM
2058-01-11 12:00:00,1405.74,PNM
