Time_UTC,Load,BA
2058-01-01 00:00:00,2537.34,SRP
2058-01-01 01:00:00,2743.19,SRP
2058-01-01 02:00:00,2824.87,SRP
2058-01-01 03:00:00,2894.28,SRP
2058-01-01 04:00:00,2809.98,SRP
2058-01-01 05:00:00,2709.75,SRP
2058-01-01 06:00:00,2593.88,SRP
2058-01-01 07:00:00,2480.69,SRP
2058-01-01 08:00:00,2386.12,SRP
2058-01-01 09:00:00,2315.5,SRP
2058-01-01 10:00:00,2287.92,SRP
2058-01-01 11:00:00,2331.5,SRP
2058-01-01 12:00:00,2382.19,SRP
2058-01-01 13:00:00,2451.48,SRP
2058-01-01 14:00:00,2511.8,SRP
2058-01-01 15:00:00,2595.83,SRP
2058-01-01 16:00:00,2738.09,SRP
2058-01-01 17:00:00,2738.46,SRP
2058-01-01 18:00:00,2740.67,SRP
2058-01-01 19:00:00,2754.14,SRP
2058-01-01 20:00:00,2779.84,SRP
2058-01-01 21:00:00,2804.16,SRP
2058-01-01 22:00:00,2872.34,SRP
2058-01-01 23:00:00,2870.31,SRP
2058-01-02 00:00:00,2687.4,SRP
2058-01-02 01:00:00,2863.89,SRP
2058-01-02 02:00:00,2880.74,SRP
2058-01-02 03:00:00,2912.7,SRP
2058-01-02 04:00:00,2961.14,SRP
2058-01-02 05:00:00,2790.4,SRP
2058-01-02 06:00:00,2617.55,SRP
2058-01-02 07:00:00,2481.72,SRP
2058-01-02 08:00:00,2350.56,SRP
2058-01-02 09:00:00,2225.77,SRP
2058-01-02 10:00:00,2236.27,SRP
2058-01-02 11:00:00,2323.01,SRP
2058-01-02 12:00:00,2419.13,SRP
2058-01-02 13:00:00,2507.6,SRP
2058-01-02 14:00:00,2608.89,SRP
2058-01-02 15:00:00,2695.92,SRP
2058-01-02 16:00:00,2743.72,SRP
2058-01-02 17:00:00,2678.85,SRP
2058-01-02 18:00:00,2629.67,SRP
2058-01-02 19:00:00,2622.46,SRP
2058-01-02 20:00:00,2639.2,SRP
2058-01-02 21:00:00,2671.41,SRP
2058-01-02 22:00:00,2702.21,SRP
2058-01-02 23:00:00,2767.65,SRP
2058-01-03 00:00:00,2643.22,SRP
2058-01-03 01:00:00,2888.68,SRP
2058-01-03 02:00:00,2900.61,SRP
2058-01-03 03:00:00,2921.21,SRP
2058-01-03 04:00:00,2970.26,SRP
2058-01-03 05:00:00,2800.92,SRP
2058-01-03 06:00:00,2602.6,SRP
2058-01-03 07:00:00,2448.44,SRP
2058-01-03 08:00:00,2305.19,SRP
2058-01-03 09:00:00,2219.39,SRP
2058-01-03 10:00:00,2206.07,SRP
2058-01-03 11:00:00,2250.92,SRP
2058-01-03 12:00:00,2332.84,SRP
2058-01-03 13:00:00,2430.63,SRP
2058-01-03 14:00:00,2531.61,SRP
2058-01-03 15:00:00,2629.05,SRP
2058-01-03 16:00:00,2634.77,SRP
2058-01-03 17:00:00,2571.77,SRP
2058-01-03 18:00:00,2555.35,SRP
2058-01-03 19:00:00,2610.7,SRP
2058-01-03 20:00:00,2667.04,SRP
2058-01-03 21:00:00,2748.05,SRP
2058-01-03 22:00:00,2822.68,SRP
2058-01-03 23:00:00,2872.18,SRP
2058-01-04 00:00:00,2640.79,SRP
2058-01-04 01:00:00,2747.52,SRP
2058-01-04 02:00:00,2787.61,SRP
2058-01-04 03:00:00,2843.75,SRP
2058-01-04 04:00:00,2889.43,SRP
2058-01-04 05:00:00,2783.79,SRP
2058-01-04 06:00:00,2621.76,SRP
2058-01-04 07:00:00,2456.48,SRP
2058-01-04 08:00:00,2349.32,SRP
2058-01-04 09:00:00,2285.3,SRP
2058-01-04 10:00:00,2263.46,SRP
2058-01-04 11:00:00,2287.56,SRP
2058-01-04 12:00:00,2355.07,SRP
2058-01-04 13:00:00,2440.19,SRP
2058-01-04 14:00:00,2539.61,SRP
2058-01-04 15:00:00,2641.95,SRP
2058-01-04 16:00:00,2670.8,SRP
2058-01-04 17:00:00,2695.72,SRP
2058-01-04 18:00:00,2717.06,SRP
2058-01-04 19:00:00,2720.12,SRP
2058-01-04 20:00:00,2692.2,SRP
2058-01-04 21:00:00,2673.48,SRP
2058-01-04 22:00:00,2701.6,SRP
2058-01-04 23:00:00,2806.79,SRP
2058-01-05 00:00:00,2700.43,SRP
2058-01-05 01:00:00,2931.11,SRP
2058-01-05 02:00:00,2850.84,SRP
2058-01-05 03:00:00,2792.24,SRP
2058-01-05 04:00:00,2731.08,SRP
2058-01-05 05:00:00,2621.99,SRP
2058-01-05 06:00:00,2507.75,SRP
2058-01-05 07:00:00,2408.26,SRP
2058-01-05 08:00:00,2318.16,SRP
2058-01-05 09:00:00,2226.23,SRP
2058-01-05 10:00:00,2190.77,SRP
2058-01-05 11:00:00,2180.49,SRP
2058-01-05 12:00:00,2199.26,SRP
2058-01-05 13:00:00,2247.83,SRP
2058-01-05 14:00:00,2312.76,SRP
2058-01-05 15:00:00,2409.89,SRP
2058-01-05 16:00:00,2466.65,SRP
2058-01-05 17:00:00,2495.77,SRP
2058-01-05 18:00:00,2525.21,SRP
2058-01-05 19:00:00,2581.18,SRP
2058-01-05 20:00:00,2644.97,SRP
2058-01-05 21:00:00,2694.73,SRP
2058-01-05 22:00:00,2727.12,SRP
2058-01-05 23:00:00,2741.68,SRP
2058-01-06 00:00:00,2833.54,SRP
2058-01-06 01:00:00,2953.86,SRP
2058-01-06 02:00:00,2859.97,SRP
2058-01-06 03:00:00,2800.93,SRP
2058-01-06 04:00:00,2742.59,SRP
2058-01-06 05:00:00,2626.82,SRP
2058-01-06 06:00:00,2523.93,SRP
2058-01-06 07:00:00,2414.72,SRP
2058-01-06 08:00:00,2309.36,SRP
2058-01-06 09:00:00,2227.78,SRP
2058-01-06 10:00:00,2184.77,SRP
2058-01-06 11:00:00,2175.47,SRP
2058-01-06 12:00:00,2189.46,SRP
2058-01-06 13:00:00,2226.42,SRP
2058-01-06 14:00:00,2287.96,SRP
2058-01-06 15:00:00,2369.48,SRP
2058-01-06 16:00:00,2466.79,SRP
2058-01-06 17:00:00,2520.0,SRP
2058-01-06 18:00:00,2533.29,SRP
2058-01-06 19:00:00,2578.5,SRP
2058-01-06 20:00:00,2659.26,SRP
2058-01-06 21:00:00,2740.14,SRP
2058-01-06 22:00:00,2773.59,SRP
