Time_UTC,Load,BA
2058-01-01 00:00:00,306.96,TAL
2058-01-01 01:00:00,303.39,TAL
2058-01-01 02:00:00,301.38,TAL
2058-01-01 03:00:00,290.54,TAL
2058-01-01 04:00:00,273.41,TAL
2058-01-01 05:00:00,259.67,TAL
2058-01-01 06:00:00,247.66,TAL
2058-01-01 07:00:00,242.28,TAL
2058-01-01 08:00:00,240.31,TAL
2058-01-01 09:00:00,253.04,TAL
2058-01-01 10:00:00,267.62,TAL
2058-01-01 11:00:00,282.58,TAL
2058-01-01 12:00:00,296.89,TAL
2058-01-01 13:00:00,314.67,TAL
2058-01-01 14:00:00,336.21,TAL
2058-01-01 15:00:00,358.59,TAL
2058-01-01 16:00:00,376.85,TAL
2058-01-01 17:00:00,362.23,TAL
2058-01-01 18:00:00,355.18,TAL
2058-01-01 19:00:00,347.72,TAL
2058-01-01 20:00:00,338.08,TAL
2058-01-01 21:00:00,332.34,TAL
2058-01-01 22:00:00,328.34,TAL
2058-01-01 23:00:00,332.56,TAL
2058-01-02 00:00:00,395.25,TAL
2058-01-02 01:00:00,394.48,TAL
2058-01-02 02:00:00,392.78,TAL
2058-01-02 03:00:00,386.59,TAL
2058-01-02 04:00:00,381.51,TAL
2058-01-02 05:00:00,373.79,TAL
2058-01-02 06:00:00,366.56,TAL
2058-01-02 07:00:00,365.06,TAL
2058-01-02 08:00:00,374.97,TAL
2058-01-02 09:00:00,388.45,TAL
2058-01-02 10:00:00,401.32,TAL
2058-01-02 11:00:00,414.13,TAL
2058-01-02 12:00:00,428.03,TAL
2058-01-02 13:00:00,456.76,TAL
2058-01-02 14:00:00,483.92,TAL
2058-01-02 15:00:00,470.43,TAL
2058-01-02 16:00:00,451.27,TAL
2058-01-02 17:00:00,427.43,TAL
2058-01-02 18:00:00,402.63,TAL
2058-01-02 19:00:00,380.2,TAL
2058-01-02 20:00:00,360.46,TAL
2058-01-02 21:00:00,352.24,TAL
2058-01-02 22:00:00,357.57,TAL
2058-01-02 23:00:00,371.33,TAL
2058-01-03 00:00:00,434.23,TAL
2058-01-03 01:00:00,439.47,TAL
2058-01-03 02:00:00,442.65,TAL
2058-01-03 03:00:00,424.81,TAL
2058-01-03 04:00:00,411.53,TAL
2058-01-03 05:00:00,396.66,TAL
2058-01-03 06:00:00,373.96,TAL
2058-01-03 07:00:00,372.19,TAL
2058-01-03 08:00:00,370.67,TAL
2058-01-03 09:00:00,371.57,TAL
2058-01-03 10:00:00,378.0,TAL
2058-01-03 11:00:00,384.63,TAL
2058-01-03 12:00:00,393.02,TAL
2058-01-03 13:00:00,398.43,TAL
2058-01-03 14:00:00,424.86,TAL
2058-01-03 15:00:00,436.59,TAL
2058-01-03 16:00:00,424.69,TAL
2058-01-03 17:00:00,393.05,TAL
2058-01-03 18:00:00,360.92,TAL
2058-01-03 19:00:00,340.33,TAL
2058-01-03 20:00:00,327.07,TAL
2058-01-03 21:00:00,318.07,TAL
2058-01-03 22:00:00,324.18,TAL
2058-01-03 23:00:00,332.41,TAL
2058-01-04 00:00:00,389.53,TAL
2058-01-04 01:00:00,390.58,TAL
2058-01-04 02:00:00,393.3,TAL
2058-01-04 03:00:00,391.06,TAL
2058-01-04 04:00:00,376.81,TAL
2058-01-04 05:00:00,363.68,TAL
2058-01-04 06:00:00,356.96,TAL
2058-01-04 07:00:00,357.56,TAL
2058-01-04 08:00:00,369.17,TAL
2058-01-04 09:00:00,386.11,TAL
2058-01-04 10:00:00,406.7,TAL
2058-01-04 11:00:00,430.53,TAL
2058-01-04 12:00:00,449.69,TAL
2058-01-04 13:00:00,487.4,TAL
2058-01-04 14:00:00,464.44,TAL
2058-01-04 15:00:00,418.94,TAL
2058-01-04 16:00:00,388.72,TAL
2058-01-04 17:00:00,366.88,TAL
2058-01-04 18:00:00,351.01,TAL
2058-01-04 19:00:00,337.5,TAL
2058-01-04 20:00:00,325.69,TAL
2058-01-04 21:00:00,320.29,TAL
2058-01-04 22:00:00,329.67,TAL
2058-01-04 23:00:00,353.68,TAL
2058-01-05 00:00:00,403.55,TAL
2058-01-05 01:00:00,408.78,TAL
2058-01-05 02:00:00,414.65,TAL
2058-01-05 03:00:00,408.87,TAL
2058-01-05 04:00:00,402.01,TAL
2058-01-05 05:00:00,391.91,TAL
2058-01-05 06:00:00,397.24,TAL
2058-01-05 07:00:00,414.0,TAL
2058-01-05 08:00:00,435.52,TAL
2058-01-05 09:00:00,451.12,TAL
2058-01-05 10:00:00,459.41,TAL
2058-01-05 11:00:00,457.62,TAL
2058-01-05 12:00:00,456.89,TAL
2058-01-05 13:00:00,457.95,TAL
2058-01-05 14:00:00,439.74,TAL
2058-01-05 15:00:00,411.98,TAL
2058-01-05 16:00:00,397.25,TAL
2058-01-05 17:00:00,387.46,TAL
2058-01-05 18:00:00,374.29,TAL
2058-01-05 19:00:00,361.75,TAL
2058-01-05 20:00:00,335.97,TAL
2058-01-05 21:00:00,314.78,TAL
2058-01-05 22:00:00,318.05,TAL
2058-01-05 23:00:00,327.73,TAL
2058-01-06 00:00:00,382.0,TAL
2058-01-06 01:00:00,387.2,TAL
2058-01-06 02:00:00,387.83,TAL
2058-01-06 03:00:00,379.0,TAL
2058-01-06 04:00:00,371.02,TAL
2058-01-06 05:00:00,365.31,TAL
2058-01-06 06:00:00,360.71,TAL
2058-01-06 07:00:00,369.56,TAL
2058-01-06 08:00:00,371.64,TAL
2058-01-06 09:00:00,386.04,TAL
2058-01-06 10:00:00,397.79,TAL
2058-01-06 11:00:00,407.44,TAL
2058-01-06 12:00:00,415.97,TAL
2058-01-06 13:00:00,422.98,TAL
2058-01-06 14:00:00,396.25,TAL
2058-01-06 15:00:00,370.95,TAL
2058-01-06 16:00:00,350.09,TAL
2058-01-06 17:00:00,331.54,TAL
2058-01-06 18:00:00,317.23,TAL
2058-01-06 19:00:00,307.09,TAL
2058-01-06 20:00:00,296.41,TAL
2058-01-06 21:00:00,288.76,TAL
2058-01-06 22:00:00,290.84,TAL
2058-01-06 23:00:00,304.3,TAL
2058-01-07 00:00:00,369.06,TAL
2058-01-07 01:00:00,369.64,TAL
2058-01-07 02:00:00,366.84,TAL
2058-01-07 03:00:00,356.54,TAL
2058-01-07 04:00:00,344.87,TAL
2058-01-07 05:00:00,336.73,TAL
2058-01-07 06:00:00,337.84,TAL
2058-01-07 07:00:00,339.64,TAL
2058-01-07 08:00:00,352.89,TAL
2058-01-07 09:00:00,371.26,TAL
2058-01-07 10:00:00,384.15,TAL
2058-01-07 11:00:00,400.09,TAL
2058-01-07 12:00:00,402.48,TAL
2058-01-07 13:00:00,420.76,TAL
2058-01-07 14:00:00,403.7,TAL
2058-01-07 15:00:00,369.41,TAL
2058-01-07 16:00:00,345.3,TAL
2058-01-07 17:00:00,327.82,TAL
2058-01-07 18:00:00,315.69,TAL
2058-01-07 19:00:00,307.17,TAL
2058-01-07 20:00:00,299.05,TAL
2058-01-07 21:00:00,300.25,TAL
2058-01-07 22:00:00,303.72,TAL
2058-01-07 23:00:00,305.33,TAL
2058-01-08 00:00:00,350.21,TAL
2058-01-08 01:00:00,341.52,TAL
2058-01-08 02:00:00,335.18,TAL
2058-01-08 03:00:00,318.59,TAL
2058-01-08 04:00:00,302.85,TAL
2058-01-08 05:00:00,291.31,TAL
2058-01-08 06:00:00,279.53,TAL
2058-01-08 07:00:00,274.44,TAL
2058-01-08 08:00:00,284.54,TAL
2058-01-08 09:00:00,294.84,TAL
2058-01-08 10:00:00,299.85,TAL
2058-01-08 11:00:00,311.71,TAL
2058-01-08 12:00:00,313.42,TAL
2058-01-08 13:00:00,337.7,TAL
2058-01-08 14:00:00,348.0,TAL
2058-01-08 15:00:00,334.35,TAL
2058-01-08 16:00:00,315.21,TAL
2058-01-08 17:00:00,296.39,TAL
2058-01-08 18:00:00,287.19,TAL
2058-01-08 19:00:00,289.25,TAL
2058-01-08 20:00:00,296.04,TAL
2058-01-08 21:00:00,297.33,TAL
2058-01-08 22:00:00,292.7,TAL
2058-01-08 23:00:00,280.15,TAL
2058-01-09 00:00:00,329.32,TAL
2058-01-09 01:00:00,319.98,TAL
2058-01-09 02:00:00,310.68,TAL
2058-01-09 03:00:00,289.8,TAL
2058-01-09 04:00:00,270.86,TAL
2058-01-09 05:00:00,248.95,TAL
2058-01-09 06:00:00,231.75,TAL
2058-01-09 07:00:00,217.83,TAL
2058-01-09 08:00:00,211.39,TAL
2058-01-09 09:00:00,219.13,TAL
2058-01-09 10:00:00,228.07,TAL
2058-01-09 11:00:00,236.36,TAL
2058-01-09 12:00:00,244.5,TAL
2058-01-09 13:00:00,256.43,TAL
2058-01-09 14:00:00,279.59,TAL
2058-01-09 15:00:00,282.6,TAL
2058-01-09 16:00:00,285.92,TAL
2058-01-09 17:00:00,290.86,TAL
2058-01-09 18:00:00,301.24,TAL
2058-01-09 19:00:00,311.2,TAL
2058-01-09 20:00:00,302.21,TAL
2058-01-09 21:00:00,296.67,TAL
2058-01-09 22:00:00,291.69,TAL
2058-01-09 23:00:00,285.69,TAL
2058-01-10 00:00:00,317.3,TAL
2058-01-10 01:00:00,310.05,TAL
2058-01-10 02:00:00,303.44,TAL
2058-01-10 03:00:00,285.81,TAL
2058-01-10 04:00:00,264.08,TAL
2058-01-10 05:00:00,242.91,TAL
2058-01-10 06:00:00,224.81,TAL
2058-01-10 07:00:00,209.95,TAL
2058-01-10 08:00:00,202.49,TAL
2058-01-10 09:00:00,211.1,TAL
2058-01-10 10:00:00,221.02,TAL
2058-01-10 11:00:00,231.54,TAL
2058-01-10 12:00:00,240.6,TAL
2058-01-10 13:00:00,258.07,TAL
2058-01-10 14:00:00,278.86,TAL
2058-01-10 15:00:00,282.09,TAL
2058-01-10 16:00:00,289.86,TAL
2058-01-10 17:00:00,303.38,TAL
2058-01-10 18:00:00,309.4,TAL
2058-01-10 19:00:00,321.36,TAL
2058-01-10 20:00:00,330.6,TAL
2058-01-10 21:00:00,326.64,TAL
2058-01-10 22:00:00,321.83,TAL
2058-01-10 23:00:00,313.86,TAL
2058-01-11 00:00:00,349.92,TAL
2058-01-11 01:00:00,337.55,TAL
2058-01-11 02:00:00,324.61,TAL
2058-01-11 03:00:00,304.53,TAL
2058-01-11 04:00:00,282.82,TAL
2058-01-11 05:00:00,261.1,TAL
2058-01-11 06:00:00,239.58,TAL
2058-01-11 07:00:00,217.85,TAL
2058-01-11 08:00:00,207.39,TAL
2058-01-11 09:00:00,213.38,TAL
2058-01-11 10:00:00,222.06,TAL
2058-01-11 11:00:00,231.59,TAL
2058-01-11 12:00:00,236.64,TAL
2058-01-11 13:00:00,245.87,TAL
2058-01-11 14:00:00,271.54,TAL
2058-01-11 15:00:00,290.98,TAL
2058-01-11 16:00:00,305.71,TAL
2058-01-11 17:00:00,320.39,TAL
