Time_UTC,Load,BA
2058-01-01 00:00:00,676.03,TPWR
2058-01-01 01:00:00,711.53,TPWR
2058-01-01 02:00:00,727.92,TPWR
2058-01-01 03:00:00,741.29,TPWR
2058-01-01 04:00:00,736.14,TPWR
2058-01-01 05:00:00,710.47,TPWR
2058-01-01 06:00:00,681.05,TPWR
2058-01-01 07:00:00,649.95,TPWR
2058-01-01 08:00:00,619.0,TPWR
2058-01-01 09:00:00,592.69,TPWR
2058-01-01 10:00:00,580.45,TPWR
2058-01-01 11:00:00,578.45,TPWR
2058-01-01 12:00:00,597.49,TPWR
2058-01-01 13:00:00,620.1,TPWR
2058-01-01 14:00:00,650.99,TPWR
2058-01-01 15:00:00,680.1,TPWR
2058-01-01 16:00:00,708.02,TPWR
2058-01-01 17:00:00,745.38,TPWR
2058-01-01 18:00:00,725.04,TPWR
2058-01-01 19:00:00,701.44,TPWR
2058-01-01 20:00:00,683.28,TPWR
2058-01-01 21:00:00,675.43,TPWR
2058-01-01 22:00:00,678.9,TPWR
2058-01-01 23:00:00,688.02,TPWR
2058-01-02 00:00:00,679.94,TPWR
2058-01-02 01:00:00,718.0,TPWR
2058-01-02 02:00:00,729.89,TPWR
2058-01-02 03:00:00,736.21,TPWR
2058-01-02 04:00:00,734.31,TPWR
2058-01-02 05:00:00,699.86,TPWR
2058-01-02 06:00:00,660.98,TPWR
2058-01-02 07:00:00,618.72,TPWR
2058-01-02 08:00:00,579.61,TPWR
2058-01-02 09:00:00,549.44,TPWR
2058-01-02 10:00:00,539.3,TPWR
2058-01-02 11:00:00,558.61,TPWR
2058-01-02 12:00:00,589.11,TPWR
2058-01-02 13:00:00,617.94,TPWR
2058-01-02 14:00:00,650.3,TPWR
2058-01-02 15:00:00,679.96,TPWR
2058-01-02 16:00:00,705.84,TPWR
2058-01-02 17:00:00,733.95,TPWR
2058-01-02 18:00:00,723.75,TPWR
2058-01-02 19:00:00,707.45,TPWR
2058-01-02 20:00:00,695.04,TPWR
2058-01-02 21:00:00,686.73,TPWR
2058-01-02 22:00:00,683.28,TPWR
2058-01-02 23:00:00,691.54,TPWR
2058-01-03 00:00:00,709.42,TPWR
2058-01-03 01:00:00,730.0,TPWR
2058-01-03 02:00:00,737.6,TPWR
2058-01-03 03:00:00,739.83,TPWR
2058-01-03 04:00:00,739.21,TPWR
2058-01-03 05:00:00,703.2,TPWR
2058-01-03 06:00:00,671.45,TPWR
2058-01-03 07:00:00,636.58,TPWR
2058-01-03 08:00:00,592.43,TPWR
2058-01-03 09:00:00,547.56,TPWR
2058-01-03 10:00:00,530.36,TPWR
2058-01-03 11:00:00,546.97,TPWR
2058-01-03 12:00:00,577.9,TPWR
2058-01-03 13:00:00,607.91,TPWR
2058-01-03 14:00:00,639.77,TPWR
2058-01-03 15:00:00,672.12,TPWR
2058-01-03 16:00:00,704.97,TPWR
2058-01-03 17:00:00,726.26,TPWR
2058-01-03 18:00:00,698.18,TPWR
2058-01-03 19:00:00,669.91,TPWR
2058-01-03 20:00:00,654.66,TPWR
2058-01-03 21:00:00,647.08,TPWR
2058-01-03 22:00:00,649.96,TPWR
2058-01-03 23:00:00,658.34,TPWR
2058-01-04 00:00:00,653.24,TPWR
2058-01-04 01:00:00,679.52,TPWR
2058-01-04 02:00:00,687.62,TPWR
2058-01-04 03:00:00,689.29,TPWR
2058-01-04 04:00:00,689.17,TPWR
2058-01-04 05:00:00,658.74,TPWR
2058-01-04 06:00:00,625.42,TPWR
2058-01-04 07:00:00,591.3,TPWR
2058-01-04 08:00:00,555.08,TPWR
2058-01-04 09:00:00,524.78,TPWR
2058-01-04 10:00:00,513.36,TPWR
2058-01-04 11:00:00,527.97,TPWR
2058-01-04 12:00:00,557.98,TPWR
2058-01-04 13:00:00,591.38,TPWR
2058-01-04 14:00:00,625.63,TPWR
2058-01-04 15:00:00,655.88,TPWR
2058-01-04 16:00:00,685.57,TPWR
2058-01-04 17:00:00,708.62,TPWR
2058-01-04 18:00:00,687.66,TPWR
2058-01-04 19:00:00,671.51,TPWR
2058-01-04 20:00:00,657.52,TPWR
2058-01-04 21:00:00,653.48,TPWR
2058-01-04 22:00:00,654.35,TPWR
2058-01-04 23:00:00,662.78,TPWR
2058-01-05 00:00:00,655.97,TPWR
2058-01-05 01:00:00,682.61,TPWR
2058-01-05 02:00:00,678.73,TPWR
2058-01-05 03:00:00,670.75,TPWR
2058-01-05 04:00:00,668.42,TPWR
2058-01-05 05:00:00,641.66,TPWR
2058-01-05 06:00:00,614.26,TPWR
2058-01-05 07:00:00,579.08,TPWR
2058-01-05 08:00:00,549.81,TPWR
2058-01-05 09:00:00,528.6,TPWR
2058-01-05 10:00:00,512.8,TPWR
2058-01-05 11:00:00,503.91,TPWR
2058-01-05 12:00:00,506.17,TPWR
2058-01-05 13:00:00,513.31,TPWR
2058-01-05 14:00:00,532.02,TPWR
2058-01-05 15:00:00,548.41,TPWR
2058-01-05 16:00:00,565.75,TPWR
2058-01-05 17:00:00,597.18,TPWR
2058-01-05 18:00:00,614.08,TPWR
2058-01-05 19:00:00,620.91,TPWR
2058-01-05 20:00:00,616.14,TPWR
2058-01-05 21:00:00,609.44,TPWR
2058-01-05 22:00:00,604.09,TPWR
2058-01-05 23:00:00,597.29,TPWR
2058-01-06 00:00:00,577.82,TPWR
2058-01-06 01:00:00,603.15,TPWR
2058-01-06 02:00:00,614.5,TPWR
2058-01-06 03:00:00,631.84,TPWR
2058-01-06 04:00:00,662.63,TPWR
2058-01-06 05:00:00,644.73,TPWR
2058-01-06 06:00:00,611.68,TPWR
2058-01-06 07:00:00,579.5,TPWR
2058-01-06 08:00:00,549.16,TPWR
2058-01-06 09:00:00,529.14,TPWR
2058-01-06 10:00:00,512.95,TPWR
2058-01-06 11:00:00,505.4,TPWR
2058-01-06 12:00:00,504.8,TPWR
2058-01-06 13:00:00,518.77,TPWR
2058-01-06 14:00:00,538.51,TPWR
2058-01-06 15:00:00,560.24,TPWR
2058-01-06 16:00:00,580.62,TPWR
2058-01-06 17:00:00,608.13,TPWR
2058-01-06 18:00:00,628.84,TPWR
2058-01-06 19:00:00,635.58,TPWR
2058-01-06 20:00:00,631.51,TPWR
2058-01-06 21:00:00,627.94,TPWR
2058-01-06 22:00:00,624.43,TPWR
2058-01-06 23:00:00,620.19,TPWR
2058-01-07 00:00:00,667.03,TPWR
2058-01-07 01:00:00,682.49,TPWR
2058-01-07 02:00:00,685.23,TPWR
2058-01-07 03:00:00,685.89,TPWR
2058-01-07 04:00:00,686.88,TPWR
2058-01-07 05:00:00,660.9,TPWR
2058-01-07 06:00:00,626.66,TPWR
2058-01-07 07:00:00,590.43,TPWR
2058-01-07 08:00:00,559.31,TPWR
2058-01-07 09:00:00,529.73,TPWR
2058-01-07 10:00:00,519.01,TPWR
2058-01-07 11:00:00,528.71,TPWR
2058-01-07 12:00:00,555.06,TPWR
2058-01-07 13:00:00,582.96,TPWR
2058-01-07 14:00:00,614.37,TPWR
2058-01-07 15:00:00,643.01,TPWR
2058-01-07 16:00:00,670.47,TPWR
2058-01-07 17:00:00,697.59,TPWR
2058-01-07 18:00:00,696.81,TPWR
2058-01-07 19:00:00,690.73,TPWR
2058-01-07 20:00:00,690.92,TPWR
2058-01-07 21:00:00,693.49,TPWR
2058-01-07 22:00:00,691.35,TPWR
2058-01-07 23:00:00,690.78,TPWR
2058-01-08 00:00:00,700.89,TPWR
2058-01-08 01:00:00,699.88,TPWR
2058-01-08 02:00:00,698.7,TPWR
2058-01-08 03:00:00,695.41,TPWR
2058-01-08 04:00:00,690.2,TPWR
2058-01-08 05:00:00,661.93,TPWR
2058-01-08 06:00:00,621.59,TPWR
2058-01-08 07:00:00,579.18,TPWR
2058-01-08 08:00:00,542.61,TPWR
2058-01-08 09:00:00,512.06,TPWR
2058-01-08 10:00:00,497.86,TPWR
2058-01-08 11:00:00,499.91,TPWR
2058-01-08 12:00:00,518.92,TPWR
2058-01-08 13:00:00,547.24,TPWR
2058-01-08 14:00:00,580.62,TPWR
2058-01-08 15:00:00,618.31,TPWR
2058-01-08 16:00:00,648.51,TPWR
2058-01-08 17:00:00,665.87,TPWR
2058-01-08 18:00:00,663.57,TPWR
2058-01-08 19:00:00,652.36,TPWR
2058-01-08 20:00:00,643.25,TPWR
2058-01-08 21:00:00,635.21,TPWR
2058-01-08 22:00:00,631.33,TPWR
2058-01-08 23:00:00,636.84,TPWR
2058-01-09 00:00:00,647.16,TPWR
2058-01-09 01:00:00,669.48,TPWR
2058-01-09 02:00:00,678.32,TPWR
2058-01-09 03:00:00,682.43,TPWR
2058-01-09 04:00:00,679.07,TPWR
2058-01-09 05:00:00,650.35,TPWR
2058-01-09 06:00:00,612.64,TPWR
2058-01-09 07:00:00,573.95,TPWR
2058-01-09 08:00:00,539.7,TPWR
2058-01-09 09:00:00,508.1,TPWR
2058-01-09 10:00:00,493.56,TPWR
2058-01-09 11:00:00,497.93,TPWR
2058-01-09 12:00:00,520.42,TPWR
2058-01-09 13:00:00,546.29,TPWR
2058-01-09 14:00:00,569.62,TPWR
2058-01-09 15:00:00,596.9,TPWR
2058-01-09 16:00:00,621.68,TPWR
2058-01-09 17:00:00,638.16,TPWR
2058-01-09 18:00:00,642.91,TPWR
2058-01-09 19:00:00,644.34,TPWR
2058-01-09 20:00:00,646.21,TPWR
2058-01-09 21:00:00,647.51,TPWR
2058-01-09 22:00:00,651.69,TPWR
2058-01-09 23:00:00,658.17,TPWR
2058-01-10 00:00:00,679.31,TPWR
2058-01-10 01:00:00,687.66,TPWR
2058-01-10 02:00:00,688.58,TPWR
2058-01-10 03:00:00,692.99,TPWR
2058-01-10 04:00:00,700.78,TPWR
2058-01-10 05:00:00,680.09,TPWR
2058-01-10 06:00:00,644.66,TPWR
2058-01-10 07:00:00,610.17,TPWR
2058-01-10 08:00:00,576.46,TPWR
2058-01-10 09:00:00,545.28,TPWR
2058-01-10 10:00:00,531.46,TPWR
2058-01-10 11:00:00,547.84,TPWR
2058-01-10 12:00:00,577.17,TPWR
2058-01-10 13:00:00,604.67,TPWR
2058-01-10 14:00:00,632.19,TPWR
2058-01-10 15:00:00,662.98,TPWR
2058-01-10 16:00:00,695.68,TPWR
2058-01-10 17:00:00,723.68,TPWR
2058-01-10 18:00:00,719.19,TPWR
2058-01-10 19:00:00,711.32,TPWR
2058-01-10 20:00:00,699.27,TPWR
2058-01-10 21:00:00,699.58,TPWR
2058-01-10 22:00:00,697.02,TPWR
2058-01-10 23:00:00,695.47,TPWR
2058-01-11 00:00:00,702.37,TPWR
2058-01-11 01:00:00,707.47,TPWR
2058-01-11 02:00:00,711.55,TPWR
2058-01-11 03:00:00,710.1,TPWR
2058-01-11 04:00:00,708.8,TPWR
2058-01-11 05:00:00,673.91,TPWR
2058-01-11 06:00:00,633.5,TPWR
2058-01-11 07:00:00,589.03,TPWR
2058-01-11 08:00:00,547.45,TPWR
2058-01-11 09:00:00,517.97,TPWR
2058-01-11 10:00:00,506.43,TPWR
2058-01-11 11:00:00,508.9,TPWR
2058-01-11 12:00:00,527.43,TPWR
2058-01-11 13:00:00,550.48,TPWR
2058-01-11 14:00:00,579.25,TPWR
2058-01-11 15:00:00,613.29,TPWR
2058-01-11 16:00:00,648.26,TPWR
2058-01-11 17:00:00,684.55,TPWR
2058-01-11 18:00:00,684.15,TPWR
2058-01-11 19:00:00,678.23,TPWR
2058-01-11 20:00:00,674.85,TPWR
2058-01-11 21:00:00,670.83,TPWR
2058-01-11 22:00:00,666.71,TPWR
2058-01-11 23:00:00,660.6,TPWR
2058-01-12 00:00:00,624.94,TPWR
2058-01-12 01:00:00,633.37,TPWR
2058-01-12 02:00:00,648.35,TPWR
2058-01-12 03:00:00,657.62,TPWR
2058-01-12 04:00:00,662.28,TPWR
2058-01-12 05:00:00,627.69,TPWR
2058-01-12 06:00:00,596.35,TPWR
2058-01-12 07:00:00,567.9,TPWR
2058-01-12 08:00:00,537.71,TPWR
2058-01-12 09:00:00,516.88,TPWR
2058-01-12 10:00:00,505.59,TPWR
2058-01-12 11:00:00,497.61,TPWR
2058-01-12 12:00:00,497.86,TPWR
2058-01-12 13:00:00,507.95,TPWR
2058-01-12 14:00:00,526.92,TPWR
2058-01-12 15:00:00,547.52,TPWR
2058-01-12 16:00:00,566.77,TPWR
2058-01-12 17:00:00,589.67,TPWR
2058-01-12 18:00:00,607.17,TPWR
2058-01-12 19:00:00,617.12,TPWR
2058-01-12 20:00:00,617.91,TPWR
2058-01-12 21:00:00,615.26,TPWR
2058-01-12 22:00:00,611.92,TPWR
2058-01-12 23:00:00,608.73,TPWR
2058-01-13 00:00:00,628.97,TPWR
2058-01-13 01:00:00,627.9,TPWR
2058-01-13 02:00:00,637.14,TPWR
2058-01-13 03:00:00,653.31,TPWR
2058-01-13 04:00:00,655.56,TPWR
2058-01-13 05:00:00,626.48,TPWR
2058-01-13 06:00:00,594.66,TPWR
2058-01-13 07:00:00,570.94,TPWR
2058-01-13 08:00:00,544.96,TPWR
2058-01-13 09:00:00,520.33,TPWR
2058-01-13 10:00:00,503.88,TPWR
2058-01-13 11:00:00,496.5,TPWR
2058-01-13 12:00:00,498.18,TPWR
2058-01-13 13:00:00,508.45,TPWR
2058-01-13 14:00:00,525.23,TPWR
2058-01-13 15:00:00,545.12,TPWR
2058-01-13 16:00:00,564.52,TPWR
2058-01-13 17:00:00,588.13,TPWR
2058-01-13 18:00:00,596.03,TPWR
2058-01-13 19:00:00,594.25,TPWR
2058-01-13 20:00:00,589.32,TPWR
2058-01-13 21:00:00,582.28,TPWR
2058-01-13 22:00:00,576.65,TPWR
2058-01-13 23:00:00,574.47,TPWR
2058-01-14 00:00:00,597.44,TPWR
2058-01-14 01:00:00,624.86,TPWR
2058-01-14 02:00:00,627.01,TPWR
2058-01-14 03:00:00,625.88,TPWR
2058-01-14 04:00:00,624.31,TPWR
2058-01-14 05:00:00,603.4,TPWR
2058-01-14 06:00:00,567.45,TPWR
2058-01-14 07:00:00,539.98,TPWR
2058-01-14 08:00:00,514.76,TPWR
2058-01-14 09:00:00,489.43,TPWR
2058-01-14 10:00:00,475.94,TPWR
2058-01-14 11:00:00,479.42,TPWR
2058-01-14 12:00:00,499.98,TPWR
2058-01-14 13:00:00,528.86,TPWR
2058-01-14 14:00:00,559.64,TPWR
2058-01-14 15:00:00,589.72,TPWR
2058-01-14 16:00:00,622.19,TPWR
2058-01-14 17:00:00,648.7,TPWR
2058-01-14 18:00:00,635.14,TPWR
2058-01-14 19:00:00,620.72,TPWR
