Time_UTC,Load,BA
2058-01-01 00:00:00,24114.05,TVA
2058-01-01 01:00:00,24758.62,TVA
2058-01-01 02:00:00,24840.31,TVA
2058-01-01 03:00:00,24511.07,TVA
2058-01-01 04:00:00,23896.91,TVA
2058-01-01 05:00:00,23195.52,TVA
2058-01-01 06:00:00,22785.04,TVA
2058-01-01 07:00:00,22551.6,TVA
2058-01-01 08:00:00,22496.97,TVA
2058-01-01 09:00:00,22867.34,TVA
2058-01-01 10:00:00,23355.65,TVA
2058-01-01 11:00:00,23833.38,TVA
2058-01-01 12:00:00,24313.4,TVA
2058-01-01 13:00:00,24933.45,TVA
2058-01-01 14:00:00,26530.79,TVA
2058-01-01 15:00:00,26903.7,TVA
2058-01-01 16:00:00,26276.43,TVA
2058-01-01 17:00:00,25405.15,TVA
2058-01-01 18:00:00,24525.87,TVA
2058-01-01 19:00:00,23749.78,TVA
2058-01-01 20:00:00,23159.77,TVA
2058-01-01 21:00:00,22891.96,TVA
2058-01-01 22:00:00,22968.17,TVA
2058-01-01 23:00:00,23386.89,TVA
2058-01-02 00:00:00,26355.04,TVA
2058-01-02 01:00:00,26901.23,TVA
2058-01-02 02:00:00,27186.24,TVA
2058-01-02 03:00:00,26914.84,TVA
2058-01-02 04:00:00,26407.64,TVA
2058-01-02 05:00:00,25892.64,TVA
2058-01-02 06:00:00,25560.76,TVA
2058-01-02 07:00:00,25658.92,TVA
2058-01-02 08:00:00,26013.65,TVA
2058-01-02 09:00:00,26652.79,TVA
2058-01-02 10:00:00,27287.09,TVA
2058-01-02 11:00:00,27933.47,TVA
2058-01-02 12:00:00,28529.45,TVA
2058-01-02 13:00:00,29085.59,TVA
2058-01-02 14:00:00,29947.73,TVA
2058-01-02 15:00:00,28734.73,TVA
2058-01-02 16:00:00,27695.89,TVA
2058-01-02 17:00:00,26596.36,TVA
2058-01-02 18:00:00,25409.83,TVA
2058-01-02 19:00:00,24245.18,TVA
2058-01-02 20:00:00,23380.37,TVA
2058-01-02 21:00:00,23107.87,TVA
2058-01-02 22:00:00,23211.62,TVA
2058-01-02 23:00:00,24465.26,TVA
2058-01-03 00:00:00,25805.86,TVA
2058-01-03 01:00:00,26432.28,TVA
2058-01-03 02:00:00,26792.76,TVA
2058-01-03 03:00:00,26339.96,TVA
2058-01-03 04:00:00,25631.6,TVA
2058-01-03 05:00:00,24939.21,TVA
2058-01-03 06:00:00,24584.28,TVA
2058-01-03 07:00:00,24723.28,TVA
2058-01-03 08:00:00,25128.82,TVA
2058-01-03 09:00:00,25458.82,TVA
2058-01-03 10:00:00,25843.54,TVA
2058-01-03 11:00:00,26280.79,TVA
2058-01-03 12:00:00,26572.82,TVA
2058-01-03 13:00:00,27058.7,TVA
2058-01-03 14:00:00,27674.26,TVA
2058-01-03 15:00:00,26490.63,TVA
2058-01-03 16:00:00,24862.39,TVA
2058-01-03 17:00:00,23469.11,TVA
2058-01-03 18:00:00,22207.21,TVA
2058-01-03 19:00:00,21274.67,TVA
2058-01-03 20:00:00,20712.23,TVA
2058-01-03 21:00:00,20450.39,TVA
2058-01-03 22:00:00,21069.59,TVA
2058-01-03 23:00:00,22567.14,TVA
2058-01-04 00:00:00,23882.06,TVA
2058-01-04 01:00:00,24663.42,TVA
2058-01-04 02:00:00,24870.17,TVA
2058-01-04 03:00:00,24202.84,TVA
2058-01-04 04:00:00,23359.75,TVA
2058-01-04 05:00:00,22723.77,TVA
2058-01-04 06:00:00,22202.93,TVA
2058-01-04 07:00:00,22065.19,TVA
2058-01-04 08:00:00,22351.28,TVA
2058-01-04 09:00:00,22976.34,TVA
2058-01-04 10:00:00,23693.58,TVA
2058-01-04 11:00:00,24453.42,TVA
2058-01-04 12:00:00,25187.87,TVA
2058-01-04 13:00:00,25886.56,TVA
2058-01-04 14:00:00,27393.7,TVA
2058-01-04 15:00:00,27004.44,TVA
2058-01-04 16:00:00,26239.62,TVA
2058-01-04 17:00:00,25273.97,TVA
2058-01-04 18:00:00,24324.01,TVA
2058-01-04 19:00:00,23374.18,TVA
2058-01-04 20:00:00,22740.64,TVA
2058-01-04 21:00:00,22633.55,TVA
2058-01-04 22:00:00,22708.8,TVA
2058-01-04 23:00:00,24102.65,TVA
2058-01-05 00:00:00,24651.9,TVA
2058-01-05 01:00:00,25399.03,TVA
2058-01-05 02:00:00,25820.8,TVA
2058-01-05 03:00:00,25519.56,TVA
2058-01-05 04:00:00,24951.54,TVA
2058-01-05 05:00:00,24393.6,TVA
2058-01-05 06:00:00,24210.37,TVA
2058-01-05 07:00:00,24300.92,TVA
2058-01-05 08:00:00,24404.22,TVA
2058-01-05 09:00:00,24542.72,TVA
2058-01-05 10:00:00,24886.54,TVA
2058-01-05 11:00:00,25096.11,TVA
2058-01-05 12:00:00,25234.36,TVA
2058-01-05 13:00:00,25486.14,TVA
2058-01-05 14:00:00,26038.36,TVA
2058-01-05 15:00:00,25444.13,TVA
2058-01-05 16:00:00,24601.31,TVA
2058-01-05 17:00:00,23539.44,TVA
2058-01-05 18:00:00,22499.9,TVA
2058-01-05 19:00:00,21487.54,TVA
2058-01-05 20:00:00,20700.39,TVA
2058-01-05 21:00:00,20464.62,TVA
2058-01-05 22:00:00,20400.83,TVA
2058-01-05 23:00:00,21612.51,TVA
2058-01-06 00:00:00,23159.74,TVA
2058-01-06 01:00:00,23867.0,TVA
2058-01-06 02:00:00,24310.45,TVA
2058-01-06 03:00:00,23925.54,TVA
2058-01-06 04:00:00,23363.24,TVA
2058-01-06 05:00:00,22812.58,TVA
2058-01-06 06:00:00,22583.79,TVA
2058-01-06 07:00:00,22661.43,TVA
2058-01-06 08:00:00,22871.09,TVA
2058-01-06 09:00:00,23036.17,TVA
2058-01-06 10:00:00,23467.59,TVA
2058-01-06 11:00:00,23891.32,TVA
2058-01-06 12:00:00,24314.53,TVA
2058-01-06 13:00:00,24793.03,TVA
2058-01-06 14:00:00,25482.48,TVA
2058-01-06 15:00:00,24484.9,TVA
2058-01-06 16:00:00,23493.29,TVA
2058-01-06 17:00:00,22537.35,TVA
2058-01-06 18:00:00,21631.43,TVA
2058-01-06 19:00:00,20818.53,TVA
2058-01-06 20:00:00,20201.07,TVA
