Time_UTC,Load,BA
2058-01-01 00:00:00,848.88,WALC
2058-01-01 01:00:00,872.16,WALC
2058-01-01 02:00:00,854.5,WALC
2058-01-01 03:00:00,848.23,WALC
2058-01-01 04:00:00,842.72,WALC
2058-01-01 05:00:00,832.34,WALC
2058-01-01 06:00:00,821.67,WALC
2058-01-01 07:00:00,814.73,WALC
2058-01-01 08:00:00,814.11,WALC
2058-01-01 09:00:00,812.25,WALC
2058-01-01 10:00:00,806.63,WALC
2058-01-01 11:00:00,809.83,WALC
2058-01-01 12:00:00,825.34,WALC
2058-01-01 13:00:00,840.94,WALC
2058-01-01 14:00:00,858.17,WALC
2058-01-01 15:00:00,868.77,WALC
2058-01-01 16:00:00,828.43,WALC
2058-01-01 17:00:00,797.67,WALC
2058-01-01 18:00:00,799.08,WALC
2058-01-01 19:00:00,796.8,WALC
2058-01-01 20:00:00,788.09,WALC
2058-01-01 21:00:00,773.1,WALC
2058-01-01 22:00:00,749.07,WALC
2058-01-01 23:00:00,749.33,WALC
2058-01-02 00:00:00,861.7,WALC
2058-01-02 01:00:00,881.33,WALC
2058-01-02 02:00:00,861.42,WALC
2058-01-02 03:00:00,842.43,WALC
2058-01-02 04:00:00,823.45,WALC
2058-01-02 05:00:00,812.29,WALC
2058-01-02 06:00:00,804.07,WALC
2058-01-02 07:00:00,799.67,WALC
2058-01-02 08:00:00,798.68,WALC
2058-01-02 09:00:00,803.54,WALC
2058-01-02 10:00:00,807.79,WALC
2058-01-02 11:00:00,812.97,WALC
2058-01-02 12:00:00,821.55,WALC
2058-01-02 13:00:00,828.78,WALC
2058-01-02 14:00:00,837.93,WALC
2058-01-02 15:00:00,848.12,WALC
2058-01-02 16:00:00,823.2,WALC
2058-01-02 17:00:00,792.0,WALC
2058-01-02 18:00:00,773.11,WALC
2058-01-02 19:00:00,782.18,WALC
2058-01-02 20:00:00,806.66,WALC
2058-01-02 21:00:00,810.51,WALC
2058-01-02 22:00:00,797.79,WALC
2058-01-02 23:00:00,774.42,WALC
2058-01-03 00:00:00,899.28,WALC
2058-01-03 01:00:00,911.21,WALC
2058-01-03 02:00:00,892.98,WALC
2058-01-03 03:00:00,874.75,WALC
2058-01-03 04:00:00,854.03,WALC
2058-01-03 05:00:00,835.26,WALC
2058-01-03 06:00:00,825.48,WALC
2058-01-03 07:00:00,821.43,WALC
2058-01-03 08:00:00,816.41,WALC
2058-01-03 09:00:00,814.76,WALC
2058-01-03 10:00:00,817.65,WALC
2058-01-03 11:00:00,819.41,WALC
2058-01-03 12:00:00,826.69,WALC
2058-01-03 13:00:00,834.74,WALC
2058-01-03 14:00:00,848.02,WALC
2058-01-03 15:00:00,856.78,WALC
2058-01-03 16:00:00,830.72,WALC
2058-01-03 17:00:00,806.58,WALC
2058-01-03 18:00:00,792.06,WALC
2058-01-03 19:00:00,809.73,WALC
2058-01-03 20:00:00,818.29,WALC
2058-01-03 21:00:00,826.29,WALC
2058-01-03 22:00:00,829.35,WALC
2058-01-03 23:00:00,826.71,WALC
2058-01-04 00:00:00,961.97,WALC
2058-01-04 01:00:00,971.94,WALC
2058-01-04 02:00:00,952.0,WALC
2058-01-04 03:00:00,927.95,WALC
2058-01-04 04:00:00,899.35,WALC
2058-01-04 05:00:00,883.02,WALC
2058-01-04 06:00:00,868.4,WALC
2058-01-04 07:00:00,860.06,WALC
2058-01-04 08:00:00,842.95,WALC
2058-01-04 09:00:00,821.57,WALC
2058-01-04 10:00:00,809.86,WALC
2058-01-04 11:00:00,809.19,WALC
2058-01-04 12:00:00,811.38,WALC
2058-01-04 13:00:00,815.04,WALC
2058-01-04 14:00:00,824.39,WALC
2058-01-04 15:00:00,834.84,WALC
2058-01-04 16:00:00,797.82,WALC
2058-01-04 17:00:00,766.23,WALC
2058-01-04 18:00:00,765.7,WALC
2058-01-04 19:00:00,779.14,WALC
2058-01-04 20:00:00,774.91,WALC
2058-01-04 21:00:00,766.6,WALC
2058-01-04 22:00:00,748.06,WALC
2058-01-04 23:00:00,725.04,WALC
2058-01-05 00:00:00,840.16,WALC
2058-01-05 01:00:00,862.11,WALC
2058-01-05 02:00:00,859.63,WALC
2058-01-05 03:00:00,850.65,WALC
2058-01-05 04:00:00,837.42,WALC
2058-01-05 05:00:00,825.11,WALC
2058-01-05 06:00:00,813.12,WALC
2058-01-05 07:00:00,803.88,WALC
2058-01-05 08:00:00,793.57,WALC
2058-01-05 09:00:00,783.65,WALC
2058-01-05 10:00:00,774.91,WALC
2058-01-05 11:00:00,766.16,WALC
2058-01-05 12:00:00,761.53,WALC
2058-01-05 13:00:00,756.62,WALC
2058-01-05 14:00:00,758.14,WALC
2058-01-05 15:00:00,753.86,WALC
2058-01-05 16:00:00,735.79,WALC
2058-01-05 17:00:00,745.07,WALC
