Time_UTC,Load,BA
2058-01-01 00:00:00,135.8,WAUW
2058-01-01 01:00:00,135.54,WAUW
2058-01-01 02:00:00,135.33,WAUW
2058-01-01 03:00:00,133.94,WAUW
2058-01-01 04:00:00,131.44,WAUW
2058-01-01 05:00:00,128.83,WAUW
2058-01-01 06:00:00,126.16,WAUW
2058-01-01 07:00:00,123.39,WAUW
2058-01-01 08:00:00,120.99,WAUW
2058-01-01 09:00:00,120.0,WAUW
2058-01-01 10:00:00,119.18,WAUW
2058-01-01 11:00:00,118.99,WAUW
2058-01-01 12:00:00,119.9,WAUW
2058-01-01 13:00:00,120.83,WAUW
2058-01-01 14:00:00,121.95,WAUW
2058-01-01 15:00:00,122.88,WAUW
2058-01-01 16:00:00,127.45,WAUW
2058-01-01 17:00:00,129.33,WAUW
2058-01-01 18:00:00,129.73,WAUW
2058-01-01 19:00:00,128.19,WAUW
2058-01-01 20:00:00,126.55,WAUW
2058-01-01 21:00:00,125.62,WAUW
2058-01-01 22:00:00,125.43,WAUW
2058-01-01 23:00:00,125.65,WAUW
2058-01-02 00:00:00,130.56,WAUW
2058-01-02 01:00:00,130.24,WAUW
2058-01-02 02:00:00,129.49,WAUW
2058-01-02 03:00:00,127.03,WAUW
2058-01-02 04:00:00,123.72,WAUW
2058-01-02 05:00:00,120.35,WAUW
2058-01-02 06:00:00,116.98,WAUW
2058-01-02 07:00:00,113.55,WAUW
2058-01-02 08:00:00,110.01,WAUW
2058-01-02 09:00:00,107.58,WAUW
2058-01-02 10:00:00,105.81,WAUW
2058-01-02 11:00:00,105.11,WAUW
2058-01-02 12:00:00,105.8,WAUW
2058-01-02 13:00:00,106.76,WAUW
2058-01-02 14:00:00,107.88,WAUW
2058-01-02 15:00:00,108.97,WAUW
2058-01-02 16:00:00,114.09,WAUW
2058-01-02 17:00:00,112.65,WAUW
2058-01-02 18:00:00,108.05,WAUW
2058-01-02 19:00:00,104.67,WAUW
2058-01-02 20:00:00,102.92,WAUW
2058-01-02 21:00:00,102.32,WAUW
2058-01-02 22:00:00,102.4,WAUW
2058-01-02 23:00:00,102.84,WAUW
2058-01-03 00:00:00,109.38,WAUW
2058-01-03 01:00:00,109.5,WAUW
2058-01-03 02:00:00,108.79,WAUW
2058-01-03 03:00:00,107.59,WAUW
2058-01-03 04:00:00,106.14,WAUW
2058-01-03 05:00:00,103.27,WAUW
2058-01-03 06:00:00,100.05,WAUW
2058-01-03 07:00:00,97.28,WAUW
2058-01-03 08:00:00,94.36,WAUW
2058-01-03 09:00:00,91.87,WAUW
2058-01-03 10:00:00,92.55,WAUW
2058-01-03 11:00:00,93.99,WAUW
2058-01-03 12:00:00,95.49,WAUW
2058-01-03 13:00:00,96.87,WAUW
2058-01-03 14:00:00,98.3,WAUW
2058-01-03 15:00:00,100.09,WAUW
2058-01-03 16:00:00,104.69,WAUW
2058-01-03 17:00:00,104.67,WAUW
2058-01-03 18:00:00,103.79,WAUW
2058-01-03 19:00:00,102.98,WAUW
2058-01-03 20:00:00,102.3,WAUW
2058-01-03 21:00:00,101.83,WAUW
2058-01-03 22:00:00,101.24,WAUW
2058-01-03 23:00:00,101.14,WAUW
2058-01-04 00:00:00,106.99,WAUW
2058-01-04 01:00:00,106.28,WAUW
2058-01-04 02:00:00,105.56,WAUW
2058-01-04 03:00:00,104.36,WAUW
2058-01-04 04:00:00,102.07,WAUW
2058-01-04 05:00:00,98.98,WAUW
2058-01-04 06:00:00,95.78,WAUW
2058-01-04 07:00:00,93.02,WAUW
2058-01-04 08:00:00,90.34,WAUW
2058-01-04 09:00:00,88.34,WAUW
2058-01-04 10:00:00,90.16,WAUW
2058-01-04 11:00:00,92.22,WAUW
2058-01-04 12:00:00,94.21,WAUW
2058-01-04 13:00:00,96.24,WAUW
