Index,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BPAT_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030_CEC.dat,Load_CIPV_2030_CEC.dat,Load_CISC_2030_CEC.dat,Load_CISD_2030_CEC.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat,
Year,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,
1,1826.535652,4081.6956,2393.232412,7158.995504,256.8630981,5501.091685,6529.678375,17102.63335,3667.868748,408.9391352,1423.97716,1046.628128,989.2879731,338.4543584,833.9520263,1934.761693,5274.361093,4343.163217,1928.651637,3069.168965,888.7209876,6006.965353,1833.238753,3017.533038,2005.481057,8546.549138,3793.800779,1269.343809,1445.049789,4400.017017,1777.027014,355.8483303,590.230356,118.9669918,3809.665927,1197.408824,115.6297845,
2,1752.176131,3900.00234,2266.458889,6840.860951,245.5434338,5209.689659,6183.629538,16194.95197,3472.814441,390.9261593,1389.558876,1000.643983,936.9474192,325.1187583,800.8975345,1858.894344,4994.430216,4154.867795,1856.564464,2927.241772,856.4564501,5674.015464,1791.562656,2877.237231,1922.021353,8195.496296,3626.56066,1213.387995,1381.173611,4204.217067,1695.901359,336.9984492,564.2115424,113.7501804,3687.710561,1144.126528,111.8670224,
3,1698.47594,3800.484273,2144.25151,6608.040248,237.8030437,4928.783388,5850.305637,15323.08567,3285.720666,378.7344758,1371.325406,969.6892533,887.694322,314.9838915,775.9848602,1799.751069,4725.548393,4029.008539,1779.311736,2817.708966,836.8997432,5503.086919,1818.108245,2765.819081,1851.786158,7991.297946,3512.020803,1175.064829,1338.731204,4097.629629,1641.415031,318.8275055,546.3917083,110.3514052,3656.25133,1112.019278,106.8505407,
4,1679.723581,3725.500254,2079.398966,6545.084497,235.3614837,4779.713122,5673.378984,14859.21515,3186.448238,374.8816887,1383.445678,959.6611414,861.6671681,305.6490456,753.8479197,1745.655771,4582.489396,3984.963684,1750.326457,2794.071636,815.3955183,5421.008961,1801.300536,2747.567532,1820.381675,7798.255098,3475.989052,1163.009193,1322.760661,4016.8687,1606.611248,309.1846185,540.7859755,109.1102546,3602.173166,1090.914423,105.345445,
5,1700.203983,3774.403747,2059.669282,6609.160836,237.9356434,4734.362406,5619.600423,14718.70202,3156.749805,378.8225815,1420.296101,969.7106525,854.1726858,302.7152334,747.1954679,1728.255994,4539.156244,3991.171456,1750.326457,2817.249854,807.2478547,5404.318513,1781.3483,2771.343747,1842.692285,7789.38398,3514.171249,1175.784333,1324.265474,4069.929153,1619.846643,306.2510232,546.7262695,109.2759821,3586.11112,1102.529393,105.345445,
6,1777.124997,3882.531381,2129.268461,6905.882038,248.1688505,4894.343302,5809.53258,15216.32376,3262.896549,395.1502239,1474.415936,1011.505073,882.9639899,309.1162052,763.8017586,1763.561812,4692.622247,4136.443498,1801.265228,2954.939844,824.0024507,5528.400714,1816.255371,2914.54651,1901.36604,8011.84604,3665.276914,1226.341822,1373.30909,4186.378223,1667.607076,316.5996846,570.2349237,113.3321963,3681.706243,1135.190607,107.9530057,
7,1915.939464,4150.746234,2312.672146,7440.098367,267.3981318,5315.9156,6309.786707,16525.52319,3543.559064,425.8353774,1574.397019,1090.076752,958.3923421,325.3855556,805.4390143,1857.099521,5096.374031,4410.712451,1946.194047,3182.432416,865.3414803,5937.827036,1887.862707,3138.217232,2049.272722,8642.479803,3949.207336,1321.340306,1464.61029,4475.135135,1787.961645,343.8698714,614.4081325,120.7906293,3898.881554,1213.864446,117.5838131,
8,2082.994151,4496.099615,2499.919846,8065.811897,290.2544952,5746.323762,6820.753396,17864.8379,3831.035894,462.1464725,1655.647445,1182.882069,1036.368123,352.856684,873.4744088,2013.467958,5509.427668,4619.720536,2134.977376,3439.005736,931.3582225,6459.837803,1966.307997,3386.26197,2185.614173,9503.700245,4286.910624,1434.330313,1535.634039,4847.941348,1936.72747,371.7116226,666.9471938,126.5071494,4166.98926,1310.628551,128.4196351,
9,2199.564899,4813.151194,2698.119142,8564.478859,308.3644829,6201.905299,7361.496884,19280.87058,4134.521304,491.1458658,1661.102825,1257.258818,1117.609312,385.3951066,952.0773046,2195.863307,5946.131826,4860.361253,2289.661517,3649.828562,1005.97902,6875.88675,2019.677305,3588.777476,2293.863071,10018.29682,4554.174031,1523.752286,1617.564213,5190.235263,2077.20348,401.1817603,708.5273888,133.1331844,4336.580453,1401.608738,137.4993223,
